"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-08-31,"77429","TX","Houston-The Woodlands-Sugar Land","Harris","Cypress",43,1341,-0.000745156482861401,-0.0037147102526003,0.0244461420932009,344
2018-08-31,"77479","TX","Houston-The Woodlands-Sugar Land","Fort Bend","Sugar Land",44,1459,-0.00409556313993174,-0.0061307901907357,-0.0128552097428958,1090
2018-08-31,"11206","NY","New York-Newark-Jersey City","Kings","New York",45,2487,-0.00240673886883273,-0.0123113582208102,-0.0489483747609943,8214
2018-08-31,"63376","MO","St. Louis","Saint Charles","Saint Peters",46,999,0,-0.00398803589232303,0,5106
2018-08-31,"60613","IL","Chicago-Naperville-Elgin","Cook","Chicago",47,1622,0.00185299567634342,0.0043343653250774,-0.026994601079784,23161
2018-08-31,"30044","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Lawrenceville",48,1290,0,0.000775795190069822,0.0453808752025932,2581
2018-08-31,"77036","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",49,941,-0.00106157112526539,-0.00423280423280423,0.0239390642002176,5466
2018-08-31,"11230","NY","New York-Newark-Jersey City","Kings","New York",50,2138,-0.000934579439252337,-0.0092678405931418,-0.0138376383763838,8273
2018-08-31,"10463","NY","New York-Newark-Jersey City","Bronx","New York",51,1883,-0.00211976682564918,-0.00998948475289169,-0.0441624365482233,6261
2018-08-31,"30043","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Lawrenceville",52,1394,0,-0.000716845878136201,0.0152949745083758,1890
2018-08-31,"60629","IL","Chicago-Naperville-Elgin","Cook","Chicago",53,1200,-0.00332225913621262,-0.0171990171990172,-0.0422984836392658,1813
2018-08-31,"11212","NY","New York-Newark-Jersey City","Kings","New York",54,2141,-0.000466853408029879,-0.00325884543761639,0.00990566037735849,4159
2018-08-31,"11209","NY","New York-Newark-Jersey City","Kings","New York",55,2145,-0.00371574547143521,-0.0165061898211829,-0.0337837837837838,12004
2018-08-31,"60625","IL","Chicago-Naperville-Elgin","Cook","Chicago",56,1507,0.000664010624169987,-0.00330687830687831,-0.0226977950713359,11670
2018-08-31,"07030","NJ","New York-Newark-Jersey City","Hudson","Hoboken",57,2775,0,-0.00179856115107914,-0.0341106856943961,19742
2018-08-31,"28277","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",58,1435,-0.000696378830083565,-0.00208623087621697,0,6744
2018-08-31,"75287","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",59,1527,-0.00261267145656434,-0.009085009733939,0.00858652575957728,1011
2018-08-31,"10024","NY","New York-Newark-Jersey City","New York","New York",60,3772,-0.000529941706412295,-0.0146290491118077,-0.0840213695968917,18227
