"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"33069","Pompano Beach","FL","Miami, FL","Broward",402,,,,,,,,,,,,1100,1125,1150,1190,1197,1200,1200,1195,1200,1250,1250,1200,1200,1200,1200,1200,1200,1200,1175,1200,1200,1300,1150,1150,1137,1100,1100,1150,1150,1150,1100,1100,1200,1200,1200,1200,1200,1175,1150,1150,1150,1150,1150,1200,1200,1200,1200,1195,1200,1200,1250,1300,1300,1250,1297.5,1250,1250,1250,1250,1250,1275,1300,1300,1250,1250,1250,1300,1275,1294.5,1300,1300,1275,1300,1300,1300,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1375,1400,1400,1400,1400,1400
"91355","Santa Clarita","CA","Los Angeles, CA","Los Angeles",403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2150,2075,1875,2025,2200,2150,2162.5,2100,2100,2100,2195,2200,2200,2295,2285,2200,2350,2200
"33441","Deerfield Beach","FL","Miami, FL","Broward",404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1600,1432.5,1500,1500,1350,1350,1300,1350,1300,1350,1350,1350,1440,1495,1420,1500,1600,1500,1500,1500,1500,1475,1450,1450,1450,1450,1500,1450,1500,1450,1440,1400,1412.5,1400
"92637","Laguna Woods","CA","Los Angeles, CA","Orange",405,,,,,,,,,,,1500,1500,1500,1475,1450,1400,1400,1400,1400,1400,1400,1400,1475,1450,1450,1450,1400,1450,1450,1450,1500,1500,1500,1500,1600,1550,1500,1475,1500,1500,1485,1500,1500,1550,1595,1500,1550,1550,1550,1550,1551,1650,1600,1600,1600,1590,1600,1600,1625,1637.5,1700,1750,1700,1700,1700,1785,1770,1800,1750,1750,1800,1700,1750,1725,1800,1750,1790,1770,1760,1750,1800,1850,1897.5,1845,1900,1972.5,2000,1950,1924,1897.5,1900,1897.5,1850,1900,1950,1900,1950,1900,1995,1981.5,1992.5,1997.5,1950
"92108","San Diego","CA","San Diego, CA","San Diego",406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1937.5,2000,1999,2000,1970,1995,2025,2100,2095,1995,1900,1990,1995,1997.5,2037.5,2100,2100,2100,2100,2095
"33326","Weston","FL","Miami, FL","Broward",407,,,,,,,,,,,,1325,1297.5,1295,1300,1300,1350,1350,1350,1300,1350,1350,1370,1380,1400,1350,1350,1400,1400,1400,1350,1350,1397.5,1400,1450,1437.5,1400,1400,1400,1450,1450,1450,1450,1400,1400,1450,1425,1400,1400,1425,1437.5,1450,1450,1450,1500,1500,1500,1500,1495,1475,1450,1450,1500,1500,1500,1500,1525,1562.5,1600,1600,1600,1600,1600,1600,1600,1600,1600,1575,1590,1559,1550,1650,1600,1637.5,1650,1650,1650,1650,1662.5,1675,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1662.5,1700,1675
"32937","Satellite Beach","FL","Palm Bay, FL","Brevard",408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875,1700,1800,1850,1900,2000,1887.5,1950,2000,1900,1900,1950,2000,2075,1999,2137.5,2200,2000,1900,2100
"33432","Boca Raton","FL","Miami, FL","Palm Beach",409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,2000,2000,2187.5,2200,2200,2200,2240,2300,2300,2472.5,2250,2240,2000,2000,2000,2000,2100,2000,2300
"91316","Los Angeles","CA","Los Angeles, CA","Los Angeles",410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2095,2100,2100,2195,1972.5,2100,2050,2200,2150,2137.5,2200,2250,2200,2250,2200,2200,2300,2300,2200,2275
"97209","Portland","OR","Portland, OR","Multnomah",411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1975,1900,1912.5,1900,1895,1950,1895,1895,1925,1950,1950,1862.5,1872,1799,1820,1812.5,1750,1835,1895
