RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,seasAdj
72727,33624,Florida,1343,20,18,17,18,15,19,20,12,8,13,11,12,19,12,16,20,22,21,16,14,19,22,13,9,30,12,16,25,21,11,20,5,14,18,12,10,14,18,14,23,18,33,12,15,24,15,17,13,14,17,19,26,21,25,18,28,22,26,26,20,32,24,27,29,23,26,32,29,17,25,19,19,24,42,28,28,31,32,32,27,27,30,29,23,41,33,28,37,37,36,38,34,33,33,33,31,37,34,50,41,43,41,38,40,38,40,38,42,37,31,37,49,50,50,26,32,28,39,29,19,41,41,40,50,52,,0
96978,92660,California,1344,1,3,3,2,1,0,1,2,0,2,2,2,3,3,4,1,4,4,7,8,3,1,5,1,7,4,4,4,2,4,7,1,5,9,3,6,5,4,2,5,1,9,5,8,1,7,3,2,3,2,8,5,7,7,7,7,5,1,1,7,4,6,10,4,8,9,5,6,4,1,3,3,4,4,4,11,6,6,4,5,3,2,2,3,3,9,6,6,9,1,7,1,3,4,5,4,1,2,6,8,3,6,6,3,9,5,3,6,9,3,6,7,4,6,5,5,6,6,4,3,7,4,6,5,7,5,0
69283,27295,North Carolina,1345,9,16,5,10,13,5,4,5,4,2,4,2,4,8,2,5,11,6,2,4,9,2,0,6,2,12,5,7,3,12,5,4,6,5,4,4,7,5,8,4,3,2,4,4,2,5,8,5,4,6,8,8,7,9,6,10,1,4,9,3,8,5,7,6,9,10,10,10,7,7,6,7,6,13,21,19,12,9,4,10,11,9,15,7,12,9,13,13,9,7,16,11,5,12,5,9,15,11,7,8,11,11,13,10,12,18,15,14,11,14,15,19,12,19,15,18,16,17,14,12,10,19,18,14,24,,0
97220,93304,California,1346,0,2,2,1,3,2,2,5,3,3,2,2,2,2,3,6,2,2,4,8,7,10,6,3,13,11,15,18,8,9,12,8,6,8,4,3,7,9,5,13,7,11,17,9,9,13,6,11,14,9,17,24,12,12,12,19,12,10,12,13,15,19,28,20,18,20,14,17,15,7,14,8,19,20,22,14,16,28,16,23,14,26,10,8,18,8,11,21,20,19,23,19,15,17,18,11,13,17,16,13,16,23,14,7,13,18,12,5,15,13,20,11,10,21,8,19,9,13,11,7,19,14,27,12,13,15,0
93587,80909,Colorado,1347,,,,,,,,,,,,,,,,,,,,,13,10,1,5,11,4,15,12,8,9,4,5,4,3,3,1,8,11,14,9,18,6,8,4,10,6,5,2,9,11,10,12,14,12,12,9,13,9,6,12,15,13,18,17,29,14,14,14,11,10,4,8,8,11,21,14,19,20,15,13,13,14,7,9,16,16,25,26,25,16,16,16,11,12,5,12,17,21,32,27,23,36,26,21,12,23,12,15,19,19,28,31,27,25,28,30,21,25,24,22,29,29,24,32,22,26,0
79014,48146,Michigan,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,10,16,15,13,16,15,18,15,13,13,17,10,22,15,25,18,20,21,15,19,14,14,14,9,13,18,20,26,23,,0
99636,98223,Washington,1349,5,4,10,10,12,10,7,9,2,4,1,3,6,10,7,6,6,8,13,17,7,7,1,15,20,18,7,16,12,11,17,6,12,6,6,4,4,5,10,9,12,9,13,9,11,11,8,9,7,13,12,11,12,16,8,11,13,16,14,13,14,12,16,19,23,34,18,19,15,13,13,10,15,20,17,22,32,24,31,22,19,22,9,23,25,29,18,28,39,41,22,12,22,22,15,26,19,29,33,34,25,33,33,36,21,21,14,13,26,9,22,36,26,30,26,29,20,21,9,20,15,28,21,24,33,35,0
77923,46037,Indiana,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,15,9,8,13,7,13,18,14,19,28,11,18,14,13,7,14,7,13,18,13,17,16,23,11,12,19,12,5,10,18,15,15,24,22,14,7,13,11,5,13,11,17,17,24,24,32,19,16,15,12,7,8,17,13,20,22,19,29,9,23,18,12,8,11,17,16,19,21,21,15,0
61219,08861,New Jersey,1351,1,1,1,0,0,1,3,2,0,0,1,0,0,2,0,0,1,2,0,1,0,1,0,0,2,0,1,0,0,0,0,0,1,0,2,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,3,1,2,2,0,2,1,0,2,0,1,3,3,0,0,0,0,1,5,2,0,3,2,3,3,5,3,3,1,1,1,5,3,4,2,2,1,4,2,1,1,0,0,3,3,2,1,3,5,1,3,2,5,4,6,5,5,3,8,1,3,4,6,4,2,4,4,,0
84373,60120,Illinois,1352,9,10,12,9,14,8,8,11,4,10,12,1,5,5,3,10,5,12,11,11,13,9,3,2,7,8,11,16,7,6,0,3,9,7,6,3,4,6,6,3,7,7,6,6,7,7,7,6,6,6,4,8,4,17,7,11,6,9,8,14,10,14,12,12,17,14,12,13,15,8,14,6,10,15,15,24,22,19,35,23,22,11,9,15,22,16,22,23,26,23,39,21,17,25,19,9,13,26,23,36,40,50,37,38,21,36,19,11,29,31,30,41,30,29,38,40,32,29,34,17,33,32,32,34,49,50,0
