"RegionName","City","State","Metro","CountyName","SizeRank","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"77494","Katy","TX","Houston, TX","Fort Bend",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777453838678329,0.797660196756182,0.797660196756182,0.825748806361605,0.841623946068766,0.821880153930731,0.796181091755574,0.794547255059726,0.809364482023767,0.846755637367694,0.80091533180778,0.861803631886734,0.846755637367694,0.784210526315789,0.822490194583513,0.815494393476045,0.833635375135919,0.837496326770497,0.815553779901436,0.814432989690722
"77479","Sugar Land","TX","Houston, TX","Fort Bend",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.773016056035375,0.807228915662651,0.800533689126084,0.806451612903226,0.798272979532367,0.793408605431797,0.805599217108529,0.800533689126084,0.797777694078406,0.794659036512468,0.800533689126084,0.815448968357311,0.800266844563042,0.789322363645372,0.786203398427593,0.796971147278941,0.81020321264919,0.790792972666638,0.788788416215188
"02155","Medford","MA","Boston, MA","Middlesex",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01148008604219,0.983675177898702,1.1097899326199,1.06299212598425,1.06907576618977,0.989583333333333,1.00692259282568,1.04625550660793,0.992779783393502,0.955414012738854,1.027429147549,1.07438016528926,1.07844825257927,1.07438016528926,1.03305785123967,0.962695547533093,0.968109339407745,0.958801848575545
"06511","New Haven","CT","Waterbury, CT","New Haven",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375891946992864,0.425925925925926,0.432616675406397,0.436250377504545,0.396243029057822,0.396243029057822,0.38109287361558,0.389254385964912,0.409962916473818,0.404970813738586,0.404970813738586,0.404536222071767,0.444312796208531,0.499803998431987,0.480030721966206,0.479568195691647,0.474457105695289,0.450229486311961,0.429000429000429
"92880","Eastvale","CA","Palm Desert, CA","Riverside",5,0.672193591754425,0.692447600900745,0.698324022346369,0.713795241317231,0.695704779189353,0.711958475463137,0.708174472647135,0.720043845085728,0.707290533188248,0.699558173784978,0.702007375403561,0.709122388252222,0.693877551020408,0.689958896065766,0.695284159613059,0.683229813664596,0.678794461037198,0.699810861929208,0.714285714285714,0.697916666666667,0.699889062658936,0.688136526286815,0.689902185339726,0.687379708551004,0.690401819628031,0.693877551020408,0.692425497378998,0.692307692307692,0.701065619742008,0.69697794718214,0.714109825166215,0.7125460249474,0.715636390548967,0.710184345723784,0.709401709401709,0.708026058921471,0.736260846699974,0.720649895178197,0.72842096093385,0.725532571781414,0.751325336868617,0.71078431372549,0.751325336868617,0.741399762752076,0.725733293014817,0.722661576220344,0.72108843537415,0.740434902284613,0.753483082172306,0.749923477196204,0.745033112582781,0.742472283620926,0.729108244531688,0.788117611397393,0.759526938239159,0.766145640768513,0.794199538218213,0.744313446710373,0.766156557331909,0.772960956371852,0.763262349036594,0.784938627291493,0.7953181272509,0.814393685066227,0.811525514125523,0.798860398860399,0.787983255355824,0.788866930171278,0.815341985764743,0.789286674272952,0.78080068153891,0.796568468760117,0.810443296165352,0.813053132426935,0.812607732085693,0.81401766004415,0.834442106361247,0.818452380952381,0.835798816568047
"33178","Doral","FL","Miami, FL","Miami-Dade",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31028833551769,1.2559006485672,1.26375137513751,1.28040973111396,1.28247812363405,1.30431543847708,1.37064534551685,1.33311917764215,1.33500878668204,1.32075471698113,1.3156853532481,1.34013989248744,1.33677724498375,1.27582017010936,1.24528301886792,1.33837649112598,1.32194761461974
"28173","Waxhaw","NC","Charlotte, NC","Union",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.761730039148665,0.731979736951573,0.717481623521892,0.682821749689923,0.680901143241426,0.692067313127193,0.696939454424484,0.710984339510678,0.698879722574227,0.67543547813722,0.696939454424484,0.730888158030216,0.752578453053632,0.754327930498239
"02128","Boston","MA","Boston, MA","Suffolk",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85999312005504,0.838239997911132,0.879491845063575,0.880131080844414,0.899280575539568,0.870462671328015,0.870462671328015,0.803858520900322,0.781641604010025,0.78252363873492,0.798296966471527,0.840913531998046,0.917655276379688,0.967866821525358,0.949462200751246,1.04,1.16166505324298,1.15078330512414,0.954251136515187
"02125","Boston","MA","Boston, MA","Suffolk",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.751181057863022,0.774739374926641,0.781625584844128,0.775744723380415,0.775274053884646,0.767386091127098,0.789683364511882,0.795053003533569,0.784313725490196,0.75512405609493,0.758131391787844,0.778654553809645,0.795404485851665,0.796764511608775,0.844339639520362,0.843431949392489,0.857428406150206,0.779036827195467,0.745980210265925
"11937","East Hampton","NY","New York, NY","Suffolk",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9074074074074,16.0061264271791,15,15,14.1067216981132,13.3333333333333,13.3333333333333,13.75,14.3095238095238,13.3333333333333,14.7738899120115,14.9074074074074,14.2857142857143,13.2051282051282,13.3333333333333,13.0769230769231,11.875,12.5,12.0486111111111
"02143","Somerville","MA","Boston, MA","Middlesex",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21512098600894,1.1917564301,1.16926503340757,1.26339969372129,1.24956086376813,1.03379858200531,1.0060911722523,0.858135252140465,0.854700854700855,0.8955740442965,0.917180103197941,0.941575490849077,0.984485012239285,1.13858165256994,1.2905604719764,1.25305420077389,1.31335659339637,1.28500423035789
"02144","Somerville","MA","Boston, MA","Middlesex",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08794197642792,1.00644122383253,1.06969828095544,1.01152288233307,1.01779252110977,1.1179455543374,1.30183124811945,1.26480418864352,1.16353998171461,1.09057861254165,1.03630839967585,1.01779252110977,1.00644122383253,1.09271523178808,1.11042566317088,1.11042566317088,1.0964591236344,1.23046592762329,1.31172839506173,1.31458584466412,1.25832152325774,1.27862554047246,1.17147607384407
"02145","Somerville","MA","Boston, MA","Middlesex",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0053587489269,1.02093572690415,1.0196905766526,0.85397096498719,0.890437475803329,0.86446434084594,0.905387052965143,0.920653907496013,0.872021789496836,0.86446434084594,0.864724679616579,0.89961413024258,0.931017561977502,0.973827654050257,1.0989010989011,1.20886501007388
"90210","Beverly Hills","CA","Los Angeles, CA","Los Angeles",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3930373618522,4.5303920065093,4.86842105263158,4.90936555891239,4.98440424204616,5.67184234099731,4.99220212102308,5.01448629373746,5.24238495428364,5.44413178137419,5.44413178137419,5.72182858957053,5.53569827026181,5.70218312153796,5.720152537401,5.68696536438472,5.71116782946948,5.7111433938386,5.75053918044572,5.83175211509854
"11968","Southampton","NY","New York, NY","Suffolk",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8461538461538,13.3333333333333,13.3928571428571,15.625,15,16.3793103448276,16.8178331735379,17.2443818952042,16.6666666666667,16.6666666666667,15.7738095238095,15,15,15,15.7362928606924,15,15.7894736842105,16.0238095238095,16.1885757046645,18.9753320683112,16.8571428571429,16.6666666666667,16.6666666666667,16.125,15.5731922398589,14.7278150633855,15.8679800177262,15.9365079365079,14.2857142857143,14.8104609311506,14.5520732494353,13.9806403574088,14.2857142857143,14.9218565931045,13.2560080838217,13,13.3333333333333,13.078231292517
"11963","Noyack","NY","New York, NY","Suffolk",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4414414414414,18.75,18.3333333333333,16.6666666666667,14.7727272727273,13.75,13.1764577278222,14.2080745341615,14.1176470588235,14.4822592324403,13.75,13.0588106689987,13.0217391304348,13.7258791961635,12.8824476650564,13.0217391304348,12.8824476650564,12.9310344827586,12.9135644042386,12.8960943257185
"11976","Water Mill","NY","New York, NY","Suffolk",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.21499668215,16.7507709559854,16.1764705882353,19.047619047619,17.4166666666667,16.923337282112,15.625,14.9242250287026,14.367816091954,16.4179104477612,17.5837815473728,15.625,16.4179104477612,17.4166666666667,17.5,16.477058188988,17.0823582962284,15.6696428571429,15.0602409638554,15.0630766334024,14.6985407066052
"11932","Bridgehampton","NY","New York, NY","Suffolk",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.665404040404,16.4728682170543,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667,16.2861415752742,14.6153846153846,15.3535353535354,15.625,15.625,16.1081081081081,16.4523183181233,16.0028449502134,15.6184922948771,13.875,14.2225869993434,15,13.5714285714286
"11962","Sagaponack","NY","New York, NY","Suffolk",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2307692307692,17.1428571428571,18.3766233766234,17.7777777777778,16.6666666666667,16.7249417249417,15.1103500761035,16.6666666666667,16.25,16.7249417249417,16.6666666666667,16.6666666666667,16.6666666666667,17.0714285714286,18.1971153846154,17.4618979882138,16.8916083916084,16.8916083916084,18.125,17.1428571428571
