"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"96738","Waikoloa","HI","Kailua Kona, HI","Hawaii",1031,,,,,,,,,,,,,,,365950,378000,358500,344950,349950,354500,354500,351750,350000,350000,350000,349950,343000,349000,322450,369000,354000,343000,343000,341500,299450,292000,319000,319000,340000,340000,349900,349000,362000,385000,387000,389900,394450,389900,425000,429000,435000,439000,437000,444900,439900,419000,419000,405000,429900,435000,432000,399500,399000,419000,417500,399950,389000,385000,384500,359000,359000,406000,399900,399700,399000,385000,380000,380000,369000,337450,359000,359000,366750,369000,367500,374000,379500,368500,378500,385000,385000,385000,379000,349000,379000,349000,385000,407000,398000,399000,449500,477000,490000,449500
"20036","Washington","DC","Washington, DC","District of Columbia",1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376000,357500,367450,390000,369900,369900,394000,399000,369000,424900,465000,485000,449900,414700,399900,367450,399000,399900
"28468","Sunset Beach","NC","Conway, SC","Brunswick",1033,,,,,,,,,,,,,,,,,,179900,173900,169900,173900,173900,161250,159000,154450,154900,154450,152700,154000,154000,154000,154000,149000,149000,149000,149900,149900,149000,149000,149000,147000,147000,149000,149000,149000,145000,146200,144900,137450,149900,149900,143250,140950,149900,149900,149900,149900,149900,147900,148400,147900,146400,145900,139950,141500,142000,143500,142500,139900,135900,135450,135900,137500,129900,148500,149900,145900,145450,147900,149900,166450,149900,150450,151900,168700,165000,165000,174500,161200,159900,169000,175000,181500,176450,177900,172500,169700,166000,169500,166000,169500,173700,169900,174900
"78657","Horseshoe Bay","TX",,"Llano",1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358500,349000,399000,399000,399000,399000,399000,413500,399000,375000,330000,330000,360000,372000,357000,309450,299900,299500
"84101","Salt Lake City","UT","Salt Lake City, UT","Salt Lake",1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000,329450,349000,329800,344450,349450,349450,362950,392400,389900,382450,409900,399900,399900,399900,417000
"10007","New York","NY","New York, NY","New York",1036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4892750,4915000,5010000,5035000,4985000,4995000,5065000,5105000,5105000,4994500,4817500,4710750,4645000,4625000,4473000,4485000,4550000,4635500,4585000,4925000,4992500,4985000,5185950,4997500,4750000,4747500,4720000,4499982,4450000,4495000,4372500,4492500,4745000,4391750,4325000,4186500,4022500,3998000,4e+06
"70112","New Orleans","LA","New Orleans, LA","Orleans",1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000,401900,395300,399900,379900,369900,379900,388950,388950,395400,399000,399000,385000,369900,335000,369450,369000,392450,395900
"19930","Bethany Beach","DE","Ocean City, MD","Sussex",1038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384900,389000,389000,365000,398950,395900,364950,375000,392900,390950,389000,390000,389450,379000,389450,379000,394500,394500,379000,4e+05,439900,414999.5,4e+05,429000,384950,364900,424000,439000,419000,399900,399900,404450,399000,399000,389500,423000,423000,423950,423950
"27954","Manteo","NC","Kill Devil Hills, NC","Dare",1039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274900,299000,299999,279900,299500,304250,314500,309500,287000,285000,294250,287000,299500,299500,282450,294000,287000,299000,299450,299900,319900,325000,299900,299900,319250,295000,292450,287000,289900,269000,287000,287000,319250
"07462","Vernon Township","NJ","New York, NY","Sussex",1040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,119950,120000,114950,109000,102400,99000,99900,99900,111900,108648,109450,102447.5,105500,105000,106450,99900,109000,109250,109900,111400,112900,105000,110000,108450,109900,109450,109900
