RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
92575,78640,Texas,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133500,131700,135500,133500,134300,134900,137500,143500,145300,146400,145800,147400,148300,148e3,147100,150100,150800,156e3,156e3,154800,154200,156e3,158900,162100,163400,166400,166700,169e3,170200,169500,170200,173500,176700,176600,174300,173500,179200,181800,185200,184400,186900,187e3,188600,186300,187400,188700,190200,192e3,189500,192e3,191e3,196700,198700,199100,199800,205e3,208600,207200,204700,204500,208300,206e3,
93210,80020,Colorado,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175500,177500,174100,171400,173100,175e3,176100,176500,176800,183600,185800,189200,184200,182100,185100,189300,195300,193800,195800,189800,195300,198100,205500,202600,205900,211800,223700,219400,221900,224600,230900,232800,236e3,236800,228100,222500,226100,245900,251400,255800,248100,253300,256700,264500,266e3,270200,278300,285100,285500,285200,284600,276200,278500,273500,282100,281e3,293100,297200,284500,284300,277600,289800,287100,300200,312800
69453,27613,North Carolina,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151900,151e3,155500,16e4,159e3,160300,161600,163300,164300,162900,164100,164100,169300,170600,172400,169100,166100,161e3,164500,170300,179800,179200,184e3,184e3,183e3,181400,,,
69385,27526,North Carolina,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117100,115400,113600,120300,121800,124e3,119800,123e3,124400,132300,131900,130500,127500,126100,117700,121400,122500,131200,131700,128900,131200,128600,132700,132200,133e3,137300,139400,142900,143400,143800,142800,141400,138400,138200,141200,137500,141700,141900,152e3,147800,146e3,143900,147900,151300,153e3,153800,153100,155200,158200,148900,145400,138500,151600,156e3,161400,152300,147800,128500,129900,123700,137600,147400,139700,146900,147600,169400,171300,
95818,89122,Nevada,272,173700,168500,164900,155300,15e4,145700,141e3,140300,135800,125800,112600,104200,102600,95e3,90900,86200,88100,85100,82700,81100,82600,84100,78900,76700,78800,80500,80100,76700,78600,80900,8e4,79200,77e3,75500,73200,67600,69e3,66500,67900,63800,65e3,64e3,63500,64e3,68600,66900,64400,60500,63e3,61300,60800,62800,64300,66900,64600,74500,78e3,83300,73400,72e3,69e3,69800,70500,75700,81e3,82200,83700,86400,90300,93200,97400,92500,91400,90100,93600,91100,94e3,99800,104100,103100,101700,100800,102900,104900,114200,114500,118300,113100,112800,112600,115400,124500,123600,116500,111200,110600,117400,119700,124800,129200,127300,126700,122600,123900,129100,134400,135300,134600,136400,140900,140700,141300,143100,150500,154800,166400,171300,169e3,161e3,154e3,165e3,163600,168200,167500,177200,
72717,33614,Florida,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49900,49600,57100,57e3,62100,63400,66400,65e3,65700,68100,69600,72900,76600,77300,77200,76900,79600,82500,82200,83900,84100,95e3,99900,103300,104800,107e3,110200,113500,122e3,120800,116700,
72358,33020,Florida,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97400,97e3,98900,110300,112100,105800,91100,99500,101100,110600,105100,109e3,105100,107900,112300,113200,113700,115800,119200,122800,113100,116100,125200,130200,129e3,120800,122400,116900,125400,120500,124600
96743,92234,California,275,219200,216300,213200,205200,181400,185200,177400,185300,171e3,166900,152900,145500,144e3,143700,133600,125900,113700,115e3,110800,122400,122600,128100,120800,120600,118600,128300,127e3,126600,115e3,121500,123100,133300,131100,130700,118500,109700,108100,107400,111100,105900,108700,110300,111100,113600,106300,112800,106200,111e3,108700,113600,112700,111600,108800,112500,111600,119300,128800,131500,130600,123200,127500,127e3,128600,126500,124e3,126200,13e4,138400,142e3,146800,152600,156400,156900,160100,160100,154200,151800,144300,150800,146900,157700,157600,155900,148600,154e3,166800,168800,165500,163200,168200,155800,153100,148e3,157800,167600,174500,177400,171100,178e3,195400,201300,212e3,207800,215700,208500,213200,202500,206e3,199700,201600,199900,207600,195500,192700,181200,192300,186700,197300,192800,198100,197100,221e3,226e3,232300,219300,233200
92346,78250,Texas,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93100,98300,98700,94e3,90900,92600,94500,97700,99900,98500,96500,94900,96700,98100,100900,103400,102200,106700,107400,111600,107600,108800,109e3,110400,110900,111200,107e3,107e3,107400,112300,112100,113200,114900,116800,117800,120100,121700,127400,126100,124400,119100,125300,124900,128400,123900,129600,131200,
82189,55337,Minnesota,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117500,118e3,120500,123200,126700,122700,118400,114400,114800,112900,114200,114300,118100,123600,124700,128100,127900,118500,121900,108300,118800,118700,139900,144600,144500,140300,141300,139200,140400,143e3,146500,148700,147300,149100,150700,148600,149700,148200,149800,147900,147200,147800,151600,155100,161200,162400,160800,159e3,154900,158300,161200,162400,155900,151500,155700,159200,164700,174500,185300,185500,176800,173e3
