RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
84657,60661,Illinois,1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302400,291500,301600,306200,310200,359800,351800,368800,334700,361500,361800,341700,319100,307500,310800,324300,326300,346600,339500,366200,354600,389800,367100,374600,356900,375600,379e3,371900,368100,376e3,378100,355100,358100,346300,374900,380600,408300,390800,376500,373300,369700,358100,364300,366e3,362300,363400,374600,398700,389900,385400,392300,409800,423e3,409700,418400,419800,436600,400700,382900,378100,431e3,464100,442200,433900,398800,447800,426800,490200,448800,470500,434200,461e3,453400,450100,470700
399602,60124,Illinois,1058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335200,336400,334600,340700,338300,341500,346300,351600,354100,348900,353100,358800,371700,347500,339600,332100,356200,362900,357200,351500,348900,349200,339100,336900,338100,393200,410300,414e3,376200,373700,373400,376e3,372200,373400,356600,364e3,356400,361600,351100,350400,356800,355200,374400,369e3
96937,92596,California,1059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284500,278400,277800,275100,277100,273700,28e4,276900,278700,273e3,272e3,275900,276300,275600,277300,277800,281e3,283500,288e3,296500,303900,310500,314900,317400,328700,334300,344400,349600,355400,358600,358200,36e4,360500,365900,374800,380900,375600,373100,366600,375e3,369800,373e3,372200,382200,388e3,390600,391200,391e3,392e3,393400,393700,393400,395100,397e3,405800,409e3,412800,406e3,403e3,404600,414800,418700,424200,419100,426800,428700,431900,429300,426500,437100,439900,444200,437900,440800,456800,459200,454100,438400,443200,452500,464e3,471900,472300,469900,461500,472800,484100
58643,02129,Massachusetts,1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664900,656400,664300,652200,633400,611500,641700,672200,798400,790900,759800,658500,702e3,719900,749100,759600,743200,788800,757600,765700,741600,766300,839800,856300,818800,780600,739e3,762200,767900,778900,743e3,752300,745700,759600,730400,749300,781400,802400,797400,791100,792600,801800,783500,822500,841e3,834100,790200,757200,811600,837400,839400,
96483,91737,California,1061,645300,608300,587400,545900,554100,497900,477100,443200,459100,494700,532100,532100,503500,439300,452300,427e3,489600,449400,527400,473400,479400,407700,409800,422800,454400,436500,397600,375800,416500,438e3,446800,396200,410100,495800,488600,444100,347500,397500,413700,415700,408100,433600,450100,415100,375500,377e3,383300,414500,388800,383900,366700,368700,384400,382700,406400,409500,427400,412600,430900,446500,477400,485300,489300,481100,487600,479900,481200,493900,489900,496900,469700,522800,572900,574900,541600,528700,539900,547300,510400,494100,515700,557e3,591700,565600,521400,517700,530600,540300,526900,528100,551300,576600,568700,553600,530700,547100,532700,549900,547900,568900,602100,611800,634400,599900,605200,558800,597900,560400,645800,628800,663700,632500,618500,631900,627400,665900,683700,734100,732500,678200,64e4,612800,628700,610100,626500,631e3
90627,75022,Texas,1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317900,322100,324300,338800,340200,348600,343100,362e3,349900,362500,339400,362200,358300,387e3,379500,378e3,378600,364800,372800,367200,387700,384100,389e3,378700,399200,394300,396700,393100,398800,409900,405100,396e3,388900,394400,406e3,4e5,39e4,392300,407100,411600,406700,404200,420500,424e3,433e3,43e4,434600,429800,433300,424300,422300,400500,404900,411200,428900,425200,435200,435200,460300,456300,456500,450600,451200,444800
72487,33185,Florida,1063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285800,270900,266e3,266600,276900,273100,273e3,270900,275700,283500,284100,287700,292300,292900,303500,307600,327200,326300,339400,326600,327600,310400,313300,316200,328400,334700,335200,336100,336400,333200,336800,340500,347500,349900,350500,349600,351400,352200,358300,360600,363e3,364800,354800,361900,354600,369600,367800,377200,377800,379400,393500,386600,387500,376100,385300,383900,381400,396700,400700,409e3,412800,415e3,415600,402800,404500,41e4,400800,415100,400800,414e3,406300,433e3,431700,441e3,445e3,
95090,85755,Arizona,1064,393900,411600,404200,379100,351400,344100,364100,416600,434400,442e3,403300,371400,351700,351100,358200,343200,308300,295700,318700,353300,347700,319400,272100,287400,312800,335400,365400,339300,341600,293800,307600,294e3,312800,342100,330600,314200,265700,289900,286400,294100,263e3,253200,255400,267200,290500,273e3,266300,24e4,247300,262600,276600,270700,261600,253900,264300,272600,290800,315600,322300,314e3,306200,293500,294100,278800,285300,282300,289100,279200,287900,297800,305900,307400,292600,301300,301500,291200,292700,297300,328600,325200,303300,288800,266200,285600,274300,290800,319100,331800,335300,294600,279900,283800,294400,301500,305200,309700,322700,333100,327400,322100,313500,334700,333800,338600,325800,325200,316900,309e3,314500,319700,340100,348300,345e3,321600,325100,331800,357900,375700,360100,353300,336900,379300,398400,400200,392200,362900
93599,80921,Colorado,1065,373400,360400,384400,370900,379600,368500,377900,345100,334800,357300,385600,381700,348600,342200,338300,347800,349700,370200,370300,359700,338700,327200,335600,354300,352600,341400,333700,345400,348500,357200,339900,372200,376100,407500,383500,390500,359400,352900,337400,352500,371700,374400,372700,351100,363400,384300,406600,373400,351400,344400,357400,365200,356800,367200,354700,340100,346100,360300,385900,380300,380300,382900,379800,382400,387400,384300,385200,377400,382900,375500,365300,358800,343800,349500,372500,398500,402800,392500,376700,359400,347800,361400,380300,385500,376900,382900,387e3,392e3,390700,394500,402500,405600,418900,419600,424600,435600,445200,444100,433300,424900,422300,426300,434500,413200,411500,412300,45e4,462400,467200,457900,449300,444800,446300,455700,474900,471900,456900,442800,457800,480100,480500,475600,463600,472400,474400,474600
84421,60175,Illinois,1066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412900,419600,421e3,409e3,407400,415400,414e3,442500,421800,407500,408400,402100,509500,484900,489600,382100,387200,416500,463500,447100,425100,387100,401500,411100,419e3,402700,397300,423e3,435500,437700,417500,411400,410500,415500,395500,409e3,421600,443600,439100,424900,408800,425600,424600,447300,445500,466e3,464700,448700,430100,430400,425200,410800,396e3,386500,402400,463900,485100,476300,411700,389100,382200,395800,409700,426900,428800,425200,420300,464e3,448400,444600,393e3,403e3,406500,399800,414600,399800,405800,421700,431500,474700,472200,475500,438500,419300,440600,441400,449200
