RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
61938,10950,New York,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362900,345e3,333200,353500,349100,353e3,348900,359200,359e3,359400,349700,348e3,355700,361100,348500,342e3,347e3,361100,359500,353700,353600,350900,362200,360300,366300,386400,389800,378400,352300,351400,356100,366600,386100,399600,407500,397400,401900,404200,407e3,408500,415500,416600,,
96101,90241,California,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579100,573400,543100,564100,583500,603800,607800,630200,608600,601e3,597400,617900,624e3,615700,613600,616700,601200,580800,588200,603400,624800,655600,680900,688500,634200,625300,646e3,655200
93196,80004,Colorado,972,223200,233300,232100,226400,222e3,224300,226400,226e3,216e3,213700,208900,214500,214100,216600,218600,215e3,210500,210900,216900,229400,224e3,230100,221800,235100,224600,224e3,216300,220100,219500,226900,230300,228100,219500,215200,216100,22e4,228e3,23e4,226400,210600,212400,211700,218300,214700,217100,222600,230800,228300,222700,220100,217800,219400,216e3,218500,221600,227600,228700,227900,222700,223700,227300,231500,237600,242800,245500,245300,247900,250800,255900,258100,263900,263100,258100,267300,268100,271800,262500,267700,273200,275600,272200,275e3,278900,292400,295900,301300,302500,306800,314800,322100,326700,331100,333500,336e3,334900,342500,348e3,352200,353400,356700,356900,354400,351100,352800,353500,358700,364200,366500,374100,383100,384500,379800,370700,377300,385900,392900,391800,390400,396100,408200,409100,410700,411500,413400,409900,409e3
69412,27560,North Carolina,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230700,222900,218600,217600,223300,228400,218900,227e3,211500,229400,217100,231800,227200,230300,223200,231200,234500,251800,244300,242700,244800,255400,257600,255800,255800,265200,274200,269900,254800,252e3,250300,273500,259300,259100,253300,266300,275600,
99760,98374,Washington,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24e4,239600,228200,236e3,265400,271e3,266700,250800,254600,261300,259100,263100,266700,267500,271400,278600,279700,273600,272600,277600,274600,274e3,273700,286e3,288700,300100,302800,299e3,288300,292300,296400,298900,292400,317800,329900,345e3,325200,322200,321700,325100,333800,342800,341700,343e3,342100,351800,349100,347100,353200,357900,356500,358300,367800,373700,377600,376900,389400,388900,410500,406e3,402900,388500,394100,403500,418700,424400,431300,425800,423300,435500,445e3,464500,460500,451400,436e3,436600
96767,92262,California,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205600,204200,197700,206900,195500,194800,196100,191300,202e3,201600,214200,210200,217400,230300,242300,241100,229e3,230200,237400,253400,252900,256200,255e3,259200,259600,285600,288600,297e3,279800,285800,289500,290900,284300,275900,280300,287500,295900,307300,307400,301600,290900,287500,293300,284600,294e3,298e3,307800,310900,305100,305300,298400,304500,303300,311800,303800,314200,320200,329400,327600,311800,318100,318e3,336200,338600,345200,341800,339900,335200,343100,344400,352e3,347200,366300,378e3,376600,354800,342500,350600,353600,359600
91961,77471,Texas,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179800,178800,181300,187800,197e3,200700,201200,200100,198700,212200,218300,222800,21e4,201e3,198600,196900,211e3,206800,208500,195700,198200,202100,211900,211200,209700,206700,209e3,204e3,
96410,91401,California,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546100,540200,525400,535500,550200,562e3,549300,529300,530800,553800,589400,646700,650800,652700,624700,604700,604500,627400,638600,633100,621100,620500,624300,623100,65e4,651800,646e3,643300,662600,657500,652e3,622700,677800,698400,721300,677100,658700,676500,,,,,
70996,30269,Georgia,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142500,133500,142500,143600,144400,146700,145900,149300,138e3,136700,139500,148300,147600,137100,134600,139300,144400,145200,146800,145500,147600,147200,151300,148800,146800,146600,148900,151900,149800,149900,144800,149100,151700,156400,155400,155500,157800,159500,165200,168e3,173600,174700,176100,175900,172200,174900,181400,181800,183600,179200,182300,182e3,183700,184400,187900,196e3,192e3,188700,186200,197e3,203300,204200,199400,192300,196500,199300,205800,201600,204100,201800,198100,208100,204500,213100,195200,210600,203400,217800,205900,216200,228700,240500,247e3,244100,252e3,245300,
97047,92840,California,979,,,,,,,,,,421100,427300,421200,419900,399900,394100,397800,399600,389100,375900,381200,387300,392300,388400,401100,401600,405100,390200,386500,381500,386700,377e3,373400,370300,376700,376700,369800,375900,374500,370400,365400,362800,373400,361200,353400,350400,353500,356600,357800,371300,370300,367300,363600,374500,389500,382200,381300,378100,393500,405400,405600,404400,405700,413e3,426900,435300,442700,449600,446800,446800,441500,447600,482200,503200,506500,476e3,457100,452200,45e4,452600,460400,470800,471100,473200,478700,491300,489500,484200,483600,499e3,508900,509700,514800,514700,530900,528400,53e4,53e4,543600,551500,546400,536400,540500,546800,548400,552300,555400,558400,566800,568200,572e3,578300,586300,591900,591900,586700,593300,593500,606900,599500,592900,595400,612200,616300,613700,606500,626800
