"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"60619","Chicago","IL","Chicago, IL","Cook",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163900,159000,149450,146500,140000,150000,159900,153875,151875,154000,150000,150000,140000,130315,130050,140000,142450,130200,130000,129900,129900,130000,130000,138250,142450,154000,159450,139000
"11229","New York","NY","New York, NY","Kings",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098000,988500,958000,998000,978000,1124500,1150000,1299499.5,1299499.5,1299999,1162500,1064500,1090000,1089000
"44107","Lakewood","OH","Cleveland, OH","Cuyahoga",17,114900,114900,114900,128900,121450,119900,124987,122400,118700,120950,115000,114993.5,114500,109900,105000,99900,99900,99900,99900,99998.5,99900,99500,99900,99900,113450,114250,109900,114000,114900,114900,109900,99700,99000,99825,105900,106950,109450,109900,112900,99990,107450,109000,107000,106500,99950,1e+05,99950,99000,95000,95000,98250,92450,99900,112450,119000,109950,119900,124900,124900,120400,119200,118500,123500,114900,110770,119000,119000,115950,119450,115950,119450,120000,119900,119900,124900,127450,130000,142450,139900,139700,138500,134900,145000,145000,147500,145000,129900,129900,143750,149000,150000,149900,150950,149900,159000,149900,154900,155000,163750,169900,174900,172400,179250,189900
"11377","New York","NY","New York, NY","Queens",18,718000,749000,739000,742000,742000,739000,728000,728500,739000,726000,719999,729000,725000,719999,727000,727000,718500,718500,734000,739000,747000,759900,759950,749000,749000,734000,699900,732000,729000,719000,710000,698500,699000,710000,697000,699000,714500,675000,699000,699000,739000,750000,720000,750000,750000,759500,749000,799000,825000,842000,850000,875000,870000,868500,868000,869000,884000,875000,854500,854500,924500,999000,950000,998000,990000,1100000,1122500,1100000,1070000,998000,1e+06,960000,955000,979000,980000,1025000,980000,959500,1050000,1080000,1125000,1179000,1195000,1169000,1188444,1191944,1199499.5,1199999.5,1283500,1298000,1298500,1249499.5,1299000,1250000,1230000,1249000,1299999,1325000,1270000,1250000,1260000,1295000,1210000,1299000
"90044","Los Angeles","CA","Los Angeles, CA","Los Angeles",19,252000,275000,270000,264450,250000,250000,250000,249950,232500,229900,226500,209950,239500,250000,243500,250000,249750,239000,235900,230000,227500,250000,249450,234500,230000,230000,247000,249500,254000,249500,259400,274900,268800,269450,289900,289900,304000,319950,320000,335000,347500,339000,337000,347500,354000,352000,365000,367000,365000,365000,387000,369450,371950,389000,389900,399000,399000,399000,399947.5,399900,397000,391000,389000,391750,390500,410000,410000,452499.5,432500,435000,425000,418500,425000,425000,449999,475000,489000,479000,484500,499000,499000,489000,480000,480000,480000,487000,490000,518500,527450,529000,525000,525000,529999,540000,549000,535000,537500,549000,549450,550000,559450,589000,584500,596750
"11234","New York","NY","New York, NY","Kings",20,649000,650000,650000,649999,649999,650000,650000,649000,649999.5,649000,649499.5,620000,649999,654500,662000,665000,667000,650000,650000,649500,634500,659000,649000,649250,650000,664000,659000,649000,629900,636999.5,644000,665000,649000,649000,695000,699000,682500,675000,680000,679000,667500,679000,659000,659000,659000,659000,650000,672499.5,679000,689000,699000,699000,699000,699000,699000,699000,699000,699000,699000,696500,687000,698500,699000,699000,692000,698000,689000,698500,699000,729000,729000,739000,739000,744000,752500,775000,779499.5,779999,782499.5,750000,759000,757000,750000,749000,759000,799000,798000,799999,837000,819000,839999,859000,859000,827000,859000,849000,819000,849000,859000,869999.5,859000,859000,865000,849000
"11207","New York","NY","New York, NY","Kings",21,449000,439949.5,439000,439200,449000,439000,445000,439000,435000,439000,429000,425000,422200,419000,410000,410000,4e+05,399749.5,399999,399749.5,399499.5,419000,419000,419000,419000,419000,419000,419000,425000,439000,449000,449000,459000,459000,469500,479000,479000,479000,495000,499000,509000,509000,509000,499999,512000,519000,519000,519000,520000,525000,545000,549000,529000,539000,549000,569000,569000,575000,575000,589000,599000,599000,599000,599000,625000,650000,650000,699000,684500,699000,689000,650000,672000,664999.5,749000,750000,750000,759000,749500,799000,749000,749000,749000,750000,768500,779000,799000,799000,799000,799999.5,799999,799999,849000,849000,850000,849000,825000,827000,832500,839000,850000,850000,855000,850000
"60617","Chicago","IL","Chicago, IL","Cook",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99949.5,88270,79050,75000,70000,77450,81450,95500,96500,89900,99000,1e+05,109000,1e+05,112000,104900,1e+05,99450,99000,93500,99900,104400,99000,98950,94900,94900,102450,105562.5,107850,109950,109700,110000,113950,117000,119900,125000,124900,124700,122450
"90026","Los Angeles","CA","Los Angeles, CA","Los Angeles",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749999,749499.5,699000,724499.5,699000,699000,712000,759000,759000,799000,809000,765000,799900,798900,829900,825000,799000,850000,886500,822500,839500,849500,850000,849500,895000,897500,9e+05,950000,950000,962475,950000,950000,964000,998412.5,981212.5,981212.5,1050000,1050000,1089000,1195000,1185000,1150000,1150000,1149000,1079000,1089000,1095000,1116000,1175000,1162500,1150000,1195000,1200000,1244950,1199772.5,1199000,1180000,1195000,1175000
"10314","New York","NY","New York, NY","Richmond",24,575000,565000,569900,567000,569000,569000,565000,564900,569000,549900,549000,549999.5,549900,549000,549000,542450,549000,529000,531500,532000,537000,545000,549000,549000,535000,539000,532000,525000,539000,527000,509009.5,499900,509009.5,499900,499900,499450,498000,499000,497600,495000,495000,499000,499900,525000,512450,499000,499000,499000,566500,569000,569000,575000,579000,578000,567000,559000,577000,579000,595000,575000,575000,579000,589000,580000,599000,597000,589000,589450,589000,599900,644900,669000,674999.5,649900,649000,637998,639000,649000,685000,678825,679325,680000,699000,699000,699000,749949.5,749000,742450,722450,749450,744000,699900,749900,747000,749000,749000,759000,788880,775000,781940,799000,791940,799000,796500
"11215","New York","NY","New York, NY","Kings",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1912500,1999000,2100000,2200000,2150000,1947500,1850000,1872500,1899500,1949500,2100000,1997000,2100000,2194500,2250000,2200000,2200000,2200000,2200000,2200000,2232000,2300000,2219000,2200000,2100000,2e+06,2300000,2399000,2397000,2300000,2300000,2300000,2400000,2400000,2395000,2300000,2495000,2547500,2495000,2500000,2395000,2395000,2350000,2324500,2374500,2399000,2495000,2492500,2462500,2497500,2500000,2650000,2499000,2497000,2487000,2485000
"06010","Bristol","CT","West Hartford, CT","Hartford",26,179900,175900,174900,169900,169900,164000,163500,162500,166950,169000,169900,169900,162450,162400,149900,158000,159900,149900,149900,150000,159900,162400,162400,162400,162400,159900,155000,157000,159450,154900,149900,139900,139900,139900,143550,145000,139900,147400,143900,141000,135000,139900,149900,169900,169900,172900,156900,149900,154800,159900,162900,161400,162900,162900,162750,163500,160000,159900,159900,159900,157000,155000,159900,159900,159450,164900,159900,161950,163900,165000,169900,159900,159900,159900,164200,169900,169900,164900,164900,160400,155000,158900,159950,155000,155000,155000,159950,164900,165000,167900,164900,162900,149900,159900,159900,164950,150000,159950,164900,155500,159000,159900,160000,166450
"11221","New York","NY","New York, NY","Kings",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799999,825000,849000,850000,867499.5,899000,884500,899000,899999,949000,977000,975000,980000,999000,999000,999000,999000,999999,1050000,1150000,1050000,1149999,1199000,1199000,1199000,1199000,1200000,1199999,1250000,1249000,1250000,1295000,1299000,1300000,1342250,1300000,1300000,1299000,1252500,1250000,1299000,1349000,1350000,1350000,1337497.5,1365000,1300000,1300000,1299000,1299000,1299999.5,1300000,1349500,1379000,1399000,1388000,1465000,1465000,1400000
