RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,seasAdj
61095,08530,New Jersey,6514,2,0,0,3,3,1,0,1,1,1,1,0,1,1,1,1,1,0,3,3,1,1,2,0,1,0,0,2,2,3,5,1,0,2,2,1,1,1,0,3,2,1,0,2,0,2,0,0,1,1,1,0,6,3,1,3,1,1,2,0,2,3,1,2,6,2,4,1,1,0,0,2,0,2,2,8,3,5,3,2,4,5,1,2,1,1,0,7,2,5,2,6,0,4,6,0,5,0,2,2,7,3,0,3,2,3,0,1,2,4,5,1,3,1,2,3,0,2,1,1,2,1,,,,,0
63529,14445,New York,6515,1,2,0,2,1,3,1,1,0,0,1,3,0,0,1,1,2,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,3,5,1,1,0,1,0,0,0,0,1,2,0,1,3,1,1,1,0,2,2,0,0,2,2,1,2,0,1,2,1,0,1,0,1,2,2,0,0,0,2,0,0,1,0,0,4,1,1,0,1,3,0,3,3,1,1,3,2,3,5,3,1,1,0,1,0,0,,,,,,,,0
63546,14472,New York,6516,2,9,5,3,1,7,7,6,6,5,3,5,5,1,3,4,6,7,3,5,3,4,0,1,4,5,3,10,2,3,6,8,7,6,1,2,2,5,5,4,8,9,7,1,4,4,1,4,4,3,11,7,5,12,4,8,5,2,5,3,4,3,6,13,11,16,4,3,4,11,4,3,2,6,4,8,11,7,8,6,7,5,7,3,3,2,7,10,4,6,8,6,9,5,5,7,11,9,16,10,8,14,8,4,3,5,6,4,7,5,12,14,10,8,12,9,7,1,2,8,5,2,6,6,16,,0
60375,06525,Connecticut,6517,1,2,6,5,12,6,5,5,6,3,2,1,4,5,5,14,10,9,4,7,8,7,3,2,2,5,6,13,7,13,3,11,3,4,2,4,1,1,3,9,9,7,9,4,8,11,0,3,8,3,7,8,8,11,5,7,8,6,2,5,2,8,9,6,13,11,8,11,7,8,2,6,5,5,10,8,8,13,6,6,4,3,5,4,0,4,6,23,21,15,11,5,5,5,5,1,2,4,11,11,2,17,6,9,1,10,4,4,4,3,13,19,10,13,6,5,6,5,4,2,2,7,9,20,21,,0
87090,66085,Kansas,6518,4,5,9,1,3,3,2,2,5,0,4,1,5,3,8,8,9,8,3,5,7,4,2,5,9,6,8,16,7,2,5,1,7,14,4,5,6,5,1,3,3,10,7,7,6,13,1,3,10,6,3,11,10,11,4,5,2,5,3,2,6,8,9,12,13,9,11,6,1,4,5,7,8,8,13,13,20,10,10,14,7,5,1,4,7,11,13,13,15,16,12,13,7,4,2,1,3,4,14,18,6,11,8,5,5,7,7,6,15,9,17,26,15,18,14,13,7,15,6,2,12,11,18,19,20,,0
90743,75167,Texas,6519,2,4,4,0,3,2,0,0,0,1,3,0,1,2,1,2,1,1,2,2,3,1,2,1,1,4,1,0,1,2,2,2,1,0,0,0,2,2,2,1,0,1,2,2,1,2,0,1,4,2,2,6,2,4,1,3,0,0,3,0,1,5,0,3,2,1,3,1,2,2,3,3,3,2,4,4,4,2,3,3,2,2,3,2,2,7,5,3,0,5,4,3,1,6,4,1,6,6,1,4,6,6,4,2,4,3,2,5,5,4,0,6,5,9,11,14,7,2,4,6,3,4,,,,,0
59257,03865,New Hampshire,6520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
91231,76078,Texas,6521,2,0,2,1,1,1,1,2,1,0,0,1,0,1,0,2,2,1,0,0,1,3,1,1,0,1,1,3,1,0,0,0,0,1,0,1,1,2,0,0,1,0,0,2,0,0,0,0,2,0,1,3,3,4,2,4,4,1,4,0,6,2,0,5,4,9,3,2,1,4,1,1,1,2,2,5,8,5,4,5,3,3,3,4,2,1,2,4,3,3,1,1,5,2,1,2,2,5,1,4,2,5,2,3,6,4,3,0,2,1,0,3,7,0,5,3,5,4,4,0,2,3,,,,,0
60814,07825,New Jersey,6522,3,4,6,6,7,6,6,6,9,4,3,2,4,2,1,5,6,6,3,5,5,4,3,2,4,1,3,4,5,6,4,4,7,3,2,3,2,4,2,2,3,5,2,5,4,4,3,2,3,2,6,8,3,1,1,2,5,7,1,3,3,4,6,5,11,8,11,8,5,9,2,2,5,5,5,7,5,8,9,13,4,7,1,5,2,5,5,6,3,7,3,7,5,9,6,4,1,1,8,6,7,11,11,7,4,11,5,3,10,7,7,4,7,12,10,11,10,8,6,6,3,4,8,7,7,,0
80266,50273,Iowa,6523,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,2,0,2,2,0,1,2,2,0,5,3,0,1,4,2,2,2,1,2,0,0,0,2,5,4,2,3,2,1,1,0,1,0,1,3,2,2,3,3,2,3,4,2,3,2,1,1,3,2,3,6,2,8,4,3,0,0,0,1,5,9,7,2,1,2,4,0,4,1,1,3,5,2,4,5,2,,,,,,,,,,,,0
98385,95694,California,6524,0,0,2,2,1,0,0,0,0,1,0,0,2,0,1,0,2,2,2,0,0,1,0,1,2,2,0,0,2,0,2,2,1,2,1,1,0,2,1,0,2,1,1,4,2,1,1,0,2,1,1,1,3,1,1,1,0,7,1,2,0,2,1,1,2,0,1,3,0,2,2,0,1,2,2,6,1,1,1,2,2,2,1,4,1,0,1,1,3,2,2,1,3,1,1,1,5,3,4,4,0,5,1,0,2,0,0,1,2,1,2,2,4,2,5,1,1,1,3,1,,,,,,,0
63520,14428,New York,6525,2,1,1,3,2,7,2,0,0,2,1,0,1,1,2,2,2,2,1,0,2,1,1,1,3,1,4,6,0,1,2,5,3,2,0,3,4,1,2,0,0,4,2,1,3,1,1,1,1,1,3,5,5,4,0,1,3,1,2,0,1,5,3,3,2,7,4,3,4,2,0,1,0,3,7,2,2,1,3,3,2,0,1,0,0,0,4,6,1,5,6,3,1,2,0,4,1,5,3,4,6,1,1,3,0,5,1,2,3,7,3,3,2,7,1,5,1,1,0,1,1,1,1,8,2,,0
70952,30187,Georgia,6526,3,3,2,4,0,1,2,1,1,1,0,1,0,1,0,2,1,0,0,0,4,1,2,0,0,1,1,0,0,3,2,0,1,0,1,0,0,1,2,0,2,5,4,2,0,3,3,2,3,6,7,7,7,8,7,4,4,1,5,9,3,7,3,2,4,1,2,2,1,3,4,1,0,2,4,3,6,6,3,4,2,2,1,3,3,6,1,6,2,3,3,3,1,1,2,6,5,1,2,8,5,6,2,2,3,4,0,0,1,2,5,2,2,1,2,2,1,3,1,1,3,,,,,,0
60811,07821,New Jersey,6527,1,2,0,2,1,0,2,1,0,3,0,0,0,1,2,0,1,1,2,1,0,2,0,0,0,1,3,0,2,0,2,0,1,1,2,0,0,0,0,1,0,1,2,0,5,1,0,3,2,0,1,0,1,4,3,2,0,0,1,0,0,3,1,1,2,1,2,7,0,1,1,1,1,1,0,0,2,1,2,2,1,0,1,1,0,0,0,2,1,4,0,2,0,0,2,0,2,0,1,0,2,1,1,1,1,0,1,1,1,1,3,5,1,2,2,2,2,3,0,,,,,,,,0
81486,53925,Wisconsin,6528,0,0,0,0,0,1,2,2,0,0,0,2,0,0,0,0,1,2,1,3,1,1,0,0,0,0,0,1,0,0,0,1,0,2,2,1,0,0,1,0,4,0,0,0,0,1,0,1,1,0,0,3,2,2,0,0,0,0,1,0,2,3,0,2,4,0,1,1,1,2,0,1,0,0,2,1,2,1,1,4,1,1,0,0,2,0,0,1,2,2,3,1,1,0,0,0,2,0,1,4,3,1,3,1,1,1,1,0,2,0,1,2,2,2,0,2,1,0,1,1,4,0,2,3,4,,0
61970,10992,New York,6529,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,,,,,,0
63954,15223,Pennsylvania,6530,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,2,1,1,0,0,0,1,0,0,1,4,0,1,0,0,1,0,3,0,0,,,,,,,0
