"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-08-31,"21212","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",2947,1611,-0.00432632880098887,-0.00800492610837438,-0.0433491686460808,11872
2018-08-31,"95901","CA","Yuba City","Yuba","Marysville",2948,1294,-0.000772200772200772,-0.00308166409861325,-0.000772200772200772,7252
2018-08-31,"95351","CA","Modesto","Stanislaus","Modesto",2949,1297,0,0.00231839258114374,0.020456333595594,9284
2018-08-31,"98168","WA","Seattle-Tacoma-Bellevue","King","Burien",2950,1994,0,0.000501756146512795,0.0106436898124683,8372
2018-08-31,"95361","CA","Modesto","Stanislaus","Oakdale",2951,1573,0,-0.000635324015247776,0.00511182108626198,6931
2018-08-31,"23606","VA","Virginia Beach-Norfolk-Newport News","Newport News City","Newport News",2952,1449,0,0,0.00069060773480663,6427
2018-08-31,"30274","GA","Atlanta-Sandy Springs-Roswell","Clayton","Riverdale",2953,906,0.00221238938053097,0.00666666666666667,0.0295454545454545,9533
2018-08-31,"23518","VA","Virginia Beach-Norfolk-Newport News","Norfolk City","Norfolk",2954,1362,0.000734753857457751,0,0.0156599552572707,8579
2018-08-31,"98662","WA","Portland-Vancouver-Hillsboro","Clark","Five Corners",2955,1649,0,0,0.00365185636031649,9841
2018-08-31,"60046","IL","Chicago-Naperville-Elgin","Lake","Lake Villa",2956,1691,0.000591715976331361,0.0047534165181224,0.01378896882494,12210
2018-08-31,"62703","IL","Springfield","Sangamon","Springfield",2957,816,0.00122699386503067,0.00245700245700246,-0.0285714285714286,12782
