"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-08-31,"73099","OK","Oklahoma City","Canadian","Yukon",44,1240,0,0,0.00486223662884927,25756
2018-08-31,"10003","NY","New York-Newark-Jersey City","New York","New York",45,3911,-0.00153178452897626,-0.0158530447911424,-0.0527972874788084,20669
2018-08-31,"77429","TX","Houston-The Woodlands-Sugar Land","Harris","Cypress",46,1752,-0.00114025085518814,-0.00284575981787137,0.0156521739130435,25894
2018-08-31,"77479","TX","Houston-The Woodlands-Sugar Land","Fort Bend","Sugar Land",47,2292,-0.000871839581517001,-0.00174216027874564,-0.0205128205128205,26606
2018-08-31,"11206","NY","New York-Newark-Jersey City","Kings","New York",48,2485,-0.00240867121637896,-0.0127135478744537,-0.0493496557000765,8597
2018-08-31,"63376","MO","St. Louis","Saint Charles","Saint Peters",49,1474,0.00203942895989123,0.0102810143934202,0.0200692041522491,27607
2018-08-31,"60613","IL","Chicago-Naperville-Elgin","Cook","Chicago",50,1642,0,0,-0.0318396226415094,25424
2018-08-31,"30044","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Lawrenceville",51,1390,0,0.0036101083032491,0.0357675111773472,23914
2018-08-31,"77036","TX","Houston-The Woodlands-Sugar Land","Harris","Houston",52,1296,0.000772200772200772,0.00154559505409583,0.0180675569520817,10564
2018-08-31,"11230","NY","New York-Newark-Jersey City","Kings","New York",53,2172,-0.00321248279027077,-0.0118289353958144,-0.0346666666666667,11784
2018-08-31,"10463","NY","New York-Newark-Jersey City","Bronx","New York",54,1901,-0.0020997375328084,-0.0109261186264308,-0.0485485485485486,7488
2018-08-31,"30043","GA","Atlanta-Sandy Springs-Roswell","Gwinnett","Lawrenceville",55,1498,0.000668002672010688,0.000668002672010688,0.00943396226415094,24460
2018-08-31,"60629","IL","Chicago-Naperville-Elgin","Cook","Chicago",56,1440,0,0,-0.0013869625520111,20840
2018-08-31,"11212","NY","New York-Newark-Jersey City","Kings","New York",57,2180,-0.000458505272810637,-0.000916590284142988,0.00507146150299677,5959
2018-08-31,"11209","NY","New York-Newark-Jersey City","Kings","New York",58,2198,-0.00136301681054066,-0.0134649910233393,-0.04309969525468,15498
2018-08-31,"60625","IL","Chicago-Naperville-Elgin","Cook","Chicago",59,1612,0,-0.00432365657813465,-0.0206561360874848,16819
2018-08-31,"07030","NJ","New York-Newark-Jersey City","Hudson","Hoboken",60,2727,-0.0010989010989011,-0.00438116100766703,-0.051808066759388,22302
2018-08-31,"28277","NC","Charlotte-Concord-Gastonia","Mecklenburg","Charlotte",61,1835,0,0,-0.0213333333333333,23885
2018-08-31,"75287","TX","Dallas-Fort Worth-Arlington","Dallas","Dallas",62,1976,-0.00252397778899546,-0.00803212851405622,-0.0124937531234383,6766
2018-08-31,"10024","NY","New York-Newark-Jersey City","New York","New York",63,3805,-0.000262743037309511,-0.0139932625032392,-0.0793612388095814,19284
2018-08-31,"85032","AZ","Phoenix-Mesa-Scottsdale","Maricopa","Phoenix",64,1380,-0.00216919739696312,-0.00432900432900433,0.00950987564008778,21569
2018-08-31,"78704","TX","Austin-Round Rock","Travis","Austin",65,2036,-0.00196078431372549,-0.010689990281827,-0.0874047512326311,14057
