,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
86,1686,333 W Hubbard St #201,1076.0,1.0,1.0,"Chicago, IL 60654",,6.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '1,076 Square Feet']",10/05/2018,,,&lpar;River North&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1998', '186 days on Trulia', '1,076 sqft', '$297/sqft', '112 views', '$652/monthly HOA']",320000.0,,297.0,,,,https://www.trulia.com/p/il/chicago/333-w-hubbard-st-201-chicago-il-60654--2104623785,112.0,1998.0,60654.0,93396,136959.0,14875,1686,"['0.2 km', '0.6 km', '0.2 km']",['1.1 km'],"['3 mins', '3 mins', '3 mins']",['8 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.8899427],[-87.63610949999999]
87,1687,742 N La Salle Dr #5,3100.0,3.0,4.0,"Chicago, IL 60654",,3.0,,"['4 Bedrooms', '3 Bathrooms', 'Condo', '3,100 Square Feet']",09/09/2018,,,&lpar;Near North&rpar;,"['Condo', '4 Beds', '3 Baths', 'Built in 2004', '173 days on Trulia', '3,100 sqft', '$323/sqft', '352 views', '$430/monthly HOA']",1000000.0,,323.0,,,,https://www.trulia.com/p/il/chicago/742-n-la-salle-dr-5-chicago-il-60654--2104643885,352.0,2004.0,60654.0,93396,136959.0,14875,1687,"['0.3 km', '1.6 km', '0.2 km']",['2.0 km'],"['3 mins', '6 mins', '3 mins']",['11 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.8960836],[-87.6328338]
88,1688,600 N Dearborn St #701,1180.0,2.0,2.0,"Chicago, IL 60654",,2.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,180 Square Feet']",09/25/2018,,,&lpar;Near North&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2001', '172 days on Trulia', '1,180 sqft', '$326/sqft', '228 views', '$719/monthly HOA']",385000.0,,326.0,,,,https://www.trulia.com/p/il/chicago/600-n-dearborn-st-701-chicago-il-60654--2104638232,228.0,2001.0,60654.0,93396,136959.0,14875,1688,"['0.2 km', '0.7 km', '0.2 km']",['1.2 km'],"['3 mins', '2 mins', '3 mins']",['7 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.89263200000001],[-87.62973629999999]
89,1689,333 W Hubbard St #608,1005.0,1.0,1.0,"Chicago, IL 60654",,8.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '1,005 Square Feet']",07/23/2018,,,&lpar;River North&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1918', '148 days on Trulia', '1,005 sqft', '$337/sqft', '284 views', '$717/monthly HOA']",339000.0,,337.0,,"['Condo', 'Lot Size: 0.36 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/333-w-hubbard-st-608-chicago-il-60654--2104623932,284.0,1918.0,60654.0,93396,136959.0,14875,1689,"['0.2 km', '0.6 km', '0.2 km']",['1.1 km'],"['3 mins', '3 mins', '3 mins']",['8 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.8899427],[-87.63610949999999]
90,1690,420 W Grand Ave #1A,7935.0,3.0,3.0,"Chicago, IL 60654",,7.0,,"['3 Bedrooms', '3 Bathrooms', 'Condo', '7,935 Square Feet']",06/26/2018,,,&lpar;Near North&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 1900', '337 days on Trulia', '7,935 sqft', '$246/sqft', '745 views', '$1,115/monthly HOA']",1950000.0,,246.0,,,,https://www.trulia.com/p/il/chicago/420-w-grand-ave-1a-chicago-il-60654--2104629056,745.0,1900.0,60654.0,93396,136959.0,14875,1690,"['0.7 km', '2.0 km', '0.1 km']",['2.8 km'],"['9 mins', '5 mins', '1 min']",['13 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.8915611],[-87.6392896]
91,1691,375 W Erie St #313,1560.0,2.0,2.0,"Chicago, IL 60654",,8.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,560 Square Feet']",09/29/2018,,,&lpar;Near North&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1920', '148 days on Trulia', '1,560 sqft', '$327/sqft', '327 views', '$641/monthly HOA']",509900.0,,327.0,,,,https://www.trulia.com/p/il/chicago/375-w-erie-st-313-chicago-il-60654--2104627393,327.0,1920.0,60654.0,93396,136959.0,14875,1691,"['0.4 km', '1.6 km', '0.2 km']",['2.2 km'],"['5 mins', '6 mins', '3 mins']",['13 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.8938916],[-87.6389236]
92,1692,550 N Kingsbury St #518,1300.0,2.0,2.0,"Chicago, IL 60654",,9.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,300 Square Feet']",10/02/2018,,,&lpar;Near North&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1911', '159 days on Trulia', '1,300 sqft', '$327/sqft', '298 views', '$581/monthly HOA']",425000.0,,327.0,,,,https://www.trulia.com/p/il/chicago/550-n-kingsbury-st-518-chicago-il-60654--2104636245,298.0,1911.0,60654.0,93396,136959.0,14875,1692,"['0.8 km', '2.0 km', '0.1 km']",['2.9 km'],"['10 mins', '5 mins', '1 min']",['14 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.89209839999999],[-87.6404021]
93,1693,600 N Kingsbury St #802,1150.0,2.0,2.0,"Chicago, IL 60654",,4.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,150 Square Feet']",09/18/2018,,,&lpar;Near North&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2002', '114 days on Trulia', '1,150 sqft', '$361/sqft', '190 views', '$575/monthly HOA']",414900.0,,361.0,,,,https://www.trulia.com/p/il/chicago/600-n-kingsbury-st-802-chicago-il-60654--2104638574,190.0,2002.0,60654.0,93396,136959.0,14875,1693,"['0.9 km', '2.0 km', '0.1 km']",['3.0 km'],"['11 mins', '5 mins', '1 min']",['15 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.8930289],[-87.6411236]
94,1694,300 N State St #2106,725.0,1.0,1.0,"Chicago, IL 60654",,0.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '725 Square Feet']",10/02/2018,,,&lpar;River North&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1963', '110 days on Trulia', '725 sqft', '$348/sqft', '240 views', '$38/monthly HOA']",252000.0,,348.0,,,,https://www.trulia.com/p/il/chicago/300-n-state-st-2106-chicago-il-60654--2104621580,240.0,1963.0,60654.0,93396,136959.0,14875,1694,"['0.3 km', '0.3 km', '0.2 km']",['0.8 km'],"['4 mins', '1 min', '3 mins']",['7 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Brown Line'],[41.8884346],[-87.62813949999999]
95,1695,747 N Sedgwick St #4RS,1500.0,2.0,2.0,"Chicago, IL 60654",,7.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,500 Square Feet']",07/26/2018,,,&lpar;Near North&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1923', '157 days on Trulia', '1,500 sqft', '$313/sqft', '221 views', '$220/monthly HOA']",469900.0,,313.0,,,,https://www.trulia.com/p/il/chicago/747-n-sedgwick-st-4rs-chicago-il-60654--2104644006,221.0,1923.0,60654.0,93396,136959.0,14875,1695,"['0.3 km', '1.6 km', '0.2 km']",['2.0 km'],"['3 mins', '6 mins', '3 mins']",['11 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.8961045],[-87.63851849999999]
96,1696,70 W Huron St #307,875.0,1.0,1.0,"Chicago, IL 60654","['08/02/2018', '07/12/2018', '06/21/2018', '06/12/2018', '05/31/2018', '05/03/2018', '04/24/2018', '04/13/2018', '09/05/2014']",6.0,"['Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Pending to active status', 'Pending', 'Listed for sale', 'Sold']","['1 Bedroom', '1 Bathroom', 'Condo', '875 Square Feet']",09/20/2018,,,&lpar;Near North&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1985', '176 days on Trulia', '875 sqft', '$297/sqft', '338 views', '$496/monthly HOA']",259900.0,"[['2014-09-05 00:00:00', 269000, 'Sold'], ['2018-04-13 00:00:00', 285000, 'Listed for sale'], ['2018-04-24 00:00:00', 285000, 'Pending'], ['2018-05-03 00:00:00', 285000, 'Pending to active status'], ['2018-05-31 00:00:00', 275000, 'Price change'], ['2018-06-12 00:00:00', 272500, 'Price change'], ['2018-06-21 00:00:00', 269000, 'Price change'], ['2018-07-12 00:00:00', 264500, 'Price change'], ['2018-08-02 00:00:00', 259900, 'Price change']]",297.0,"['$259,900', '$264,500', '$269,000', '$272,500', '$275,000', '$285,000', '$285,000', '$285,000', '$269,000']","['Condo', 'Lot Size: 0.55 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/70-w-huron-st-307-chicago-il-60654--2104641780,338.0,1985.0,60654.0,93396,136959.0,14875,1696,"['0.4 km', '1.3 km', '0.2 km']",['1.9 km'],"['5 mins', '3 mins', '3 mins']",['11 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.8948763],[-87.6310338]
97,1697,364 W Huron St #A,2100.0,3.0,3.0,"Chicago, IL 60654",,4.0,,"['3 Bedrooms', '3 Bathrooms', 'Townhouse', '2,100 Square Feet']",06/28/2018,,,&lpar;Near North&rpar;,"['Townhouse', '3 Beds', '3 Baths', 'Built in 1998', '154 days on Trulia', '2,100 sqft', '$326/sqft', '1342 views', '$483/monthly HOA']",685000.0,,326.0,,,,https://www.trulia.com/p/il/chicago/364-w-huron-st-a-chicago-il-60654--2185757269,1342.0,1998.0,60654.0,93396,136959.0,14875,1697,"['0.3 km', '1.6 km', '0.2 km']",['2.0 km'],"['3 mins', '6 mins', '3 mins']",['11 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.8947928],[-87.6380933]
98,1698,720 N Larrabee St #903,840.0,1.0,1.0,"Chicago, IL 60654",,3.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '840 Square Feet']",10/01/2018,,,&lpar;Near North&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 2003', '143 days on Trulia', '840 sqft', '$368/sqft', '158 views', '$507/monthly HOA']",309000.0,,368.0,,,,https://www.trulia.com/p/il/chicago/720-n-larrabee-st-903-chicago-il-60654--2104643332,158.0,2003.0,60654.0,93396,136959.0,14875,1698,"['0.6 km', '1.6 km', '0.2 km']",['2.4 km'],"['8 mins', '6 mins', '3 mins']",['16 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.8952889],[-87.6430094]
99,1699,720 N Larrabee St #1701,2625.0,3.0,3.0,"Chicago, IL 60654",,3.0,,"['3 Bedrooms', '3 Bathrooms', 'Condo', '2,625 Square Feet']",10/02/2018,,,&lpar;Near North&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 2003', '3 days on Trulia', '2,625 sqft', '$570/sqft', '13 views', '$1,448/monthly HOA']",1495000.0,,570.0,,"['Condo', 'Lot Size: 0.9 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/720-n-larrabee-st-1701-chicago-il-60654--2104643272,13.0,2003.0,60654.0,93396,136959.0,14875,1699,"['0.6 km', '1.6 km', '0.2 km']",['2.4 km'],"['8 mins', '6 mins', '3 mins']",['16 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.8952889],[-87.6430094]
