,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,5500,7005 W 72nd St,1309.0,2.0,3.0,"Chicago, IL 60638","['09/21/2018', '09/12/2018', '09/04/2018', '08/18/2018', '08/03/2018', '07/21/2018']",6.0,"['Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,309 Square Feet', 'Lot Size: 6699 sqft']",09/21/2018,6699.0,sqft,,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1946', '76 days on Trulia', '6699 sqft lot size', '1,309 sqft', '$146/sqft', '57 views']",190900.0,"[['2018-07-21 00:00:00', 229500, 'Listed for sale'], ['2018-08-03 00:00:00', 222400, 'Price change'], ['2018-08-18 00:00:00', 212300, 'Price change'], ['2018-09-04 00:00:00', 209000, 'Price change'], ['2018-09-12 00:00:00', 199900, 'Price change'], ['2018-09-21 00:00:00', 190900, 'Price change']]",146.0,"['$190,900', '$199,900', '$209,000', '$212,300', '$222,400', '$229,500']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,402 Square Feet', 'Lot Size: 6,700 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7005-w-72nd-st-chicago-il-60638--2104412597,57.0,1946.0,60638.0,60046,68423.0,55026,5500,"['0.4 km', '7.6 km', '2 m', '18.6 km', '0.2 km']",['26.7 km'],"['5 mins', '19 mins', '1 min', '31 mins', '3 mins']",['1 hour 4 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['South Harlem', 'Orange Line']",[41.7610168],[-87.7956725]
1,5501,5015 S Latrobe Ave,2548.0,3.0,5.0,"Chicago, IL 60638","['08/26/2018', '08/01/2018', '07/16/2018', '06/26/2018', '03/31/1994']",1.0,"['Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,548 Square Feet', 'Lot Size: 3781 sqft']",09/29/2018,3781.0,sqft,,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 1994', '101 days on Trulia', '3781 sqft lot size', '2,548 sqft', '$112/sqft', '1053 views']",285000.0,"[['1994-03-31 00:00:00', 83333, 'Sold'], ['2018-06-26 00:00:00', 325000, 'Listed for sale'], ['2018-07-16 00:00:00', 315000, 'Price change'], ['2018-08-01 00:00:00', 307000, 'Price change'], ['2018-08-26 00:00:00', 299500, 'Price change']]",112.0,"['$299,500', '$307,000', '$315,000', '$325,000', '$83,333']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,196 Square Feet', 'Lot Size: 3,780 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5015-s-latrobe-ave-chicago-il-60638--2104394865,1053.0,1994.0,60638.0,60046,68423.0,55026,5501,"['0.6 km', '2.6 km', '16 m', '16.5 km', '0.2 km']",['19.9 km'],"['7 mins', '7 mins', '1 min', '28 mins', '3 mins']",['51 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Archer', 'Orange Line']",[41.8012512],[-87.7539852]
2,5502,5145 S Lotus Ave,840.0,1.0,2.0,"Chicago, IL 60638","['08/02/2018', '04/01/1999', '08/06/1996']",4.0,"['Listed for sale', 'Sold', 'Sold']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '840 Square Feet', 'Lot Size: 4199 sqft']",08/02/2018,4199.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '2 Beds', '1 Bath', 'Built in 1948', '64 days on Trulia', '4199 sqft lot size', '840 sqft', '$226/sqft', '244 views']",189900.0,"[['1996-08-06 00:00:00', 95000, 'Sold'], ['1999-04-01 00:00:00', 108000, 'Sold'], ['2018-08-02 00:00:00', 189900, 'Listed for sale']]",226.0,"['$189,900', '$108,000', '$95,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '840 Square Feet', 'Lot Size: 4,199 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5145-s-lotus-ave-chicago-il-60638--2104396607,244.0,1948.0,60638.0,60046,68423.0,55026,5502,"['0.4 km', '3.0 km', '16 m', '16.5 km', '0.2 km']",['20.1 km'],"['5 mins', '9 mins', '1 min', '28 mins', '3 mins']",['50 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Archer', 'Orange Line']",[41.7987845],[-87.7587558]
3,5503,5338 S Natchez Ave,3783.0,3.0,4.0,"Chicago, IL 60638","['08/24/2018', '07/30/2018', '07/30/2018', '04/26/2018', '04/25/2018']",7.0,"['Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale']","['4 Bedrooms', '3 Bathrooms', 'Single-Family Home', '3,783 Square Feet', 'Lot Size: 6372 sqft']",08/24/2018,6372.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '4 Beds', '3 Baths', 'Built in 1946', '67 days on Trulia', '6372 sqft lot size', '3,783 sqft', '$112/sqft', '1430 views']",424900.0,"[['2018-04-25 00:00:00', 460000, 'Listed for sale'], ['2018-04-26 00:00:00', 449000, 'Price change'], ['2018-07-30 00:00:00', 439900, 'Listed for sale'], ['2018-07-30 00:00:00', 449000, 'Posting removed'], ['2018-08-24 00:00:00', 424900, 'Price change']]",112.0,"['$424,900', '$439,900', '$449,000', '$449,000', '$460,000']","['4 Bedrooms', '3 Bathrooms', 'Single-Family Home', '3,783 Square Feet', 'Lot Size: 6,375 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5338-s-natchez-ave-chicago-il-60638--2104399249,1430.0,1946.0,60638.0,60046,68423.0,55026,5503,"['0.3 km', '5.3 km', '16 m', '16.5 km', '0.2 km']",['22.3 km'],"['4 mins', '15 mins', '1 min', '28 mins', '3 mins']",['55 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Archer', 'Orange Line']",[41.7948688],[-87.7843694]
4,5504,6437 W 64th Pl,2200.0,3.0,3.0,"Chicago, IL 60638","['07/30/2018', '06/28/2018', '09/08/2016', '08/25/2016', '07/19/2016', '04/28/2016', '03/04/2010']",9.0,"['Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Listed for sale', 'Sold']","['3 Bedrooms', '3 Bathrooms', 'Townhouse', '2,200 Square Feet', 'Lot Size: 1452 sqft']",09/29/2018,1452.0,sqft,&lpar;Clearing&rpar;,"['Townhouse', '3 Beds', '3 Baths', 'Built in 2007', '99 days on Trulia', '1452 sqft lot size', '2,200 sqft', '$122/sqft', '806 views', '$172/monthly HOA']",268500.0,"[['2010-03-04 00:00:00', 202000, 'Sold'], ['2016-04-28 00:00:00', 259000, 'Listed for sale'], ['2016-07-19 00:00:00', 259000, 'Pending'], ['2016-08-25 00:00:00', 259000, 'Posting removed'], ['2016-09-08 00:00:00', 245000, 'Sold'], ['2018-06-28 00:00:00', 269900, 'Listed for sale'], ['2018-07-30 00:00:00', 268500, 'Price change']]",122.0,"['$268,500', '$269,900', '$245,000', '$259,000', '$259,000', '$259,000', '$202,000']","['2 Bedrooms', '2 Bathrooms', 'Townhouse', '2,076 Square Feet', 'Lot Size: 1,452 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6437-w-64th-pl-chicago-il-60638--1239333,806.0,2007.0,60638.0,60046,68423.0,55026,5504,"['0.4 km', '4.3 km', '4 m', '18.6 km', '0.2 km']",['23.5 km'],"['6 mins', '13 mins', '1 min', '31 mins', '3 mins']",['1 hour 4 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['West 63rd', 'Orange Line']",[41.7749053],[-87.782613]
5,5505,5436 S Newland Ave,2934.0,3.0,6.0,"Chicago, IL 60638","['09/04/2018', '08/05/2018', '03/27/2008']",6.0,"['Price change', 'Listed for sale', 'Sold']","['6 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,934 Square Feet', 'Lot Size: 3750 sqft']",09/29/2018,3750.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '6 Beds', '3 Baths', 'Built in 1952', '6 days on Trulia', '3750 sqft lot size', '2,934 sqft', '$149/sqft', '106 views']",436000.0,"[['2008-03-27 00:00:00', 215000, 'Sold'], ['2018-08-05 00:00:00', 442900, 'Listed for sale'], ['2018-09-04 00:00:00', 436500, 'Price change']]",149.0,"['$436,500', '$442,900', '$215,000']","['2 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,956 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5436-s-newland-ave-chicago-il-60638--2104400306,106.0,1952.0,60638.0,60046,68423.0,55026,5505,"['1.5 km', '16.9 km', '1.3 km']",['19.7 km'],"['18 mins', '30 mins', '16 mins']",['1 hour 5 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Heritage Corridor'],[41.7929033],[-87.7952976]
6,5506,5132 S Massasoit Ave,1854.0,2.0,3.0,"Chicago, IL 60638","['09/11/2018', '09/05/2018', '08/04/2018', '06/13/1995']",2.0,"['Posting removed', 'Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,854 Square Feet', 'Lot Size: 3123 sqft']",09/05/2018,3123.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1991', '62 days on Trulia', '3123 sqft lot size', '1,854 sqft', '$169/sqft', '196 views']",314000.0,"[['1995-06-13 00:00:00', 168000, 'Sold'], ['2018-08-04 00:00:00', 319500, 'Listed for sale'], ['2018-09-05 00:00:00', 314000, 'Price change'], ['2018-09-11 00:00:00', 314000, 'Posting removed']]",169.0,"['$314,000', '$314,000', '$319,500', '$168,000']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,100 Square Feet', 'Lot Size: 3,125 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5132-s-massasoit-ave-chicago-il-60638--2104396239,196.0,1991.0,60638.0,60046,68423.0,55026,5506,"['0.7 km', '3.6 km', '16 m', '16.5 km', '0.2 km']",['21.0 km'],"['9 mins', '10 mins', '1 min', '28 mins', '3 mins']",['54 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Archer', 'Orange Line']",[41.7989585],[-87.7661476]
7,5507,5518 S Natoma Ave,2952.0,3.0,5.0,"Chicago, IL 60638","['09/19/2018', '08/03/2018', '07/22/2018', '07/06/2018', '02/12/2011', '08/05/2010', '06/21/2010', '03/18/2010', '05/29/2009', '04/03/2009', '09/15/1998', '10/12/1993']",1.0,"['Price change', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold', 'Sold']","['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,952 Square Feet', 'Lot Size: 3781 sqft']",09/19/2018,3781.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 1945', '91 days on Trulia', '3781 sqft lot size', '2,952 sqft', '$120/sqft', '368 views']",355000.0,"[['1993-10-12 00:00:00', 91666, 'Sold'], ['1998-09-15 00:00:00', 164000, 'Sold'], ['2009-04-03 00:00:00', 329000, 'Listed for sale'], ['2009-05-29 00:00:00', 329000, 'Posting removed'], ['2010-03-18 00:00:00', 299900, 'Listed for sale'], ['2010-06-21 00:00:00', 299900, 'Posting removed'], ['2010-08-05 00:00:00', 299900, 'Listed for sale'], ['2011-02-12 00:00:00', 299900, 'Posting removed'], ['2018-07-06 00:00:00', 399999, 'Listed for sale'], ['2018-07-22 00:00:00', 395000, 'Price change'], ['2018-08-03 00:00:00', 374900, 'Price change'], ['2018-09-19 00:00:00', 355000, 'Price change']]",120.0,"['$355,000', '$374,900', '$395,000', '$399,999', '$299,900', '$299,900', '$299,900', '$299,900', '$329,000', '$329,000', '$164,000', '$91,666']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '984 Square Feet', 'Lot Size: 3,780 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5518-s-natoma-ave-chicago-il-60638--2104400733,368.0,1945.0,60638.0,60046,68423.0,55026,5507,"['0.2 km', '5.5 km', '16 m', '16.5 km', '0.2 km']",['22.3 km'],"['2 mins', '15 mins', '1 min', '28 mins', '3 mins']",['54 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Archer', 'Orange Line']",[41.7915885],[-87.7879177]
8,5508,5708 S Sayre Ave,936.0,2.0,2.0,"Chicago, IL 60638","['03/07/2018', '02/28/2018', '02/03/2018', '01/29/2018']",2.0,"['Sold', 'Posting removed', 'Pending', 'Listed for sale']","['2 Bedrooms', '2 Bathrooms', 'Single-Family Home', '936 Square Feet', 'Lot Size: 5573 sqft']",09/23/2018,5573.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '2 Beds', '2 Baths', 'Built in 1943', '12 days on Trulia', '5573 sqft lot size', '936 sqft', '$267/sqft', '104 views']",250000.0,"[['2018-01-29 00:00:00', 219900, 'Listed for sale'], ['2018-02-03 00:00:00', 219900, 'Pending'], ['2018-02-28 00:00:00', 219900, 'Posting removed'], ['2018-03-07 00:00:00', 210000, 'Sold']]",267.0,"['$210,000', '$219,900', '$219,900', '$219,900']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '936 Square Feet', 'Lot Size: 5,573 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5708-s-sayre-ave-chicago-il-60638--2104402995,104.0,1943.0,60638.0,60046,68423.0,55026,5508,"['1.9 km', '16.9 km', '1.3 km']",['20.1 km'],"['24 mins', '30 mins', '16 mins']",['1 hour 10 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Heritage Corridor'],[41.7881082],[-87.7963601]
9,5509,5410 S New England Ave,1050.0,2.0,5.0,"Chicago, IL 60638","['08/08/2018', '11/14/2003', '04/21/2003']",8.0,"['Listed for sale', 'Sold', 'Sold']","['5 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,050 Square Feet', 'Lot Size: 3750 sqft']",08/16/2018,3750.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '5 Beds', '2 Baths', 'Built in 1948', '58 days on Trulia', '3750 sqft lot size', '1,050 sqft', '$257/sqft', '218 views']",270000.0,"[['2003-04-21 00:00:00', 181000, 'Sold'], ['2003-11-14 00:00:00', 260000, 'Sold'], ['2018-08-08 00:00:00', 270000, 'Listed for sale']]",257.0,"['$270,000', '$260,000', '$181,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,050 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5410-s-new-england-ave-chicago-il-60638--2104399744,218.0,1948.0,60638.0,60046,68423.0,55026,5509,"['1.5 km', '16.9 km', '1.3 km']",['19.7 km'],"['19 mins', '30 mins', '16 mins']",['1 hour 5 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Heritage Corridor'],[41.7936583],[-87.7940953]
