,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,1200,638 W 129th Pl,960.0,1.0,2.0,"Chicago, IL 60628","['04/15/2018', '06/12/2001']",8.0,"['Posting removed', 'Sold']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '960 Square Feet', 'Lot Size: 4863 sqft']",04/14/2018,4863.0,sqft,&lpar;West Pullman&rpar;,"['Single-Family Home', '2 Beds', '1 Bath', 'Built in 1951', '478 days on Trulia', '4863 sqft lot size', '960 sqft', '$91/sqft']",87030.0,"[['2001-06-12 00:00:00', 67398, 'Sold'], ['2018-04-15 00:00:00', 79556, 'Posting removed']]",91.0,"['$79,556', '$67,398']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '960 Square Feet', 'Lot Size: 4,863 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/638-w-129th-pl-chicago-il-60628--2104254870,,1951.0,60628.0,39592,48882.0,72202,1200,"['0.3 km', '4.1 km', '0.5 km', '30.3 km', '0.4 km']",['35.6 km'],"['4 mins', '7 mins', '6 mins', '36 mins', '6 mins']",['1 hour 6 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'HEAVY_RAIL']","['Halsted', 'Metra Electric']",[41.6583446],[-87.63801819999999]
1,1201,11127 S Wallace St,1299.0,2.0,4.0,"Chicago, IL 60628","['07/18/2018', '03/20/2018', '03/07/2018', '02/27/2018', '02/20/2018', '02/13/2018', '11/14/2017', '10/03/2017', '05/13/2017', '05/06/2002', '11/14/1997']",1.0,"['Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Listed for sale', 'Posting removed', 'Sold', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,299 Square Feet', 'Lot Size: 6098 sqft']",10/05/2018,6098.0,sqft,&lpar;Roseland&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1922', '251 days on Trulia', '6098 sqft lot size', '1,299 sqft', '$77/sqft', '415 views']",99510.0,"[['1997-11-14 00:00:00', 45000, 'Sold'], ['2002-05-06 00:00:00', 113000, 'Sold'], ['2017-05-13 00:00:00', 112738, 'Posting removed'], ['2017-10-03 00:00:00', 112687, 'Listed for sale'], ['2017-11-14 00:00:00', 126020, 'Posting removed'], ['2018-02-13 00:00:00', 101402, 'Posting removed'], ['2018-02-20 00:00:00', 100088, 'Posting removed'], ['2018-02-27 00:00:00', 97573, 'Posting removed'], ['2018-03-07 00:00:00', 97769, 'Posting removed'], ['2018-03-20 00:00:00', 100520, 'Posting removed'], ['2018-07-18 00:00:00', 93591, 'Posting removed']]",77.0,"['$93,591', '$100,520', '$97,769', '$97,573', '$100,088', '$101,402', '$126,020', '$112,687', '$112,738', '$113,000', '$45,000']","['5 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,299 Square Feet', 'Lot Size: 6,150 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/11127-s-wallace-st-chicago-il-60628--2104239056,415.0,1922.0,60628.0,39592,48882.0,72202,1201,"['0.7 km', '2.0 km', '0.1 km', '23.0 km', '0.4 km']",['26.3 km'],"['9 mins', '7 mins', '1 min', '28 mins', '6 mins']",['54 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'HEAVY_RAIL']","['Pullman/115th', 'Metra Electric']",[41.6915373],[-87.6374658]
2,1202,652 E 105th Pl,890.0,2.0,2.0,"Chicago, IL 60628","['08/22/2018', '08/01/2018', '08/01/2018', '02/28/2018', '10/14/2017', '09/05/2017', '03/14/2017', '02/18/2004', '11/04/2003', '01/25/2002', '06/22/2001']",0.0,"['Price change', 'Price change', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold', 'Sold', 'Sold', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Townhouse', '890 Square Feet']",08/22/2018,,,&lpar;Roseland&rpar;,"['Townhouse', '2 Beds', '2 Baths', 'Built in 1944', '570 days on Trulia', '890 sqft', '$107/sqft', '228 views']",94800.0,"[['2001-06-22 00:00:00', 25000, 'Sold'], ['2002-01-25 00:00:00', 77500, 'Sold'], ['2003-11-04 00:00:00', 38500, 'Sold'], ['2004-02-18 00:00:00', 110000, 'Sold'], ['2017-03-14 00:00:00', 99000, 'Listed for sale'], ['2017-09-05 00:00:00', 98000, 'Price change'], ['2017-10-14 00:00:00', 97000, 'Price change'], ['2018-02-28 00:00:00', 96000, 'Price change'], ['2018-08-01 00:00:00', 95000, 'Price change'], ['2018-08-01 00:00:00', 96000, 'Posting removed'], ['2018-08-22 00:00:00', 94800, 'Price change']]",107.0,"['$94,800', '$95,000', '$96,000', '$96,000', '$97,000', '$98,000', '$99,000', '$110,000', '$38,500', '$77,500', '$25,000']","['2 Bedrooms', '1 Bathroom', 'Townhouse', '864 Square Feet', 'Lot Size: 2,016 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/652-e-105th-pl-chicago-il-60628--2104255011,228.0,1944.0,60628.0,39592,48882.0,72202,1202,"['0.5 km', '20.6 km', '0.4 km']",['21.5 km'],"['6 mins', '38 mins', '6 mins']",['49 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.7038018],[-87.60660349999999]
3,1203,308 W 114th St,1250.0,1.0,3.0,"Chicago, IL 60628","['09/05/2018', '08/04/2018', '06/27/2018', '04/24/2018', '03/01/2018', '02/23/2018']",4.0,"['Price change', 'Pending to active status', 'Pending', 'Pending to active status', 'Pending', 'Listed for sale']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,250 Square Feet', 'Lot Size: 6250 sqft']",09/05/2018,6250.0,sqft,&lpar;Roseland&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1920', '224 days on Trulia', '6250 sqft lot size', '1,250 sqft', '$60/sqft', '229 views']",74900.0,"[['2018-02-23 00:00:00', 79900, 'Listed for sale'], ['2018-03-01 00:00:00', 79900, 'Pending'], ['2018-04-24 00:00:00', 79900, 'Pending to active status'], ['2018-06-27 00:00:00', 79900, 'Pending'], ['2018-08-04 00:00:00', 79900, 'Pending to active status'], ['2018-09-05 00:00:00', 74900, 'Price change']]",60.0,"['$74,900', '$79,900', '$79,900', '$79,900', '$79,900', '$79,900']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,250 Square Feet', 'Lot Size: 6,250 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/308-w-114th-st-chicago-il-60628--2104251177,229.0,1920.0,60628.0,39592,48882.0,72202,1203,"['0.3 km', '1.5 km', '0.1 km', '23.0 km', '0.4 km']",['25.2 km'],"['3 mins', '5 mins', '1 min', '28 mins', '6 mins']",['47 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'HEAVY_RAIL']","['Pullman/115th', 'Metra Electric']",[41.687081],[-87.63068539999999]
4,1204,12101 S Princeton Ave,1042.0,2.0,3.0,"Chicago, IL 60628","['09/10/2018', '04/26/2018', '04/11/2018', '03/13/2018']",6.0,"['Price change', 'Price change', 'Pending', 'Listed for sale']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,042 Square Feet', 'Lot Size: 3811 sqft']",09/10/2018,3811.0,sqft,&lpar;West Pullman&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1955', '206 days on Trulia', '3811 sqft lot size', '1,042 sqft', '$58/sqft', '369 views']",60000.0,"[['2018-03-13 00:00:00', 60000, 'Listed for sale'], ['2018-04-11 00:00:00', 60000, 'Pending'], ['2018-04-26 00:00:00', 70000, 'Price change'], ['2018-09-10 00:00:00', 60000, 'Price change']]",58.0,"['$60,000', '$70,000', '$60,000', '$60,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,042 Square Feet', 'Lot Size: 3,813 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/12101-s-princeton-ave-chicago-il-60628--2104244858,369.0,1955.0,60628.0,39592,48882.0,72202,1204,"['0.5 km', '2.6 km', '23.0 km', '0.4 km']",['26.6 km'],"['6 mins', '6 mins', '27 mins', '6 mins']",['49 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'HEAVY_RAIL']","['Metra Electric', 'Metra Electric']",[41.6740773],[-87.6296979]
5,1205,11437 S Forrestville Ave,1088.0,1.0,3.0,"Chicago, IL 60628","['08/08/2018', '06/27/2018', '06/12/2018', '06/06/2018', '03/19/2018', '05/24/2002']",0.0,"['Pending to active status', 'Pending', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,088 Square Feet', 'Lot Size: 1995 sqft']",08/17/2018,1995.0,sqft,&lpar;Pullman&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1885', '200 days on Trulia', '1995 sqft lot size', '1,088 sqft', '$62/sqft', '489 views']",67000.0,"[['2002-05-24 00:00:00', 70000, 'Sold'], ['2018-03-19 00:00:00', 75000, 'Listed for sale'], ['2018-06-06 00:00:00', 72000, 'Price change'], ['2018-06-12 00:00:00', 67000, 'Price change'], ['2018-06-27 00:00:00', 67000, 'Pending'], ['2018-08-08 00:00:00', 67000, 'Pending to active status']]",62.0,"['$67,000', '$67,000', '$67,000', '$72,000', '$75,000', '$70,000']","['3 Bedrooms', '1 Bathroom', 'Townhouse', '1,088 Square Feet', 'Lot Size: 1,997 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/11437-s-forrestville-ave-chicago-il-60628--2104241248,489.0,1885.0,60628.0,39592,48882.0,72202,1205,"['0.4 km', '23.0 km', '0.4 km']",['23.8 km'],"['5 mins', '27 mins', '6 mins']",['37 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.6861732],[-87.6094385]
6,1206,10940 S Eberhart Ave,1018.0,1.0,2.0,"Chicago, IL 60628","['06/19/2018', '05/18/2018']",0.0,"['Price change', 'Listed for sale']","['2 Bedrooms', '1 Bathroom', 'Townhouse', '1,018 Square Feet', 'Lot Size: 3445 sqft']",06/19/2018,3445.0,sqft,&lpar;Roseland&rpar;,"['Townhouse', '2 Beds', '1 Bath', 'Built in 1948', '140 days on Trulia', '3445 sqft lot size', '1,018 sqft', '$69/sqft', '740 views']",70000.0,"[['2018-05-18 00:00:00', 80000, 'Listed for sale'], ['2018-06-19 00:00:00', 70000, 'Price change']]",69.0,"['$70,000', '$80,000']","['3 Bedrooms', '1.5 Bathrooms', 'Townhouse', '1,018 Square Feet', 'Lot Size: 3,445 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/10940-s-eberhart-ave-chicago-il-60628--2104238167,740.0,1948.0,60628.0,39592,48882.0,72202,1206,"['0.4 km', '22.2 km', '0.4 km']",['23.0 km'],"['4 mins', '36 mins', '6 mins']",['46 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.6951989],[-87.6110604]
7,1207,11822 S Normal Ave,948.0,1.0,3.0,"Chicago, IL 60628",['08/15/2018'],7.0,['Posting removed'],"['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '948 Square Feet', 'Lot Size: 3100 sqft']",08/15/2018,3100.0,sqft,&lpar;West Pullman&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1895', '297 days on Trulia', '3100 sqft lot size', '948 sqft', '$71/sqft']",67569.0,"[['2018-08-15 00:00:00', 41650, 'Posting removed']]",71.0,"['$41,650']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '948 Square Feet', 'Lot Size: 3,100 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/11822-s-normal-ave-chicago-il-60628--2104243090,,1895.0,60628.0,39592,48882.0,72202,1207,"['0.7 km', '2.6 km', '23.0 km', '0.4 km']",['26.8 km'],"['9 mins', '6 mins', '27 mins', '6 mins']",['52 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'HEAVY_RAIL']","['Metra Electric', 'Metra Electric']",[41.6789394],[-87.6347545]
8,1208,10905 S Park Ave #101,825.0,1.0,2.0,"Chicago, IL 60628",,8.0,,"['2 Bedrooms', '1 Bathroom', 'Condo', '825 Square Feet']",05/09/2018,,,&lpar;Roseland&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 1950', '158 days on Trulia', '825 sqft', '$79/sqft', '53 views', '$175/monthly HOA']",64900.0,,79.0,,,,https://www.trulia.com/p/il/chicago/10905-s-park-ave-101-chicago-il-60628--2352508497,53.0,1950.0,60628.0,39592,48882.0,72202,1208,"['1.5 km', '4.6 km', '0.3 km', '13.5 km', '0.1 km']",['20.0 km'],"['20 mins', '7 mins', '4 mins', '26 mins', '1 min']",['54 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Milwaukee North', 'Blue Line']",[41.9922311],[-87.7606139]
9,1209,10339 S Lowe Ave,969.0,5.0,3.0,"Chicago, IL 60628","['05/09/2018', '03/20/2018', '03/07/2018', '02/27/2018', '02/20/2018', '02/13/2018', '02/07/2018', '01/30/2018', '01/24/2018', '01/16/2018', '01/09/2018', '12/26/2017', '12/19/2017', '12/13/2017', '12/05/2017', '11/28/2017']",1.0,"['Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed', 'Posting removed']","['3 Bedrooms', '1.5 Bathrooms', 'Single-Family Home', '969 Square Feet', 'Lot Size: 6098 sqft']",10/05/2018,6098.0,sqft,&lpar;Fernwood&rpar;,"['Single-Family Home', '3 Beds', '1.5 Baths', 'Built in 1968', '331 days on Trulia', '6098 sqft lot size', '969 sqft', '$45/sqft', '10 views']",43835.0,"[['2017-11-28 00:00:00', 84216, 'Posting removed'], ['2017-12-05 00:00:00', 84348, 'Posting removed'], ['2017-12-13 00:00:00', 84063, 'Posting removed'], ['2017-12-19 00:00:00', 84020, 'Posting removed'], ['2017-12-26 00:00:00', 83018, 'Posting removed'], ['2018-01-09 00:00:00', 82807, 'Posting removed'], ['2018-01-16 00:00:00', 83366, 'Posting removed'], ['2018-01-24 00:00:00', 83597, 'Posting removed'], ['2018-01-30 00:00:00', 84309, 'Posting removed'], ['2018-02-07 00:00:00', 84229, 'Posting removed'], ['2018-02-13 00:00:00', 85907, 'Posting removed'], ['2018-02-20 00:00:00', 85882, 'Posting removed'], ['2018-02-27 00:00:00', 86108, 'Posting removed'], ['2018-03-07 00:00:00', 64970, 'Posting removed'], ['2018-03-20 00:00:00', 64970, 'Posting removed'], ['2018-05-09 00:00:00', 64970, 'Posting removed']]",45.0,"['$64,970', '$64,970', '$64,970', '$86,108', '$85,882', '$85,907', '$84,229', '$84,309', '$83,597', '$83,366', '$82,807', '$83,018', '$84,020', '$84,063', '$84,348', '$84,216']","['3 Bedrooms', '1.5 Bathrooms', 'Single-Family Home', '969 Square Feet', 'Lot Size: 6,300 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/10339-s-lowe-ave-chicago-il-60628--2104233237,10.0,1968.0,60628.0,39592,48882.0,72202,1209,"['0.5 km', '3.1 km', '0.1 km', '18.4 km', '0.2 km']",['22.3 km'],"['6 mins', '9 mins', '2 mins', '27 mins', '3 mins']",['51 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Halsted', 'Red Line']",[41.7057722],[-87.6391135]
