,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
46,4046,5415 N Sheridan Rd #3611,1200.0,2.0,2.0,"Chicago, IL 60640",,3.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,200 Square Feet']",09/07/2018,,,&lpar;Edgewater&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1974', '63 days on Trulia', '1,200 sqft', '$200/sqft', '354 views', '$884/monthly HOA']",239900.0,,200.0,,,,https://www.trulia.com/p/il/chicago/5415-n-sheridan-rd-3611-chicago-il-60640--2104450004,354.0,1974.0,60640.0,43975,63299.0,65790,4046,"['0.5 km', '11.9 km', '0.2 km']",['12.7 km'],"['7 mins', '28 mins', '3 mins']",['37 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.98031940000001],[-87.6550448]
47,4047,5415 N Sheridan Rd #2206,1250.0,2.0,2.0,"Chicago, IL 60640",['08/28/2018'],8.0,['Listed for sale'],"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,250 Square Feet']",08/28/2018,,,&lpar;Edgewater&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1971', '38 days on Trulia', '1,250 sqft', '$232/sqft', '115 views', '$913/monthly HOA']",289900.0,"[['2018-08-28 00:00:00', 289900, 'Listed for sale']]",232.0,"['$289,900']","['Condo', 'Lot Size: 1.95 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/5415-n-sheridan-rd-2206-chicago-il-60640--2104449789,115.0,1971.0,60640.0,43975,63299.0,65790,4047,"['0.5 km', '11.9 km', '0.2 km']",['12.7 km'],"['7 mins', '28 mins', '3 mins']",['37 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.98031940000001],[-87.6550448]
48,4048,4651 N Dover St #2,1000.0,1.0,2.0,"Chicago, IL 60640",,3.0,,"['2 Bedrooms', '1 Bathroom', 'Condo', '1,000 Square Feet']",10/03/2018,,,&lpar;Uptown&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 1911', '3 days on Trulia', '1,000 sqft', '$275/sqft', '27 views', '$234/monthly HOA']",275000.0,,275.0,,,,https://www.trulia.com/p/il/chicago/4651-n-dover-st-2-chicago-il-60640--2123471805,27.0,1911.0,60640.0,43975,63299.0,65790,4048,"['0.9 km', '10.4 km', '0.2 km']",['11.5 km'],"['11 mins', '24 mins', '3 mins']",['37 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9668426],[-87.6657068]
49,4049,5100 N Marine Dr #11J,750.0,1.0,1.0,"Chicago, IL 60640","['09/09/2018', '09/06/2018', '09/28/2017', '08/29/2017', '10/26/2015', '10/20/2015', '06/18/2012', '05/22/2012', '10/21/2011', '11/19/1997']",9.0,"['Posting removed', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold', 'Posting removed', 'Listed for sale', 'Sold']","['1 Bedroom', '1 Bathroom', 'Condo', '750 Square Feet']",09/11/2018,,,&lpar;Uptown&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1970', '29 days on Trulia', '750 sqft', '$199/sqft', '159 views', '$385/monthly HOA']",149000.0,"[['1997-11-19 00:00:00', 55000, 'Sold'], ['2011-10-21 00:00:00', 120000, 'Listed for sale'], ['2012-05-22 00:00:00', 120000, 'Posting removed'], ['2012-06-18 00:00:00', 119000, 'Sold'], ['2015-10-20 00:00:00', 1350, 'Listed for sale'], ['2015-10-26 00:00:00', 1350, 'Posting removed'], ['2017-08-29 00:00:00', 149900, 'Listed for sale'], ['2017-09-28 00:00:00', 149900, 'Posting removed'], ['2018-09-06 00:00:00', 149000, 'Listed for sale'], ['2018-09-09 00:00:00', 149000, 'Posting removed']]",199.0,"['$149,000', '$149,000', '$149,900', '$149,900', '$1,350', '$1,350', '$119,000', '$120,000', '$120,000', '$55,000']","['Condo', 'Lot Size: 0.76 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/5100-n-marine-dr-11j-chicago-il-60640--2104446841,159.0,1970.0,60640.0,43975,63299.0,65790,4049,"['0.8 km', '11.4 km', '0.2 km']",['12.5 km'],"['10 mins', '26 mins', '3 mins']",['39 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.97569439999999],[-87.651924]
50,4050,1466 W Winona St #3,1420.0,2.0,2.0,"Chicago, IL 60640",,1.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,420 Square Feet']",09/04/2018,,,&lpar;Uptown&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2018', '31 days on Trulia', '1,420 sqft', '$422/sqft', '39 views', '$168/monthly HOA']",599900.0,,422.0,,,,https://www.trulia.com/p/il/chicago/1466-w-winona-st-3-chicago-il-60640--2351457728,39.0,2018.0,60640.0,43975,63299.0,65790,4050,"['1.0 km', '11.4 km', '0.2 km']",['12.6 km'],"['12 mins', '26 mins', '3 mins']",['41 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9753388],[-87.6673599]
51,4051,5236 N Kenmore Ave #3S,1600.0,2.0,3.0,"Chicago, IL 60640",,2.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,600 Square Feet']",09/19/2018,,,&lpar;Edgewater&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 2018', '42 days on Trulia', '1,600 sqft', '$359/sqft', '543 views', '$170/monthly HOA']",575000.0,,359.0,,,,https://www.trulia.com/p/il/chicago/5236-n-kenmore-ave-3s-chicago-il-60640--2288772814,543.0,2018.0,60640.0,43975,63299.0,65790,4051,"['0.3 km', '11.9 km', '0.2 km']",['12.4 km'],"['3 mins', '28 mins', '3 mins']",['34 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9774898],[-87.6565088]
52,4052,1250 W Argyle St #3R,1323.0,2.0,3.0,"Chicago, IL 60640",,7.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,323 Square Feet']",09/04/2018,,,&lpar;Uptown&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 2007', '217 days on Trulia', '1,323 sqft', '$264/sqft', '790 views', '$318/monthly HOA']",349000.0,,264.0,,,,https://www.trulia.com/p/il/chicago/1250-w-argyle-st-3r-chicago-il-60640--2104434184,790.0,2007.0,60640.0,43975,63299.0,65790,4052,"['0.3 km', '11.4 km', '0.2 km']",['12.0 km'],"['4 mins', '26 mins', '3 mins']",['33 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9726734],[-87.66175969999999]
53,4053,4747 N Clark St #2N,1560.0,2.0,3.0,"Chicago, IL 60640",,4.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,560 Square Feet']",10/03/2018,,,&lpar;Uptown&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 2009', '94 days on Trulia', '1,560 sqft', '$304/sqft', '215 views', '$251/monthly HOA']",474000.0,,304.0,,,,https://www.trulia.com/p/il/chicago/4747-n-clark-st-2n-chicago-il-60640--2104443007,215.0,2009.0,60640.0,43975,63299.0,65790,4053,"['0.8 km', '10.9 km', '0.2 km']",['12.0 km'],"['10 mins', '25 mins', '3 mins']",['38 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9684712],[-87.66736809999999]
54,4054,5354 N Paulina St,4400.0,5.0,5.0,"Chicago, IL 60640",,4.0,,"['5 Bedrooms', '5 Bathrooms', 'Single-Family Home', '4,400 Square Feet', 'Lot Size: 3123 sqft']",08/25/2018,3123.0,sqft,&lpar;Andersonville&rpar;,"['Single-Family Home', '5 Beds', '5 Baths', 'Built in 2018', '94 days on Trulia', '3123 sqft lot size', '4,400 sqft', '$332/sqft', '236 views']",1459000.0,,332.0,,,,https://www.trulia.com/p/il/chicago/5354-n-paulina-st-chicago-il-60640--1070775,236.0,2018.0,60640.0,43975,63299.0,65790,4054,"['1.3 km', '11.9 km', '0.2 km']",['13.4 km'],"['17 mins', '28 mins', '3 mins']",['47 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9795848],[-87.6722042]
55,4055,4745 N Ravenswood Ave #308,1369.0,2.0,2.0,"Chicago, IL 60640","['09/12/2018', '08/23/2018', '07/18/2018', '11/11/2016', '09/26/2016', '08/01/2016', '12/24/2008', '10/18/2008', '06/24/1997']",9.0,"['Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Condo', '1,369 Square Feet']",09/12/2018,,,&lpar;Uptown&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1908', '79 days on Trulia', '1,369 sqft', '$284/sqft', '486 views', '$388/monthly HOA']",389000.0,"[['1997-06-24 00:00:00', 172000, 'Sold'], ['2008-10-18 00:00:00', 389000, 'Listed for sale'], ['2008-12-24 00:00:00', 389000, 'Posting removed'], ['2016-08-01 00:00:00', 375000, 'Listed for sale'], ['2016-09-26 00:00:00', 350000, 'Price change'], ['2016-11-11 00:00:00', 350000, 'Posting removed'], ['2018-07-18 00:00:00', 400000, 'Listed for sale'], ['2018-08-23 00:00:00', 397500, 'Price change'], ['2018-09-12 00:00:00', 389000, 'Price change']]",284.0,"['$389,000', '$397,500', '$400,000', '$350,000', '$350,000', '$375,000', '$389,000', '$389,000', '$172,000']","['Condo', 'Lot Size: 0.63 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/4745-n-ravenswood-ave-308-chicago-il-60640--2104442942,486.0,1908.0,60640.0,43975,63299.0,65790,4055,"['0.1 km', '10.5 km', '0.8 km']",['11.4 km'],"['1 min', '18 mins', '10 mins']",['30 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Union Pacific North'],[41.9682313],[-87.6741088]
