,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,5600,6028 S Melvina Ave,1072.0,2.0,3.0,"Chicago, IL 60638","['08/21/2018', '06/18/2018', '05/29/2018', '08/24/2015', '08/12/2015', '05/22/2015', '05/16/2015', '05/10/2015', '04/29/2015', '04/26/2015', '04/15/2015', '04/13/2015', '04/03/2015', '02/19/2015', '01/28/2015', '11/27/2007']",9.0,"['Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Sold', 'Pending', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,072 Square Feet', 'Lot Size: 4373 sqft']",09/30/2018,4373.0,sqft,&lpar;Clearing&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1953', '129 days on Trulia', '4373 sqft lot size', '1,072 sqft', '$238/sqft', '195 views']",255000.0,"[['2007-11-27 00:00:00', 231500, 'Sold'], ['2015-01-28 00:00:00', 269900, 'Listed for sale'], ['2015-02-19 00:00:00', 264900, 'Price change'], ['2015-04-03 00:00:00', 249000, 'Price change'], ['2015-04-13 00:00:00', 264900, 'Price change'], ['2015-04-15 00:00:00', 249000, 'Price change'], ['2015-04-26 00:00:00', 264900, 'Price change'], ['2015-04-29 00:00:00', 249000, 'Price change'], ['2015-05-10 00:00:00', 264900, 'Price change'], ['2015-05-16 00:00:00', 249000, 'Price change'], ['2015-05-22 00:00:00', 249000, 'Pending'], ['2015-08-12 00:00:00', 248000, 'Sold'], ['2015-08-24 00:00:00', 249000, 'Posting removed'], ['2018-05-29 00:00:00', 269900, 'Listed for sale'], ['2018-06-18 00:00:00', 267000, 'Price change'], ['2018-08-21 00:00:00', 255000, 'Price change']]",238.0,"['$255,000', '$267,000', '$269,900', '$249,000', '$248,000', '$249,000', '$249,000', '$264,900', '$249,000', '$264,900', '$249,000', '$264,900', '$249,000', '$264,900', '$269,900', '$231,500']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,072 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6028-s-melvina-ave-chicago-il-60638--2104406611,195.0,1953.0,60638.0,60046,68423.0,55026,5600,"['0.5 km', '4.0 km', '4 m', '18.6 km', '0.2 km']",['23.3 km'],"['7 mins', '12 mins', '1 min', '31 mins', '3 mins']",['1 hour 4 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['West 63rd', 'Orange Line']",[41.7824067],[-87.77660159999999]
1,5601,5549 S Natoma Ave,1650.0,2.0,3.0,"Chicago, IL 60638","['08/24/2018', '05/22/2018', '04/25/2018', '09/20/2017', '09/18/2017', '08/15/2017', '08/11/2017', '08/05/2017', '07/27/2017', '07/06/2017', '06/29/2017', '01/12/1999']",3.0,"['Price change', 'Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Pending to active status', 'Pending', 'Pending to active status', 'Pending', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,650 Square Feet', 'Lot Size: 3781 sqft']",10/05/2018,3781.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1917', '163 days on Trulia', '3781 sqft lot size', '1,650 sqft', '$170/sqft', '522 views']",279900.0,"[['1999-01-12 00:00:00', 150000, 'Sold'], ['2017-06-29 00:00:00', 99900, 'Listed for sale'], ['2017-07-06 00:00:00', 99900, 'Pending'], ['2017-07-27 00:00:00', 99900, 'Pending to active status'], ['2017-08-05 00:00:00', 99900, 'Pending'], ['2017-08-11 00:00:00', 99900, 'Pending to active status'], ['2017-08-15 00:00:00', 99900, 'Pending'], ['2017-09-18 00:00:00', 99900, 'Posting removed'], ['2017-09-20 00:00:00', 102500, 'Sold'], ['2018-04-25 00:00:00', 295000, 'Listed for sale'], ['2018-05-22 00:00:00', 284900, 'Price change'], ['2018-08-24 00:00:00', 279900, 'Price change']]",170.0,"['$279,900', '$284,900', '$295,000', '$102,500', '$99,900', '$99,900', '$99,900', '$99,900', '$99,900', '$99,900', '$99,900', '$150,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,650 Square Feet', 'Lot Size: 3,780 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5549-s-natoma-ave-chicago-il-60638--2104401361,522.0,1917.0,60638.0,60046,68423.0,55026,5601,"['0.2 km', '5.5 km', '16 m', '16.5 km', '0.2 km']",['22.4 km'],"['3 mins', '15 mins', '1 min', '28 mins', '3 mins']",['55 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Archer', 'Orange Line']",[41.7907637],[-87.787791]
2,5602,5931 S Narragansett Ave,2530.0,4.0,3.0,"Chicago, IL 60638",,6.0,,"['3 Bedrooms', '4 Bathrooms', 'Single-Family Home', '2,530 Square Feet', 'Lot Size: 4133 sqft']",09/06/2018,4133.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '3 Beds', '4 Baths', 'Built in 2001', '126 days on Trulia', '4133 sqft lot size', '2,530 sqft', '$158/sqft', '885 views']",399990.0,,158.0,,,,https://www.trulia.com/p/il/chicago/5931-s-narragansett-ave-chicago-il-60638--2104405851,885.0,2001.0,60638.0,60046,68423.0,55026,5602,"['0.8 km', '4.3 km', '4 m', '18.6 km', '0.2 km']",['23.9 km'],"['10 mins', '13 mins', '1 min', '31 mins', '3 mins']",['1 hour 8 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['West 63rd', 'Orange Line']",[41.7840774],[-87.78147]
3,5603,5912 S Natchez Ave,1272.0,2.0,3.0,"Chicago, IL 60638","['07/08/2018', '04/24/2018', '12/20/2004', '09/11/1995']",4.0,"['Price change', 'Listed for sale', 'Sold', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,272 Square Feet', 'Lot Size: 4020 sqft']",09/02/2018,4020.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1982', '164 days on Trulia', '4020 sqft lot size', '1,272 sqft', '$220/sqft', '260 views']",279900.0,"[['1995-09-11 00:00:00', 185000, 'Sold'], ['2004-12-20 00:00:00', 318000, 'Sold'], ['2018-04-24 00:00:00', 299900, 'Listed for sale'], ['2018-07-08 00:00:00', 279900, 'Price change']]",220.0,"['$279,900', '$299,900', '$318,000', '$185,000']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,272 Square Feet', 'Lot Size: 4,020 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5912-s-natchez-ave-chicago-il-60638--2104405527,260.0,1982.0,60638.0,60046,68423.0,55026,5603,"['1.1 km', '4.8 km', '4 m', '18.6 km', '0.2 km']",['24.6 km'],"['14 mins', '14 mins', '1 min', '31 mins', '3 mins']",['1 hour 10 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['55th/Austin', 'Orange Line']",[41.7844925],[-87.78399809999999]
4,5604,6012 W 55th St,2322.0,2.0,3.0,"Chicago, IL 60638","['09/15/2018', '08/13/2018', '06/06/2018', '05/16/2018']",2.0,"['Price change', 'Price change', 'Price change', 'Listed for sale']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,322 Square Feet', 'Lot Size: 4748 sqft']",09/15/2018,4748.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1953', '142 days on Trulia', '4748 sqft lot size', '2,322 sqft', '$157/sqft', '517 views']",364900.0,"[['2018-05-16 00:00:00', 385000, 'Listed for sale'], ['2018-06-06 00:00:00', 375000, 'Price change'], ['2018-08-13 00:00:00', 369900, 'Price change'], ['2018-09-15 00:00:00', 364900, 'Price change']]",157.0,"['$364,900', '$369,900', '$375,000', '$385,000']","['5 Bedrooms', '1 Bathroom', 'Single-Family Home', '2,322 Square Feet', 'Lot Size: 4,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6012-w-55th-st-chicago-il-60638--2104406335,517.0,1953.0,60638.0,60046,68423.0,55026,5604,"['63 m', '4.0 km', '4 m', '18.6 km', '0.2 km']",['22.8 km'],"['1 min', '12 mins', '1 min', '31 mins', '3 mins']",['55 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['55th/Austin', 'Orange Line']",[41.7925574],[-87.7727544]
5,5605,5619 S Newland Ave,2907.0,3.0,3.0,"Chicago, IL 60638","['07/29/2018', '03/21/2018', '09/26/2017']",4.0,"['Price change', 'Price change', 'Listed for sale']","['3 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,907 Square Feet', 'Lot Size: 5357 sqft']",07/29/2018,5357.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '3 Beds', '3 Baths', 'Built in 1951', '374 days on Trulia', '5357 sqft lot size', '2,907 sqft', '$162/sqft', '2522 views']",469900.0,"[['2017-09-26 00:00:00', 489000, 'Listed for sale'], ['2018-03-21 00:00:00', 479900, 'Price change'], ['2018-07-29 00:00:00', 469900, 'Price change']]",162.0,"['$469,900', '$479,900', '$489,000']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,938 Square Feet', 'Lot Size: 5,360 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5619-s-newland-ave-chicago-il-60638--2104401946,2522.0,1951.0,60638.0,60046,68423.0,55026,5605,"['1.8 km', '16.9 km', '1.3 km']",['20.0 km'],"['23 mins', '30 mins', '16 mins']",['1 hour 9 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Heritage Corridor'],[41.7897364],[-87.79510069999999]
6,5606,5804 S Newcastle Ave,1004.0,2.0,4.0,"Chicago, IL 60638",,0.0,,"['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,004 Square Feet', 'Lot Size: 4159 sqft']",08/14/2018,4159.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1951', '210 days on Trulia', '4159 sqft lot size', '1,004 sqft', '$314/sqft', '2131 views']",314900.0,,314.0,,"['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,004 Square Feet', 'Lot Size: 4,158 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5804-s-newcastle-ave-chicago-il-60638--2104404242,2131.0,1951.0,60638.0,60046,68423.0,55026,5606,"['0.7 km', '5.9 km', '16 m', '16.5 km', '0.2 km']",['23.3 km'],"['9 mins', '16 mins', '1 min', '28 mins', '3 mins']",['1 hour 2 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Archer', 'Orange Line']",[41.7864455],[-87.7926269]
7,5607,5536 S Newcastle Ave,1605.0,3.0,5.0,"Chicago, IL 60638","['08/06/2018', '05/06/2018', '03/06/2010', '08/24/2008', '09/18/2002']",2.0,"['Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold']","['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,605 Square Feet', 'Lot Size: 36.00 acres']",08/06/2018,36.0,acres,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 1948', '152 days on Trulia', '36.00 acres lot size', '1,605 sqft', '$202/sqft', '444 views']",324900.0,"[['2002-09-18 00:00:00', 175000, 'Sold'], ['2008-08-24 00:00:00', 335000, 'Listed for sale'], ['2010-03-06 00:00:00', 335000, 'Posting removed'], ['2018-05-06 00:00:00', 334900, 'Listed for sale'], ['2018-08-06 00:00:00', 324900, 'Price change']]",202.0,"['$324,900', '$334,900', '$335,000', '$335,000', '$175,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,605 Square Feet', 'Lot Size: 4,536 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5536-s-newcastle-ave-chicago-il-60638--2104401094,444.0,1948.0,60638.0,60046,68423.0,55026,5607,"['1.9 km', '16.9 km', '1.3 km']",['20.1 km'],"['24 mins', '30 mins', '16 mins']",['1 hour 10 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Heritage Corridor'],[41.7909935],[-87.7927941]
8,5608,6125 S Neenah Ave,3000.0,3.0,4.0,"Chicago, IL 60638","['08/31/2018', '07/16/2018', '07/16/2018', '06/01/2018', '04/23/2018', '04/02/2018', '10/05/2017', '09/26/2007', '12/19/1997', '01/18/1994']",6.0,"['Price change', 'Price change', 'Posting removed', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Sold', 'Sold', 'Sold']","['4 Bedrooms', '3 Bathrooms', 'Single-Family Home', '3,000 Square Feet', 'Lot Size: 4687 sqft']",08/31/2018,4687.0,sqft,&lpar;Clearing&rpar;,"['Single-Family Home', '4 Beds', '3 Baths', 'Built in 2016', '126 days on Trulia', '4687 sqft lot size', '3,000 sqft', '$167/sqft', '1653 views']",499900.0,"[['1994-01-18 00:00:00', 54666, 'Sold'], ['1997-12-19 00:00:00', 95000, 'Sold'], ['2007-09-26 00:00:00', 85000, 'Sold'], ['2017-10-05 00:00:00', 619000, 'Listed for sale'], ['2018-04-02 00:00:00', 589000, 'Price change'], ['2018-04-23 00:00:00', 589000, 'Posting removed'], ['2018-06-01 00:00:00', 542800, 'Listed for sale'], ['2018-07-16 00:00:00', 519000, 'Price change'], ['2018-07-16 00:00:00', 542800, 'Posting removed'], ['2018-08-31 00:00:00', 499900, 'Price change']]",167.0,"['$499,900', '$519,000', '$542,800', '$542,800', '$589,000', '$589,000', '$619,000', '$85,000', '$95,000', '$54,666']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '872 Square Feet', 'Lot Size: 4,687 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6125-s-neenah-ave-chicago-il-60638--2104407747,1653.0,2016.0,60638.0,60046,68423.0,55026,5608,"['0.4 km', '4.6 km', '4 m', '18.6 km', '0.2 km']",['23.7 km'],"['5 mins', '14 mins', '1 min', '31 mins', '3 mins']",['1 hour 4 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['West 63rd', 'Orange Line']",[41.7805332],[-87.784984]
9,5609,5429 S Newcastle Ave,1776.0,2.0,4.0,"Chicago, IL 60638",,7.0,,"['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,776 Square Feet', 'Lot Size: 3750 sqft']",08/24/2018,3750.0,sqft,&lpar;Garfield Ridge&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1948', '147 days on Trulia', '3750 sqft lot size', '1,776 sqft', '$158/sqft', '1017 views']",279900.0,,158.0,,"['4 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,776 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5429-s-newcastle-ave-chicago-il-60638--2104400150,1017.0,1948.0,60638.0,60046,68423.0,55026,5609,"['1.7 km', '16.9 km', '1.3 km']",['19.9 km'],"['21 mins', '30 mins', '16 mins']",['1 hour 7 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Heritage Corridor'],[41.7931882],[-87.79276349999999]
