,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,800,3530 N Ashland Ave #3,1512.0,2.0,3.0,"Chicago, IL 60657",,9.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,512 Square Feet']",10/03/2018,,,&lpar;Lake View&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 2008', '69 days on Trulia', '1,512 sqft', '$301/sqft', '204 views', '$239/monthly HOA']",455000.0,,301.0,,,,https://www.trulia.com/p/il/chicago/3530-n-ashland-ave-3-chicago-il-60657--2173990745,204.0,2008.0,60657.0,78623,109447.0,65996,800,"['0.4 km', '1.8 km', '7.4 km', '0.2 km']",['10.0 km'],"['5 mins', '4 mins', '15 mins', '3 mins']",['30 mins'],"['WALKING', 'TRANSIT', 'TRANSIT', 'WALKING']","['SUBWAY', 'SUBWAY']","['Brown Line', 'Red Line']",[41.9460302],[-87.66895029999999]
1,801,450 W Briar Pl #7E,550.0,1.0,1.0,"Chicago, IL 60657","['09/05/2018', '07/23/2018']",4.0,"['Price change', 'Listed for sale']","['1 Bedroom', '1 Bathroom', 'Condo', '550 Square Feet']",10/03/2018,,,&lpar;Lake View East&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1972', '74 days on Trulia', '550 sqft', '$306/sqft', '213 views', '$284/monthly HOA']",168400.0,"[['2018-07-23 00:00:00', 185000, 'Listed for sale'], ['2018-09-05 00:00:00', 169900, 'Price change']]",306.0,"['$169,900', '$185,000']","['Condo', 'Lot Size: 0.42 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/450-w-briar-pl-7e-chicago-il-60657--2104690556,213.0,1972.0,60657.0,78623,109447.0,65996,801,"['1.3 km', '7.0 km', '0.2 km']",['8.5 km'],"['16 mins', '18 mins', '3 mins']",['37 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.9391664],[-87.6414272]
2,802,445 W Briar Pl #3,2600.0,2.0,3.0,"Chicago, IL 60657",,2.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '2,600 Square Feet']",09/25/2018,,,&lpar;Lake View East&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 1916', '52 days on Trulia', '2,600 sqft', '$300/sqft', '390 views', '$400/monthly HOA']",779000.0,,300.0,,,,https://www.trulia.com/p/il/chicago/445-w-briar-pl-3-chicago-il-60657--2104690300,390.0,1916.0,60657.0,78623,109447.0,65996,802,"['1.2 km', '7.0 km', '0.2 km']",['8.4 km'],"['16 mins', '18 mins', '3 mins']",['36 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.9386915],[-87.6412776]
3,803,1122 W Newport Ave #2C,1000.0,1.0,1.0,"Chicago, IL 60657",,,,"['1 Bedroom', '1 Bathroom', 'Condo', '1,000 Square Feet']",10/05/2018,,,&lpar;Lake View&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1920', '<1 day on Trulia', '1,000 sqft', '$299/sqft', '574 views', '$253/monthly HOA']",299000.0,,299.0,,,,https://www.trulia.com/p/il/chicago/1122-w-newport-ave-2c-chicago-il-60657--2173714590,574.0,1920.0,60657.0,78623,109447.0,65996,803,"['0.6 km', '8.3 km', '0.2 km']",['9.2 km'],"['8 mins', '17 mins', '3 mins']",['28 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9444549],[-87.65776249999999]
4,804,1513 W Wellington Ave,4260.0,5.0,4.0,"Chicago, IL 60657","['09/16/2018', '09/11/2018', '09/05/2018', '08/14/2018', '05/12/2015', '05/04/2015', '05/01/2015', '03/01/2015', '02/17/2015', '12/16/2014', '10/23/2014', '09/15/2014', '06/11/2014', '04/19/2014', '08/08/2011']",2.0,"['Posting removed', 'Posting removed', 'Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Sold', 'Pending', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['4 Bedrooms', '5 Bathrooms', 'Single-Family Home', '4,260 Square Feet', 'Lot Size: 3123 sqft']",09/30/2018,3123.0,sqft,&lpar;Lake View&rpar;,"['Single-Family Home', '4 Beds', '5 Baths', 'Built in 2000', '52 days on Trulia', '3123 sqft lot size', '4,260 sqft', '$328/sqft', '227 views']",1399000.0,"[['2011-08-08 00:00:00', 1215000, 'Sold'], ['2014-04-19 00:00:00', 1475000, 'Listed for sale'], ['2014-06-11 00:00:00', 1445000, 'Price change'], ['2014-09-15 00:00:00', 1399000, 'Price change'], ['2014-10-23 00:00:00', 1379000, 'Price change'], ['2014-12-16 00:00:00', 1379000, 'Posting removed'], ['2015-02-17 00:00:00', 1349000, 'Listed for sale'], ['2015-03-01 00:00:00', 1349000, 'Pending'], ['2015-05-01 00:00:00', 1349000, 'Sold'], ['2015-05-04 00:00:00', 1349000, 'Posting removed'], ['2015-05-12 00:00:00', 1349000, 'Sold'], ['2018-08-14 00:00:00', 1490000, 'Listed for sale'], ['2018-09-05 00:00:00', 1399000, 'Price change'], ['2018-09-11 00:00:00', 1399000, 'Posting removed'], ['2018-09-16 00:00:00', 1399000, 'Posting removed']]",328.0,"['$1,399,000', '$1,399,000', '$1,399,000', '$1,490,000', '$1,349,000', '$1,349,000', '$1,349,000', '$1,349,000', '$1,349,000', '$1,379,000', '$1,379,000', '$1,399,000', '$1,445,000', '$1,475,000', '$1,215,000']","['4 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,860 Square Feet', 'Lot Size: 3,125 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1513-w-wellington-ave-chicago-il-60657--1321123,227.0,2000.0,60657.0,78623,109447.0,65996,804,"['1.1 km', '7.0 km', '0.2 km']",['8.3 km'],"['14 mins', '18 mins', '3 mins']",['35 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.9360442],[-87.66673089999999]
5,805,1521 W George St,4600.0,5.0,5.0,"Chicago, IL 60657","['08/14/2018', '04/26/2017', '04/19/2017', '03/23/2017', '01/12/2017', '10/26/2016', '10/26/2016', '09/06/2016', '07/26/2016', '07/18/2016', '05/31/2016', '04/04/2016', '01/28/2014', '01/18/2014', '12/19/2013', '11/16/2013', '10/05/2013', '04/20/2010', '03/11/2010', '10/19/2009', '08/04/2003', '07/12/2000']",2.0,"['Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Posting removed', 'Price change', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Listed for sale', 'Sold', 'Sold']","['5 Bedrooms', '5 Bathrooms', 'Single-Family Home', '4,600 Square Feet', 'Lot Size: 3123 sqft']",09/05/2018,3123.0,sqft,&lpar;Lake View&rpar;,"['Single-Family Home', '5 Beds', '5 Baths', 'Built in 2002', '52 days on Trulia', '3123 sqft lot size', '4,600 sqft', '$304/sqft', '218 views']",1399900.0,"[['2000-07-12 00:00:00', 372000, 'Sold'], ['2003-08-04 00:00:00', 1450000, 'Sold'], ['2009-10-19 00:00:00', 1549900, 'Listed for sale'], ['2010-03-11 00:00:00', 1549900, 'Posting removed'], ['2010-04-20 00:00:00', 1375000, 'Sold'], ['2013-10-05 00:00:00', 1524999, 'Listed for sale'], ['2013-11-16 00:00:00', 1499999, 'Price change'], ['2013-12-19 00:00:00', 1499999, 'Pending'], ['2014-01-18 00:00:00', 1499999, 'Posting removed'], ['2014-01-28 00:00:00', 1400000, 'Sold'], ['2016-04-04 00:00:00', 1699000, 'Listed for sale'], ['2016-05-31 00:00:00', 1649000, 'Price change'], ['2016-07-18 00:00:00', 1699000, 'Listed for sale'], ['2016-07-26 00:00:00', 1649000, 'Price change'], ['2016-09-06 00:00:00', 1549000, 'Price change'], ['2016-10-26 00:00:00', 1499000, 'Price change'], ['2016-10-26 00:00:00', 1549000, 'Posting removed'], ['2017-01-12 00:00:00', 1499000, 'Posting removed'], ['2017-03-23 00:00:00', 1425000, 'Price change'], ['2017-04-19 00:00:00', 1399000, 'Price change'], ['2017-04-26 00:00:00', 1399000, 'Posting removed'], ['2018-08-14 00:00:00', 1399900, 'Listed for sale']]",304.0,"['$1,399,900', '$1,399,000', '$1,399,000', '$1,425,000', '$1,499,000', '$1,499,000', '$1,549,000', '$1,549,000', '$1,649,000', '$1,699,000', '$1,649,000', '$1,699,000', '$1,400,000', '$1,499,999', '$1,499,999', '$1,499,999', '$1,524,999', '$1,375,000', '$1,549,900', '$1,549,900', '$1,450,000', '$372,000']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,720 Square Feet', 'Lot Size: 3,125 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1521-w-george-st-chicago-il-60657--1006731076,218.0,2002.0,60657.0,78623,109447.0,65996,805,"['1.2 km', '6.6 km', '0.2 km']",['8.0 km'],"['15 mins', '17 mins', '3 mins']",['34 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.9342073],[-87.666904]
6,806,545 W Brompton Ave #1S,1000.0,1.0,2.0,"Chicago, IL 60657",,8.0,,"['2 Bedrooms', '1 Bathroom', 'Condo', '1,000 Square Feet']",09/07/2018,,,&lpar;Lake View East&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 1920', '88 days on Trulia', '1,000 sqft', '$250/sqft', '413 views', '$317/monthly HOA']",250000.0,,250.0,,,,https://www.trulia.com/p/il/chicago/545-w-brompton-ave-1s-chicago-il-60657--2123786200,413.0,1920.0,60657.0,78623,109447.0,65996,806,"['0.9 km', '8.3 km', '0.2 km']",['9.4 km'],"['11 mins', '17 mins', '3 mins']",['31 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9471498],[-87.6444223]
7,807,2909 N Sheridan Rd #703,700.0,1.0,1.0,"Chicago, IL 60657","['09/13/2018', '07/20/2018']",7.0,"['Price change', 'Listed for sale']","['1 Bedroom', '1 Bathroom', 'Condo', '700 Square Feet']",09/13/2018,,,&lpar;Lake View East&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1954', '77 days on Trulia', '700 sqft', '$247/sqft', '156 views', '$433/monthly HOA']",173000.0,"[['2018-07-20 00:00:00', 175000, 'Listed for sale'], ['2018-09-13 00:00:00', 173000, 'Price change']]",247.0,"['$173,000', '$175,000']","['Condo', 'Lot Size: 0.85 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/2909-n-sheridan-rd-703-chicago-il-60657--2104676565,156.0,1954.0,60657.0,78623,109447.0,65996,807,"['1.3 km', '6.6 km', '0.2 km']",['8.1 km'],"['16 mins', '17 mins', '3 mins']",['35 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.9345663],[-87.6392929]
8,808,2909 N Sheridan Rd #1005,700.0,1.0,1.0,"Chicago, IL 60657","['07/17/2018', '07/10/2018', '07/05/2018', '09/26/2014', '08/26/2014', '08/07/2014', '08/06/2014', '07/19/2014', '07/16/2014', '06/19/2014', '06/23/2005']",2.0,"['Pending to active status', 'Pending', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Pending to active status', 'Pending', 'Price change', 'Listed for sale', 'Sold']","['1 Bedroom', '1 Bathroom', 'Condo', '700 Square Feet']",09/27/2018,,,&lpar;Lake View East&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1956', '92 days on Trulia', '700 sqft', '$257/sqft', '322 views', '$470/monthly HOA']",179900.0,"[['2005-06-23 00:00:00', 164000, 'Sold'], ['2014-06-19 00:00:00', 184900, 'Listed for sale'], ['2014-07-16 00:00:00', 174900, 'Price change'], ['2014-07-19 00:00:00', 174900, 'Pending'], ['2014-08-06 00:00:00', 174900, 'Pending to active status'], ['2014-08-07 00:00:00', 174900, 'Pending'], ['2014-08-26 00:00:00', 174900, 'Posting removed'], ['2014-09-26 00:00:00', 168000, 'Sold'], ['2018-07-05 00:00:00', 185000, 'Listed for sale'], ['2018-07-10 00:00:00', 185000, 'Pending'], ['2018-07-17 00:00:00', 185000, 'Pending to active status']]",257.0,"['$185,000', '$185,000', '$185,000', '$168,000', '$174,900', '$174,900', '$174,900', '$174,900', '$174,900', '$184,900', '$164,000']","['Condo', 'Lot Size: 0.85 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/2909-n-sheridan-rd-1005-chicago-il-60657--2104676385,322.0,1956.0,60657.0,78623,109447.0,65996,808,"['1.3 km', '6.6 km', '0.2 km']",['8.1 km'],"['16 mins', '17 mins', '3 mins']",['35 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.9345663],[-87.6392929]
9,809,2800 N Lake Shore Dr #1301,1350.0,2.0,2.0,"Chicago, IL 60657",['01/07/2003'],2.0,['Sold'],"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,350 Square Feet', 'Lot Size: 1.05 acres']",09/17/2018,1.05,acres,&lpar;Lake View East&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1969', '92 days on Trulia', '1.05 acres lot size', '1,350 sqft', '$331/sqft', '284 views', '$888/monthly HOA']",447500.0,"[['2003-01-07 00:00:00', 375000, 'Sold']]",331.0,"['$375,000']","['Condo', 'Lot Size: 1.45 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/2800-n-lake-shore-dr-1301-chicago-il-60657--2104673535,284.0,1969.0,60657.0,78623,109447.0,65996,809,"['1.3 km', '6.6 km', '0.2 km']",['8.1 km'],"['17 mins', '17 mins', '3 mins']",['36 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Purple Line'],[41.93296549999999],[-87.63709449999999]
