,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,7600,2342 W Wabansia Ave #A,3200.0,5.0,4.0,"Chicago, IL 60647",,3.0,,"['4 Bedrooms', '5 Bathrooms', 'Townhouse', '3,200 Square Feet']",10/04/2018,,,&lpar;Bucktown&rpar;,"['Townhouse', '4 Beds', '5 Baths', 'Built in 2002', '3 days on Trulia', '3,200 sqft', '$289/sqft', '69 views', '$450/monthly HOA']",925000.0,,289.0,,,,https://www.trulia.com/p/il/chicago/2342-w-wabansia-ave-a-chicago-il-60647--2179332646,69.0,2002.0,60647.0,50831,65050.0,87291,7600,"['0.4 km', '6.3 km', '0.1 km']",['6.8 km'],"['5 mins', '13 mins', '1 min']",['19 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9126025],[-87.6865387]
1,7601,2740 N Whipple St,4200.0,4.0,5.0,"Chicago, IL 60647","['09/08/2017', '04/08/1994']",7.0,"['Sold', 'Sold']","['5 Bedrooms', '4 Bathrooms', 'Single-Family Home', '4,200 Square Feet', 'Lot Size: 3123 sqft']",10/05/2018,3123.0,sqft,&lpar;Logan Square&rpar;,"['Single-Family Home', '5 Beds', '4 Baths', 'Built in 2018', '7 days on Trulia', '3123 sqft lot size', '4,200 sqft', '$297/sqft', '25 views']",1249000.0,"[['1994-04-08 00:00:00', 42666, 'Sold'], ['2017-09-08 00:00:00', 410000, 'Sold']]",297.0,"['$410,000', '$42,666']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,008 Square Feet', 'Lot Size: 3,125 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/2740-n-whipple-st-chicago-il-60647--2104559859,25.0,2018.0,60647.0,50831,65050.0,87291,7601,"['0.5 km', '8.6 km', '0.1 km']",['9.2 km'],"['7 mins', '17 mins', '1 min']",['24 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9314453],[-87.7037792]
2,7602,1624 N Drake Ave,1900.0,3.0,8.0,"Chicago, IL 60647",['05/10/2012'],8.0,['Sold'],"['8 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,900 Square Feet', 'Lot Size: 4425 sqft']",08/08/2018,4425.0,sqft,&lpar;Logan Square&rpar;,"['Single-Family Home', '8 Beds', '3 Baths', 'Built in 1896', '58 days on Trulia', '4425 sqft lot size', '1,900 sqft', '$105/sqft', '214 views']",199999.0,"[['2012-05-10 00:00:00', 57500, 'Sold']]",105.0,"['$57,500']","['5 Bedrooms', '2 Bathrooms', 'Multi-Family', '1,901 Square Feet', 'Lot Size: 4,425 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1624-n-drake-ave-chicago-il-60647--2104541750,214.0,1896.0,60647.0,50831,65050.0,87291,7602,"['0.4 km', '1.8 km', '0.6 km', '8.6 km', '0.1 km']",['11.5 km'],"['5 mins', '7 mins', '7 mins', '17 mins', '1 min']",['40 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Kimball-Homan', 'Blue Line']",[41.9108153],[-87.7149908]
3,7603,2300 W Wabansia Ave #129,1200.0,2.0,2.0,"Chicago, IL 60647","['08/02/2018', '02/10/1997']",4.0,"['Listed for sale', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Condo', '1,200 Square Feet']",08/02/2018,,,&lpar;Bucktown&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1906', '64 days on Trulia', '1,200 sqft', '$308/sqft', '331 views', '$420/monthly HOA']",370000.0,"[['1997-02-10 00:00:00', 141000, 'Sold'], ['2018-08-02 00:00:00', 370000, 'Listed for sale']]",308.0,"['$370,000', '$141,000']","['Condo', 'Lot Size: 1.15 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/2300-w-wabansia-ave-129-chicago-il-60647--2104552108,331.0,1906.0,60647.0,50831,65050.0,87291,7603,"['0.6 km', '6.3 km', '0.1 km']",['7.0 km'],"['7 mins', '13 mins', '1 min']",['21 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9126445],[-87.6844792]
4,7604,2343 W Lyndale St #2,1500.0,2.0,2.0,"Chicago, IL 60647",,5.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,500 Square Feet']",09/11/2018,,,&lpar;Bucktown&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2015', '65 days on Trulia', '1,500 sqft', '$366/sqft', '522 views', '$136/monthly HOA']",549000.0,,366.0,,,,https://www.trulia.com/p/il/chicago/2343-w-lyndale-st-2-chicago-il-60647--2179333047,522.0,2015.0,60647.0,50831,65050.0,87291,7604,"['0.7 km', '6.3 km', '0.1 km']",['7.1 km'],"['10 mins', '13 mins', '1 min']",['23 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9225863],[-87.6867986]
5,7605,1841 N Lawndale Ave #3E,750.0,1.0,2.0,"Chicago, IL 60647","['08/22/2018', '08/01/2018', '07/12/2018', '06/29/2018', '11/03/2017', '10/04/2017', '10/03/2017', '07/29/2017', '07/27/2017', '06/26/2017', '10/17/2016', '09/19/2016', '09/14/2016', '07/13/2016', '06/24/2016', '05/10/2016', '11/06/2015', '09/02/2015', '07/30/2015', '07/14/2015', '10/30/2014', '10/11/2014', '09/13/2014', '10/23/2013', '09/24/2013', '09/04/2013']",8.0,"['Price change', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Posting removed', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale']","['2 Bedrooms', '1 Bathroom', 'Condo', '750 Square Feet']",08/24/2018,,,&lpar;Logan Square&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 1906', '98 days on Trulia', '750 sqft', '$239/sqft', '912 views', '$131/monthly HOA']",179000.0,"[['2013-09-04 00:00:00', 119000, 'Listed for sale'], ['2013-09-24 00:00:00', 115000, 'Price change'], ['2013-10-23 00:00:00', 115000, 'Posting removed'], ['2014-09-13 00:00:00', 149000, 'Listed for sale'], ['2014-10-11 00:00:00', 144900, 'Price change'], ['2014-10-30 00:00:00', 144900, 'Posting removed'], ['2015-07-14 00:00:00', 154000, 'Listed for sale'], ['2015-07-30 00:00:00', 153000, 'Price change'], ['2015-09-02 00:00:00', 149999, 'Price change'], ['2015-11-06 00:00:00', 149999, 'Posting removed'], ['2016-05-10 00:00:00', 189000, 'Listed for sale'], ['2016-06-24 00:00:00', 185900, 'Price change'], ['2016-07-13 00:00:00', 184900, 'Price change'], ['2016-09-14 00:00:00', 183900, 'Price change'], ['2016-09-19 00:00:00', 179900, 'Price change'], ['2016-10-17 00:00:00', 179900, 'Posting removed'], ['2017-06-26 00:00:00', 199000, 'Listed for sale'], ['2017-07-27 00:00:00', 189900, 'Price change'], ['2017-07-29 00:00:00', 189900, 'Posting removed'], ['2017-10-03 00:00:00', 179900, 'Price change'], ['2017-10-04 00:00:00', 179900, 'Price change'], ['2017-11-03 00:00:00', 179900, 'Posting removed'], ['2018-06-29 00:00:00', 199000, 'Listed for sale'], ['2018-07-12 00:00:00', 189900, 'Price change'], ['2018-08-01 00:00:00', 187500, 'Price change'], ['2018-08-22 00:00:00', 179000, 'Price change']]",239.0,"['$179,000', '$187,500', '$189,900', '$199,000', '$179,900', '$179,900', '$179,900', '$189,900', '$189,900', '$199,000', '$179,900', '$179,900', '$183,900', '$184,900', '$185,900', '$189,000', '$149,999', '$149,999', '$153,000', '$154,000', '$144,900', '$144,900', '$149,000', '$115,000', '$115,000', '$119,000']","['Condo', 'Lot Size: 6,275 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1841-n-lawndale-ave-3e-chicago-il-60647--2104545143,912.0,1906.0,60647.0,50831,65050.0,87291,7605,"['0.7 km', '1.4 km', '0.6 km', '8.6 km', '0.1 km']",['11.4 km'],"['9 mins', '6 mins', '7 mins', '17 mins', '1 min']",['42 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Kimball-Homan', 'Blue Line']",[41.9148707],[-87.7190865]
6,7606,1729 N Spaulding Ave,3000.0,4.0,4.0,"Chicago, IL 60647","['01/30/2018', '01/21/2014']",5.0,"['Sold', 'Sold']","['4 Bedrooms', '4 Bathrooms', 'Single-Family Home', '3,000 Square Feet', 'Lot Size: 1350 sqft']",08/15/2018,1350.0,sqft,&lpar;Logan Square&rpar;,"['Single-Family Home', '4 Beds', '4 Baths', 'Built in 2018', '85 days on Trulia', '1350 sqft lot size', '3,000 sqft', '$250/sqft', '495 views']",749900.0,"[['2014-01-21 00:00:00', 101000, 'Sold'], ['2018-01-30 00:00:00', 375000, 'Sold']]",250.0,"['$375,000', '$101,000']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,350 Square Feet', 'Lot Size: 4,425 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1729-n-spaulding-ave-chicago-il-60647--1146403,495.0,2018.0,60647.0,50831,65050.0,87291,7606,"['2.1 km', '7.3 km', '0.1 km']",['9.5 km'],"['26 mins', '15 mins', '1 min']",['41 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.912825],[-87.7100976]
7,7607,1907 N Milwaukee Ave #214,1200.0,2.0,2.0,"Chicago, IL 60647",,7.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,200 Square Feet']",09/17/2018,,,&lpar;Bucktown&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1920', '67 days on Trulia', '1,200 sqft', '$277/sqft', '775 views', '$336/monthly HOA']",332500.0,,277.0,,,,https://www.trulia.com/p/il/chicago/1907-n-milwaukee-ave-214-chicago-il-60647--2178743853,775.0,1920.0,60647.0,50831,65050.0,87291,7607,"['0.1 km', '6.3 km', '0.1 km']",['6.5 km'],"['2 mins', '13 mins', '1 min']",['15 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9161737],[-87.6863302]
8,7608,1659 N Oakley Ave #3,1200.0,2.0,2.0,"Chicago, IL 60647","['09/10/2018', '08/10/2018', '07/23/2018', '08/27/2014', '06/11/2014', '04/22/2014', '09/13/2006', '08/29/2006', '08/03/2001']",4.0,"['Price change', 'Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Listed for sale', 'Sold', 'Sold', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Condo', '1,200 Square Feet']",10/05/2018,,,&lpar;Bucktown&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1997', '74 days on Trulia', '1,200 sqft', '$333/sqft', '399 views', '$125/monthly HOA']",399000.0,"[['2001-08-03 00:00:00', 273000, 'Sold'], ['2006-08-29 00:00:00', 350000, 'Sold'], ['2006-09-13 00:00:00', 350000, 'Sold'], ['2014-04-22 00:00:00', 369900, 'Listed for sale'], ['2014-06-11 00:00:00', 369900, 'Posting removed'], ['2014-08-27 00:00:00', 357500, 'Sold'], ['2018-07-23 00:00:00', 439000, 'Listed for sale'], ['2018-08-10 00:00:00', 425000, 'Price change'], ['2018-09-10 00:00:00', 399000, 'Price change']]",333.0,"['$399,000', '$425,000', '$439,000', '$357,500', '$369,900', '$369,900', '$350,000', '$350,000', '$273,000']","['Condo', 'Lot Size: 3,625 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1659-n-oakley-ave-3-chicago-il-60647--2104542618,399.0,1997.0,60647.0,50831,65050.0,87291,7608,"['0.6 km', '6.3 km', '0.1 km']",['7.0 km'],"['8 mins', '13 mins', '1 min']",['21 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9120432],[-87.6847722]
9,7609,3051 W Diversey Ave #2,1900.0,2.0,3.0,"Chicago, IL 60647",,8.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,900 Square Feet', 'Lot Size: 2696 sqft']",09/17/2018,2696.0,sqft,&lpar;Logan Square&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 2015', '48 days on Trulia', '2696 sqft lot size', '1,900 sqft', '$289/sqft', '156 views', '$187/monthly HOA']",549900.0,,289.0,,,,https://www.trulia.com/p/il/chicago/3051-w-diversey-ave-2-chicago-il-60647--2173427873,156.0,2015.0,60647.0,50831,65050.0,87291,7609,"['0.5 km', '8.6 km', '0.1 km']",['9.2 km'],"['6 mins', '17 mins', '1 min']",['23 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9320149],[-87.7045778]
