,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
88,6188,5555 N Cumberland Ave #510,1850.0,2.0,2.0,"Chicago, IL 60656",,4.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,850 Square Feet']",10/02/2018,,,&lpar;O'Hare&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2000', '4 days on Trulia', '1,850 sqft', '$162/sqft', '293 views', '$401/monthly HOA']",299999.0,,162.0,,,,https://www.trulia.com/p/il/chicago/5555-n-cumberland-ave-510-chicago-il-60656--2104663866,293.0,2000.0,60656.0,59179,67330.0,27613,6188,"['2.9 km', '22.1 km', '0.1 km']",['25.0 km'],"['37 mins', '37 mins', '1 min']",['46 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.98081],[-87.836264]
89,6189,8201 W Berwyn Ave,2450.0,2.0,3.0,"Chicago, IL 60656","['09/08/2018', '03/22/2005', '02/28/2003']",8.0,"['Listed for sale', 'Sold', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,450 Square Feet', 'Lot Size: 9796 sqft']",09/26/2018,9796.0,sqft,&lpar;O'Hare&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1952', '28 days on Trulia', '9796 sqft lot size', '2,450 sqft', '$187/sqft', '140 views']",459000.0,"[['2003-02-28 00:00:00', 347000, 'Sold'], ['2005-03-22 00:00:00', 453000, 'Sold'], ['2018-09-08 00:00:00', 469000, 'Listed for sale']]",187.0,"['$469,000', '$453,000', '$347,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,393 Square Feet', 'Lot Size: 9,796 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/8201-w-berwyn-ave-chicago-il-60656--2104666167,140.0,1952.0,60656.0,59179,67330.0,27613,6189,"['3.1 km', '22.1 km', '0.1 km']",['25.3 km'],"['39 mins', '37 mins', '1 min']",['55 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9754021],[-87.8320162]
90,6190,6312 N Paulina St #3A,1200.0,2.0,2.0,"Chicago, IL 60660",,2.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,200 Square Feet']",09/27/2018,,,&lpar;Edgewater&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1965', '22 days on Trulia', '1,200 sqft', '$110/sqft', '159 views', '$416/monthly HOA']",132500.0,,110.0,,,,https://www.trulia.com/p/il/chicago/6312-n-paulina-st-3a-chicago-il-60660--2124051332,159.0,1965.0,60660.0,42405,57336.0,42752,6190,"['1.2 km', '13.7 km', '0.2 km']",['15.1 km'],"['16 mins', '31 mins', '3 mins']",['50 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.996121],[-87.67196609999999]
91,6191,1420 W Elmdale Ave #3W,1650.0,1.0,2.0,"Chicago, IL 60660",,8.0,,"['2 Bedrooms', '1 Bathroom', 'Condo', '1,650 Square Feet']",09/07/2018,,,&lpar;Edgewater&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 1920', '28 days on Trulia', '1,650 sqft', '$206/sqft', '101 views', '$251/monthly HOA']",339900.0,,206.0,,,,https://www.trulia.com/p/il/chicago/1420-w-elmdale-ave-3w-chicago-il-60660--2207782051,101.0,1920.0,60660.0,42405,57336.0,42752,6191,"['0.7 km', '13.3 km', '0.2 km']",['14.2 km'],"['9 mins', '30 mins', '3 mins']",['42 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.990875],[-87.6661853]
92,6192,6033 N Sheridan Rd #8L,1100.0,1.0,1.0,"Chicago, IL 60660",,5.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '1,100 Square Feet']",09/10/2018,,,&lpar;Edgewater&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1969', '25 days on Trulia', '1,100 sqft', '$191/sqft', '55 views', '$534/monthly HOA']",210000.0,,191.0,,,,https://www.trulia.com/p/il/chicago/6033-n-sheridan-rd-8l-chicago-il-60660--2104719985,55.0,1969.0,60660.0,42405,57336.0,42752,6192,"['0.5 km', '13.3 km', '0.2 km']",['14.0 km'],"['6 mins', '30 mins', '3 mins']",['39 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9917279],[-87.6553813]
93,6193,6166 N Sheridan Rd #14H,1000.0,2.0,2.0,"Chicago, IL 60660","['08/06/2018', '01/06/2017', '12/06/2016', '12/01/2016', '11/15/2016', '08/24/2016', '07/18/2003', '09/13/1999']",0.0,"['Listed for sale', 'Posting removed', 'Price change', 'Posting removed', 'Price change', 'Listed for sale', 'Sold', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Condo', '1,000 Square Feet']",08/06/2018,,,&lpar;Edgewater&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1965', '60 days on Trulia', '1,000 sqft', '$150/sqft', '1004 views', '$947/monthly HOA']",149900.0,"[['1999-09-13 00:00:00', 92000, 'Sold'], ['2003-07-18 00:00:00', 178000, 'Sold'], ['2016-08-24 00:00:00', 225000, 'Listed for sale'], ['2016-11-15 00:00:00', 224900, 'Price change'], ['2016-12-01 00:00:00', 224900, 'Posting removed'], ['2016-12-06 00:00:00', 199900, 'Price change'], ['2017-01-06 00:00:00', 199900, 'Posting removed'], ['2018-08-06 00:00:00', 149900, 'Listed for sale']]",150.0,"['$149,900', '$199,900', '$199,900', '$224,900', '$224,900', '$225,000', '$178,000', '$92,000']","['Condo', 'Lot Size: 0.53 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/6166-n-sheridan-rd-14h-chicago-il-60660--2104721758,1004.0,1965.0,60660.0,42405,57336.0,42752,6193,"['0.3 km', '13.7 km', '0.2 km']",['14.2 km'],"['4 mins', '31 mins', '3 mins']",['38 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9942869],[-87.6555577]
94,6194,6118 N Sheridan Rd #710,600.0,1.0,1.0,"Chicago, IL 60660",,6.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '600 Square Feet']",10/05/2018,,,&lpar;Edgewater&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1957', '66 days on Trulia', '600 sqft', '$192/sqft', '359 views', '$398/monthly HOA']",115000.0,,192.0,,,,https://www.trulia.com/p/il/chicago/6118-n-sheridan-rd-710-chicago-il-60660--2104720700,359.0,1957.0,60660.0,42405,57336.0,42752,6194,"['0.5 km', '13.7 km', '0.2 km']",['14.4 km'],"['6 mins', '31 mins', '3 mins']",['40 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9929093],[-87.6555132]
95,6195,5757 N Sheridan Rd #8F,850.0,1.0,1.0,"Chicago, IL 60660","['08/14/2018', '01/31/2014', '09/23/2005', '02/01/2002', '10/02/1998']",2.0,"['Listed for sale', 'Sold', 'Sold', 'Sold', 'Sold']","['1 Bedroom', '1 Bathroom', 'Condo', '850 Square Feet']",08/14/2018,,,&lpar;Edgewater&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1962', '52 days on Trulia', '850 sqft', '$140/sqft', '416 views', '$570/monthly HOA']",119000.0,"[['1998-10-02 00:00:00', 53500, 'Sold'], ['2002-02-01 00:00:00', 105500, 'Sold'], ['2005-09-23 00:00:00', 137000, 'Sold'], ['2014-01-31 00:00:00', 1125, 'Sold'], ['2018-08-14 00:00:00', 119000, 'Listed for sale']]",140.0,"['$119,000', '$1,125', '$137,000', '$105,500', '$53,500']","['Condo', 'Lot Size: 0.48 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/5757-n-sheridan-rd-8f-chicago-il-60660--2104716351,416.0,1962.0,60660.0,42405,57336.0,42752,6195,"['0.7 km', '13.3 km', '0.2 km']",['14.2 km'],"['8 mins', '30 mins', '3 mins']",['41 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.98731799999999],[-87.6547616]
96,6196,6166 N Sheridan Rd #24H,1139.0,2.0,2.0,"Chicago, IL 60660","['09/19/2018', '09/13/2018', '09/13/2018', '09/07/2018', '09/07/2018', '09/05/2018', '09/05/2018', '08/27/2018', '08/25/2018', '04/28/2018', '04/26/2018', '04/20/2018', '04/20/2018', '03/30/2018', '03/28/2018', '02/26/2018', '02/22/2018', '02/15/2018', '02/08/2018', '02/06/2018', '01/26/2018', '05/03/2016', '03/23/2016', '01/08/2016', '12/10/2015', '06/20/2013', '06/07/2013', '03/21/2013', '10/28/2002', '09/03/2002', '06/04/1997']",9.0,"['Price change', 'Price change', 'Listed for sale', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Listed for sale', 'Posting removed', 'Posting removed', 'Listed for sale', 'Posting removed', 'Pending', 'Pending to active status', 'Pending', 'Pending to active status', 'Pending', 'Pending to active status', 'Pending', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Posting removed', 'Pending', 'Listed for sale', 'Sold', 'Sold', 'Sold']","['2 Bedrooms', '2 Bathrooms', 'Condo', '1,139 Square Feet', 'Lot Size: 435 sqft']",09/27/2018,435.0,sqft,&lpar;Edgewater&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 1965', '39 days on Trulia', '435 sqft lot size', '1,139 sqft', '$132/sqft', '1604 views', '$994/monthly HOA']",149999.0,"[['1997-06-04 00:00:00', 62500, 'Sold'], ['2002-09-03 00:00:00', 169900, 'Sold'], ['2002-10-28 00:00:00', 170000, 'Sold'], ['2013-03-21 00:00:00', 43000, 'Listed for sale'], ['2013-06-07 00:00:00', 43000, 'Pending'], ['2013-06-20 00:00:00', 43000, 'Posting removed'], ['2015-12-10 00:00:00', 100000, 'Listed for sale'], ['2016-01-08 00:00:00', 100000, 'Posting removed'], ['2016-03-23 00:00:00', 100000, 'Listed for sale'], ['2016-05-03 00:00:00', 100000, 'Posting removed'], ['2018-01-26 00:00:00', 87600, 'Listed for sale'], ['2018-02-06 00:00:00', 87600, 'Pending'], ['2018-02-08 00:00:00', 87600, 'Pending to active status'], ['2018-02-15 00:00:00', 87600, 'Pending'], ['2018-02-22 00:00:00', 87600, 'Pending to active status'], ['2018-02-26 00:00:00', 87600, 'Pending'], ['2018-03-28 00:00:00', 87600, 'Pending to active status'], ['2018-03-30 00:00:00', 87600, 'Pending'], ['2018-04-20 00:00:00', 116000, 'Listed for sale'], ['2018-04-20 00:00:00', 87600, 'Posting removed'], ['2018-04-26 00:00:00', 116000, 'Posting removed'], ['2018-04-28 00:00:00', 116000, 'Posting removed'], ['2018-08-25 00:00:00', 165000, 'Listed for sale'], ['2018-08-27 00:00:00', 165000, 'Listed for sale'], ['2018-09-05 00:00:00', 159900, 'Listed for sale'], ['2018-09-05 00:00:00', 165000, 'Posting removed'], ['2018-09-07 00:00:00', 149900, 'Price change'], ['2018-09-07 00:00:00', 154000, 'Price change'], ['2018-09-13 00:00:00', 162900, 'Price change'], ['2018-09-13 00:00:00', 165000, 'Listed for sale'], ['2018-09-19 00:00:00', 157900, 'Price change']]",132.0,"['$157,900', '$162,900', '$165,000', '$149,900', '$154,000', '$159,900', '$165,000', '$165,000', '$165,000', '$116,000', '$116,000', '$116,000', '$87,600', '$87,600', '$87,600', '$87,600', '$87,600', '$87,600', '$87,600', '$87,600', '$87,600', '$100,000', '$100,000', '$100,000', '$100,000', '$43,000', '$43,000', '$43,000', '$170,000', '$169,900', '$62,500']","['Condo', 'Lot Size: 0.53 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/6166-n-sheridan-rd-24h-chicago-il-60660--2104721813,1604.0,1965.0,60660.0,42405,57336.0,42752,6196,"['0.3 km', '13.7 km', '0.2 km']",['14.2 km'],"['4 mins', '31 mins', '3 mins']",['38 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9942869],[-87.6555577]
97,6197,1720 W Granville Ave,2606.0,3.0,5.0,"Chicago, IL 60660","['09/21/2018', '07/21/2003']",4.0,"['Listed for sale', 'Sold']","['5 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,606 Square Feet', 'Lot Size: 4647 sqft']",10/04/2018,4647.0,sqft,&lpar;Edgewater&rpar;,"['Single-Family Home', '5 Beds', '3 Baths', 'Built in 1899', '14 days on Trulia', '4647 sqft lot size', '2,606 sqft', '$259/sqft', '82 views']",675000.0,"[['2003-07-21 00:00:00', 339000, 'Sold'], ['2018-09-21 00:00:00', 699000, 'Listed for sale']]",259.0,"['$699,000', '$339,000']","['4 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,574 Square Feet', 'Lot Size: 4,650 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/1720-w-granville-ave-chicago-il-60660--2104713703,82.0,1899.0,60660.0,42405,57336.0,42752,6197,"['1.1 km', '13.7 km', '0.2 km']",['15.0 km'],"['14 mins', '31 mins', '3 mins']",['48 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.9944224],[-87.6727286]
