,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,2000,7422 W Addison St,997.0,2.0,3.0,"Chicago, IL 60634","['08/14/2018', '06/15/2018', '05/29/2018', '09/06/2002']",2.0,"['Price change', 'Listed for sale', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '997 Square Feet', 'Lot Size: 3750 sqft']",09/27/2018,3750.0,sqft,&lpar;Belmont Heights&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1924', '112 days on Trulia', '3750 sqft lot size', '997 sqft', '$220/sqft', '1470 views']",219000.0,"[['2002-09-06 00:00:00', 80000, 'Sold'], ['2018-05-29 00:00:00', 249000, 'Listed for sale'], ['2018-06-15 00:00:00', 239000, 'Listed for sale'], ['2018-08-14 00:00:00', 229000, 'Price change']]",220.0,"['$229,000', '$239,000', '$249,000', '$80,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '999 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7422-w-addison-st-chicago-il-60634--2104362179,1470.0,1924.0,60634.0,57736,67169.0,74298,2000,"['0.5 km', '4.4 km', '35 m', '19.6 km', '0.1 km']",['24.6 km'],"['6 mins', '15 mins', '1 min', '33 mins', '1 min']",['59 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Harlem', 'Blue Line']",[41.9451842],[-87.8128061]
1,2001,3542 N Nordica Ave,1200.0,2.0,3.0,"Chicago, IL 60634","['08/16/2018', '08/07/2018', '07/12/2018', '06/11/2018', '06/11/2018', '05/29/2018', '03/14/2018', '02/27/2018', '11/10/2017', '08/27/2017', '07/02/2008', '04/01/2008', '10/22/2007', '04/02/2007']",4.0,"['Price change', 'Posting removed', 'Price change', 'Price change', 'Posting removed', 'Price change', 'Price change', 'Posting removed', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,200 Square Feet', 'Lot Size: 3811 sqft']",10/01/2018,3811.0,sqft,&lpar;Schorsch Village&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1966', '404 days on Trulia', '3811 sqft lot size', '1,200 sqft', '$238/sqft', '1430 views']",285000.0,"[['2007-04-02 00:00:00', 280000, 'Sold'], ['2007-10-22 00:00:00', 364900, 'Listed for sale'], ['2008-04-01 00:00:00', 359900, 'Price change'], ['2008-07-02 00:00:00', 359900, 'Posting removed'], ['2017-08-27 00:00:00', 309900, 'Listed for sale'], ['2017-11-10 00:00:00', 295500, 'Price change'], ['2018-02-27 00:00:00', 295500, 'Posting removed'], ['2018-03-14 00:00:00', 292000, 'Price change'], ['2018-05-29 00:00:00', 289900, 'Price change'], ['2018-06-11 00:00:00', 288900, 'Price change'], ['2018-06-11 00:00:00', 289900, 'Posting removed'], ['2018-07-12 00:00:00', 285000, 'Price change'], ['2018-08-07 00:00:00', 285000, 'Posting removed'], ['2018-08-16 00:00:00', 289900, 'Price change']]",238.0,"['$289,900', '$285,000', '$285,000', '$288,900', '$289,900', '$289,900', '$292,000', '$295,500', '$295,500', '$309,900', '$359,900', '$359,900', '$364,900', '$280,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,200 Square Feet', 'Lot Size: 3,810 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/3542-n-nordica-ave-chicago-il-60634--2104348596,1430.0,1966.0,60634.0,57736,67169.0,74298,2001,"['0.3 km', '4.4 km', '35 m', '19.6 km', '0.1 km']",['24.4 km'],"['4 mins', '15 mins', '1 min', '33 mins', '1 min']",['58 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Harlem', 'Blue Line']",[41.944805],[-87.8033354]
2,2002,2925 N New England Ave,3500.0,4.0,5.0,"Chicago, IL 60634","['09/19/2018', '09/04/2018', '08/23/2018', '08/23/2018', '06/06/2018', '01/06/2017', '12/23/2016', '12/01/2016', '11/21/2016', '10/31/2016', '10/24/2016', '10/14/2016', '10/04/2016', '10/04/2016', '09/19/2016', '09/12/2016', '08/04/2016', '07/21/2016', '07/15/2016', '05/14/2016', '04/30/2016', '03/01/2016', '11/30/2015', '07/23/2015', '07/02/2015', '06/20/2015', '06/07/2015', '01/30/2015', '07/08/1996']",1.0,"['Price change', 'Price change', 'Price change', 'Posting removed', 'Listed for sale', 'Posting removed', 'Sold', 'Posting removed', 'Pending', 'Price change', 'Price change', 'Posting removed', 'Price change', 'Posting removed', 'Price change', 'Listed for sale', 'Posting removed', 'Sold', 'Price change', 'Pending', 'Pending to active status', 'Pending', 'Price change', 'Pending', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['5 Bedrooms', '4 Bathrooms', 'Single-Family Home', '3,500 Square Feet', 'Lot Size: 5039 sqft']",09/19/2018,5039.0,sqft,&lpar;Montclare&rpar;,"['Single-Family Home', '5 Beds', '4 Baths', 'Built in 2018', '121 days on Trulia', '5039 sqft lot size', '3,500 sqft', '$151/sqft', '164 views']",527000.0,"[['1996-07-08 00:00:00', 120000, 'Sold'], ['2015-01-30 00:00:00', 150000, 'Listed for sale'], ['2015-06-07 00:00:00', 125000, 'Price change'], ['2015-06-20 00:00:00', 100000, 'Price change'], ['2015-07-02 00:00:00', 80000, 'Price change'], ['2015-07-23 00:00:00', 80000, 'Pending'], ['2015-11-30 00:00:00', 90000, 'Price change'], ['2016-03-01 00:00:00', 90000, 'Pending'], ['2016-04-30 00:00:00', 90000, 'Pending to active status'], ['2016-05-14 00:00:00', 90000, 'Pending'], ['2016-07-15 00:00:00', 140000, 'Price change'], ['2016-07-21 00:00:00', 90000, 'Sold'], ['2016-08-04 00:00:00', 140000, 'Posting removed'], ['2016-09-12 00:00:00', 120000, 'Listed for sale'], ['2016-09-19 00:00:00', 105000, 'Price change'], ['2016-10-04 00:00:00', 99000, 'Price change'], ['2016-10-04 00:00:00', 105000, 'Posting removed'], ['2016-10-14 00:00:00', 99000, 'Posting removed'], ['2016-10-24 00:00:00', 95000, 'Price change'], ['2016-10-31 00:00:00', 89000, 'Price change'], ['2016-11-21 00:00:00', 89000, 'Pending'], ['2016-12-01 00:00:00', 89000, 'Posting removed'], ['2016-12-23 00:00:00', 81000, 'Sold'], ['2017-01-06 00:00:00', 89000, 'Posting removed'], ['2018-06-06 00:00:00', 549900, 'Listed for sale'], ['2018-08-23 00:00:00', 539900, 'Price change'], ['2018-08-23 00:00:00', 549900, 'Posting removed'], ['2018-09-04 00:00:00', 529900, 'Price change'], ['2018-09-19 00:00:00', 527000, 'Price change']]",151.0,"['$527,000', '$529,900', '$539,900', '$549,900', '$549,900', '$89,000', '$81,000', '$89,000', '$89,000', '$89,000', '$95,000', '$99,000', '$99,000', '$105,000', '$105,000', '$120,000', '$140,000', '$90,000', '$140,000', '$90,000', '$90,000', '$90,000', '$90,000', '$80,000', '$80,000', '$100,000', '$125,000', '$150,000', '$120,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '780 Square Feet', 'Lot Size: 5,040 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/2925-n-new-england-ave-chicago-il-60634--969755,164.0,2018.0,60634.0,57736,67169.0,74298,2002,"['1.6 km', '15.8 km', '1.3 km']",['18.7 km'],"['20 mins', '32 mins', '16 mins']",['1 hour 9 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Milwaukee West'],[41.9334808],[-87.79793409999999]
3,2003,6334 W Eddy St,1800.0,3.0,6.0,"Chicago, IL 60634","['09/19/2018', '09/18/2018', '07/24/2018', '07/24/2018', '07/06/2018', '06/22/2018', '04/26/2018', '04/24/2002', '01/28/2000']",2.0,"['Price change', 'Posting removed', 'Price change', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Sold', 'Sold']","['6 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,800 Square Feet', 'Lot Size: 3841 sqft']",09/19/2018,3841.0,sqft,&lpar;Portage Park&rpar;,"['Single-Family Home', '6 Beds', '3 Baths', 'Built in 1924', '162 days on Trulia', '3841 sqft lot size', '1,800 sqft', '$189/sqft', '210 views']",339900.0,"[['2000-01-28 00:00:00', 145000, 'Sold'], ['2002-04-24 00:00:00', 241500, 'Sold'], ['2018-04-26 00:00:00', 359900, 'Listed for sale'], ['2018-06-22 00:00:00', 354900, 'Price change'], ['2018-07-06 00:00:00', 349900, 'Price change'], ['2018-07-24 00:00:00', 344900, 'Price change'], ['2018-07-24 00:00:00', 349900, 'Posting removed'], ['2018-09-18 00:00:00', 344900, 'Posting removed'], ['2018-09-19 00:00:00', 339900, 'Price change']]",189.0,"['$339,900', '$344,900', '$344,900', '$349,900', '$349,900', '$354,900', '$359,900', '$241,500', '$145,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,275 Square Feet', 'Lot Size: 3,840 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6334-w-eddy-st-chicago-il-60634--2104359658,210.0,1924.0,60634.0,57736,67169.0,74298,2003,"['0.8 km', '4.1 km', '12 m', '15.3 km', '0.1 km']",['20.3 km'],"['10 mins', '15 mins', '1 min', '28 mins', '1 min']",['59 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Austin', 'Blue Line']",[41.9448054],[-87.785132]
4,2004,8308 W Forest Preserve Ave,1400.0,3.0,3.0,"Chicago, IL 60634","['08/08/2018', '07/17/2018', '07/11/2018', '07/07/2018', '05/31/2018', '04/25/2018', '04/13/2018']",5.0,"['Price change', 'Price change', 'Price change', 'Posting removed', 'Price change', 'Price change', 'Listed for sale']","['3 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,400 Square Feet', 'Lot Size: 3750 sqft']",08/08/2018,3750.0,sqft,&lpar;Belmont Terrace&rpar;,"['Single-Family Home', '3 Beds', '3 Baths', 'Built in 1949', '175 days on Trulia', '3750 sqft lot size', '1,400 sqft', '$228/sqft', '623 views']",319500.0,"[['2018-04-13 00:00:00', 345900, 'Listed for sale'], ['2018-04-25 00:00:00', 339500, 'Price change'], ['2018-05-31 00:00:00', 334500, 'Price change'], ['2018-07-07 00:00:00', 334500, 'Posting removed'], ['2018-07-11 00:00:00', 329400, 'Price change'], ['2018-07-17 00:00:00', 324900, 'Price change'], ['2018-08-08 00:00:00', 319500, 'Price change']]",228.0,"['$319,500', '$324,900', '$329,400', '$334,500', '$334,500', '$339,500', '$345,900']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,075 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/8308-w-forest-preserve-ave-chicago-il-60634--2104363174,623.0,1949.0,60634.0,57736,67169.0,74298,2004,"['1.2 km', '18.8 km', '1.3 km']",['21.3 km'],"['16 mins', '26 mins', '16 mins']",['58 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['North Central Service'],[41.9410667],[-87.8341334]
5,2005,3817 N Pontiac Ave,1598.0,3.0,4.0,"Chicago, IL 60634","['09/19/2018', '09/19/2018', '08/17/2018', '08/03/2018', '07/20/2018', '07/19/2018', '04/30/2018', '04/30/2018', '03/01/2018', '12/22/2017', '10/12/2017']",8.0,"['Price change', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Posting removed', 'Price change', 'Posting removed', 'Listed for sale', 'Posting removed', 'Listed for sale']","['4 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,598 Square Feet', 'Lot Size: 5580 sqft']",09/19/2018,5580.0,sqft,&lpar;Irving Woods&rpar;,"['Single-Family Home', '4 Beds', '3 Baths', 'Built in 1948', '218 days on Trulia', '5580 sqft lot size', '1,598 sqft', '$219/sqft', '668 views']",349900.0,"[['2017-10-12 00:00:00', 395000, 'Listed for sale'], ['2017-12-22 00:00:00', 395000, 'Posting removed'], ['2018-03-01 00:00:00', 389900, 'Listed for sale'], ['2018-04-30 00:00:00', 374900, 'Price change'], ['2018-04-30 00:00:00', 389900, 'Posting removed'], ['2018-07-19 00:00:00', 374900, 'Posting removed'], ['2018-07-20 00:00:00', 374000, 'Price change'], ['2018-08-03 00:00:00', 365000, 'Price change'], ['2018-08-17 00:00:00', 364900, 'Price change'], ['2018-09-19 00:00:00', 349900, 'Price change'], ['2018-09-19 00:00:00', 364900, 'Posting removed']]",219.0,"['$349,900', '$364,900', '$364,900', '$365,000', '$374,000', '$374,900', '$374,900', '$389,900', '$389,900', '$395,000', '$395,000']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,598 Square Feet', 'Lot Size: 5,580 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/3817-n-pontiac-ave-chicago-il-60634--2104351076,668.0,1948.0,60634.0,57736,67169.0,74298,2005,"['0.2 km', '4.0 km', '6 m', '22.1 km', '0.1 km']",['26.3 km'],"['2 mins', '10 mins', '1 min', '37 mins', '1 min']",['55 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Cumberland - 5th Avenue', 'Blue Line']",[41.9489892],[-87.8352961]
6,2006,6148 W Fletcher St,2150.0,2.0,3.0,"Chicago, IL 60634","['09/11/2018', '07/20/2018', '06/05/2018', '10/05/2017', '10/03/2017']",2.0,"['Price change', 'Price change', 'Listed for sale', 'Sold', 'Listed for sale']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,150 Square Feet', 'Lot Size: 3781 sqft']",09/25/2018,3781.0,sqft,&lpar;Belmont Central&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1924', '122 days on Trulia', '3781 sqft lot size', '2,150 sqft', '$176/sqft', '181 views']",379000.0,"[['2017-10-03 00:00:00', 200000, 'Listed for sale'], ['2017-10-05 00:00:00', 182000, 'Sold'], ['2018-06-05 00:00:00', 399000, 'Listed for sale'], ['2018-07-20 00:00:00', 389000, 'Price change'], ['2018-09-11 00:00:00', 379000, 'Price change']]",176.0,"['$379,000', '$389,000', '$399,000', '$182,000', '$200,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,020 Square Feet', 'Lot Size: 3,780 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6148-w-fletcher-st-chicago-il-60634--2104358406,181.0,1924.0,60634.0,57736,67169.0,74298,2006,"['0.5 km', '4.9 km', '12 m', '15.3 km', '0.1 km']",['20.8 km'],"['6 mins', '18 mins', '1 min', '28 mins', '1 min']",['58 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Austin', 'Blue Line']",[41.9375162],[-87.78053419999999]
7,2007,5742 W Newport Ave,2018.0,3.0,7.0,"Chicago, IL 60634","['09/15/2018', '08/10/2018', '07/29/2018', '07/25/2018', '06/30/2018', '05/30/2018', '05/20/2018', '10/18/1999']",8.0,"['Price change', 'Price change', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['7 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,018 Square Feet', 'Lot Size: 3781 sqft']",09/15/2018,3781.0,sqft,&lpar;Portage Park&rpar;,"['Single-Family Home', '7 Beds', '3 Baths', 'Built in 1985', '138 days on Trulia', '3781 sqft lot size', '2,018 sqft', '$193/sqft', '293 views']",389000.0,"[['1999-10-18 00:00:00', 240000, 'Sold'], ['2018-05-20 00:00:00', 499000, 'Listed for sale'], ['2018-05-30 00:00:00', 469000, 'Price change'], ['2018-06-30 00:00:00', 449000, 'Price change'], ['2018-07-25 00:00:00', 399000, 'Price change'], ['2018-07-29 00:00:00', 399000, 'Posting removed'], ['2018-08-10 00:00:00', 395000, 'Price change'], ['2018-09-15 00:00:00', 389000, 'Price change']]",193.0,"['$389,000', '$395,000', '$399,000', '$399,000', '$449,000', '$469,000', '$499,000', '$240,000']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,018 Square Feet', 'Lot Size: 3,780 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5742-w-newport-ave-chicago-il-60634--2104355719,293.0,1985.0,60634.0,57736,67169.0,74298,2007,"['0.4 km', '3.4 km', '65 m', '15.3 km', '0.1 km']",['19.3 km'],"['5 mins', '14 mins', '1 min', '28 mins', '1 min']",['56 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Central', 'Blue Line']",[41.94312430000001],[-87.77083309999999]
8,2008,3641 N Pontiac Ave #105,2500.0,3.0,4.0,"Chicago, IL 60634","['09/18/2018', '07/03/2018', '05/18/2018', '01/25/2018', '10/06/2017', '10/20/2015', '10/15/2015', '09/29/2015', '09/23/2015']",0.0,"['Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Listed for sale']","['4 Bedrooms', '3 Bathrooms', 'Single-Family Home', '2,500 Square Feet', 'Lot Size: 5580 sqft']",09/18/2018,5580.0,sqft,&lpar;Irving Woods&rpar;,"['Single-Family Home', '4 Beds', '3 Baths', 'Built in 1924', '140 days on Trulia', '5580 sqft lot size', '2,500 sqft', '$180/sqft', '115 views']",450000.0,"[['2015-09-23 00:00:00', 159900, 'Listed for sale'], ['2015-09-29 00:00:00', 159900, 'Pending'], ['2015-10-15 00:00:00', 159900, 'Posting removed'], ['2015-10-20 00:00:00', 186000, 'Sold'], ['2017-10-06 00:00:00', 472000, 'Listed for sale'], ['2018-01-25 00:00:00', 472000, 'Posting removed'], ['2018-05-18 00:00:00', 469900, 'Listed for sale'], ['2018-07-03 00:00:00', 464900, 'Price change'], ['2018-09-18 00:00:00', 450000, 'Price change']]",180.0,"['$450,000', '$464,900', '$469,900', '$472,000', '$472,000', '$186,000', '$159,900', '$159,900', '$159,900']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,419 Square Feet', 'Lot Size: 5,580 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/3641-n-pontiac-ave-105-chicago-il-60634--2190232231,115.0,1924.0,60634.0,57736,67169.0,74298,2008,"['0.2 km', '4.2 km', '6 m', '22.1 km', '0.1 km']",['26.5 km'],"['2 mins', '11 mins', '1 min', '37 mins', '1 min']",['56 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Cumberland - 5th Avenue', 'Blue Line']",[41.9460821],[-87.8352019]
9,2009,6111 W Dakin St,1325.0,2.0,4.0,"Chicago, IL 60634","['09/16/2018', '08/01/2018', '06/16/2018', '05/12/2018', '05/04/2018', '04/07/2018', '08/03/2016', '07/16/2016', '07/12/2016', '07/06/2016', '10/03/2015', '09/25/2015', '09/17/2015', '08/06/2014', '07/29/2014', '06/11/2014', '05/25/2014']",1.0,"['Pending to active status', 'Pending', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Listed for sale']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,325 Square Feet', 'Lot Size: 4024 sqft']",09/30/2018,4024.0,sqft,&lpar;Portage Park&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1920', '111 days on Trulia', '4024 sqft lot size', '1,325 sqft', '$316/sqft', '855 views']",418900.0,"[['2014-05-25 00:00:00', 175000, 'Listed for sale'], ['2014-06-11 00:00:00', 175000, 'Pending'], ['2014-07-29 00:00:00', 175000, 'Posting removed'], ['2014-08-06 00:00:00', 185000, 'Sold'], ['2015-09-17 00:00:00', 209900, 'Listed for sale'], ['2015-09-25 00:00:00', 204999, 'Price change'], ['2015-10-03 00:00:00', 204999, 'Posting removed'], ['2016-07-06 00:00:00', 439000, 'Listed for sale'], ['2016-07-12 00:00:00', 429000, 'Price change'], ['2016-07-16 00:00:00', 416000, 'Price change'], ['2016-08-03 00:00:00', 416000, 'Posting removed'], ['2018-04-07 00:00:00', 425000, 'Listed for sale'], ['2018-05-04 00:00:00', 419000, 'Price change'], ['2018-05-12 00:00:00', 419000, 'Posting removed'], ['2018-06-16 00:00:00', 419000, 'Listed for sale'], ['2018-08-01 00:00:00', 419000, 'Pending'], ['2018-09-16 00:00:00', 419000, 'Pending to active status']]",316.0,"['$419,000', '$419,000', '$419,000', '$419,000', '$419,000', '$425,000', '$416,000', '$416,000', '$429,000', '$439,000', '$204,999', '$204,999', '$209,900', '$185,000', '$175,000', '$175,000', '$175,000']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,325 Square Feet', 'Lot Size: 4,026 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6111-w-dakin-st-chicago-il-60634--1273085,855.0,1920.0,60634.0,57736,67169.0,74298,2009,"['0.3 km', '3.3 km', '12 m', '15.3 km', '0.1 km']",['19.1 km'],"['4 mins', '12 mins', '1 min', '28 mins', '1 min']",['50 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Austin', 'Blue Line']",[41.9520302],[-87.7797179]
