,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,3900,7749 S Aberdeen St,1152.0,1.0,3.0,"Chicago, IL 60620",['06/14/2018'],3.0,['Listed for sale'],"['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,152 Square Feet', 'Lot Size: 3720 sqft']",10/05/2018,3720.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1910', '113 days on Trulia', '3720 sqft lot size', '1,152 sqft', '$48/sqft', '58 views']",55000.0,"[['2018-06-14 00:00:00', 65000, 'Listed for sale']]",48.0,"['$65,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,152 Square Feet', 'Lot Size: 3,720 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7749-s-aberdeen-st-chicago-il-60620--2104118006,58.0,1910.0,60620.0,35721,46456.0,72216,3900,"['0.3 km', '2.2 km', '13 m', '15.2 km', '0.2 km']",['18.0 km'],"['3 mins', '10 mins', '1 min', '23 mins', '3 mins']",['43 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['79th', 'Red Line']",[41.752712],[-87.6513246]
1,3901,8054 S Yale Ave,1150.0,2.0,3.0,"Chicago, IL 60620","['09/12/2018', '08/28/2018', '07/09/2018', '12/29/2017', '10/24/2017', '05/05/2017', '02/21/2017', '01/24/2017']",0.0,"['Price change', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Listed for sale']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,150 Square Feet', 'Lot Size: 3720 sqft']",10/05/2018,3720.0,sqft,&lpar;West Chatham&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1926', '280 days on Trulia', '3720 sqft lot size', '1,150 sqft', '$61/sqft', '1285 views']",70000.0,"[['2017-01-24 00:00:00', 165000, 'Listed for sale'], ['2017-02-21 00:00:00', 135000, 'Price change'], ['2017-05-05 00:00:00', 110000, 'Price change'], ['2017-10-24 00:00:00', 110000, 'Posting removed'], ['2017-12-29 00:00:00', 90000, 'Listed for sale'], ['2018-07-09 00:00:00', 82500, 'Price change'], ['2018-08-28 00:00:00', 77000, 'Price change'], ['2018-09-12 00:00:00', 75000, 'Price change']]",61.0,"['$75,000', '$77,000', '$82,500', '$90,000', '$110,000', '$110,000', '$135,000', '$165,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,150 Square Feet', 'Lot Size: 3,720 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/8054-s-yale-ave-chicago-il-60620--2104121584,1285.0,1926.0,60620.0,35721,46456.0,72216,3901,"['0.8 km', '15.2 km', '0.2 km']",['16.3 km'],"['10 mins', '23 mins', '3 mins']",['36 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.7474069],[-87.6306278]
2,3902,7624 S Loomis Blvd,1831.0,2.0,4.0,"Chicago, IL 60620","['09/05/2018', '06/18/2018', '02/21/2018', '02/14/2018', '01/08/2018', '06/30/2017', '06/06/2017', '03/14/2017', '02/14/2017', '06/29/2016', '04/18/2016', '04/07/2016', '11/23/2015', '06/22/2015', '06/01/2015', '05/05/2015', '03/31/2015', '01/28/2015', '01/13/2015', '11/26/2014', '08/15/2007', '12/28/1999', '04/12/1996']",0.0,"['Price change', 'Price change', 'Price change', 'Posting removed', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Pending', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold', 'Sold', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,831 Square Feet', 'Lot Size: 5340 sqft']",09/05/2018,5340.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1922', '270 days on Trulia', '5340 sqft lot size', '1,831 sqft', '$57/sqft', '669 views']",104900.0,"[['1996-04-12 00:00:00', 13000, 'Sold'], ['1999-12-28 00:00:00', 82500, 'Sold'], ['2007-08-15 00:00:00', 142000, 'Sold'], ['2014-11-26 00:00:00', 138000, 'Listed for sale'], ['2015-01-13 00:00:00', 126000, 'Price change'], ['2015-01-28 00:00:00', 121000, 'Price change'], ['2015-03-31 00:00:00', 109000, 'Price change'], ['2015-05-05 00:00:00', 99000, 'Price change'], ['2015-06-01 00:00:00', 84000, 'Price change'], ['2015-06-22 00:00:00', 80000, 'Price change'], ['2015-11-23 00:00:00', 80000, 'Posting removed'], ['2016-04-07 00:00:00', 50000, 'Listed for sale'], ['2016-04-18 00:00:00', 50000, 'Pending'], ['2016-06-29 00:00:00', 50000, 'Posting removed'], ['2017-02-14 00:00:00', 119000, 'Listed for sale'], ['2017-03-14 00:00:00', 116900, 'Price change'], ['2017-06-06 00:00:00', 114900, 'Price change'], ['2017-06-30 00:00:00', 114900, 'Posting removed'], ['2018-01-08 00:00:00', 109900, 'Listed for sale'], ['2018-02-14 00:00:00', 109900, 'Posting removed'], ['2018-02-21 00:00:00', 107900, 'Price change'], ['2018-06-18 00:00:00', 105900, 'Price change'], ['2018-09-05 00:00:00', 104900, 'Price change']]",57.0,"['$104,900', '$105,900', '$107,900', '$109,900', '$109,900', '$114,900', '$114,900', '$116,900', '$119,000', '$50,000', '$50,000', '$50,000', '$80,000', '$80,000', '$84,000', '$99,000', '$109,000', '$121,000', '$126,000', '$138,000', '$142,000', '$82,500', '$13,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,905 Square Feet', 'Lot Size: 5,340 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7624-s-loomis-blvd-chicago-il-60620--1249321,669.0,1922.0,60620.0,35721,46456.0,72216,3902,"['0.5 km', '2.6 km', '0.2 km', '15.2 km', '0.2 km']",['18.8 km'],"['7 mins', '10 mins', '2 mins', '23 mins', '3 mins']",['49 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['79th', 'Red Line']",[41.7550947],[-87.6587579]
3,3903,9246 S Halsted St #B,1006.0,2.0,2.0,"Chicago, IL 60620",,3.0,,"['2 Bedrooms', '2 Bathrooms', 'Townhouse', '1,006 Square Feet']",05/31/2018,,,&lpar;Brainerd&rpar;,"['Townhouse', '2 Beds', '2 Baths', 'Built in 1968', '133 days on Trulia', '1,006 sqft', '$60/sqft', '670 views']",60000.0,,60.0,,,,https://www.trulia.com/p/il/chicago/9246-s-halsted-st-b-chicago-il-60620--2309348575,670.0,1968.0,60620.0,35721,46456.0,72216,3903,"['1.4 km', '15.7 km', '0.1 km', '1.1 km', '0.1 km']",['18.3 km'],"['17 mins', '19 mins', '1 min', '4 mins', '1 min']",['46 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.72544329999999],[-87.6434199]
4,3904,8314 S Ada St,1224.0,1.0,3.0,"Chicago, IL 60620","['09/15/2018', '02/17/2012', '09/22/2011', '07/01/2011', '04/30/2011', '04/22/2011', '04/15/2011', '04/05/2011', '04/01/2011', '03/24/2011', '03/04/2011', '02/24/2011', '12/18/2010', '12/10/2010', '10/29/2010', '03/25/2010', '04/17/2006', '01/31/2006', '08/03/1994']",1.0,"['Posting removed', 'Sold', 'Posting removed', 'Listed for sale', 'Posting removed', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Price change', 'Listed for sale', 'Sold', 'Sold', 'Sold', 'Sold']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,224 Square Feet', 'Lot Size: 3625 sqft']",09/15/2018,3625.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1925', '371 days on Trulia', '3625 sqft lot size', '1,224 sqft', '$108/sqft', '65 views']",132616.0,"[['1994-08-03 00:00:00', 80000, 'Sold'], ['2006-01-31 00:00:00', 112000, 'Sold'], ['2006-04-17 00:00:00', 180000, 'Sold'], ['2010-03-25 00:00:00', 40000, 'Sold'], ['2010-10-29 00:00:00', 164000, 'Listed for sale'], ['2010-12-10 00:00:00', 159900, 'Price change'], ['2010-12-18 00:00:00', 159900, 'Posting removed'], ['2011-02-24 00:00:00', 162500, 'Listed for sale'], ['2011-03-04 00:00:00', 159500, 'Price change'], ['2011-03-24 00:00:00', 159000, 'Price change'], ['2011-04-01 00:00:00', 158500, 'Price change'], ['2011-04-05 00:00:00', 158000, 'Price change'], ['2011-04-15 00:00:00', 157500, 'Price change'], ['2011-04-22 00:00:00', 157000, 'Price change'], ['2011-04-30 00:00:00', 157000, 'Posting removed'], ['2011-07-01 00:00:00', 152000, 'Listed for sale'], ['2011-09-22 00:00:00', 152000, 'Posting removed'], ['2012-02-17 00:00:00', 152000, 'Sold'], ['2018-09-15 00:00:00', 86531, 'Posting removed']]",108.0,"['$86,531', '$152,000', '$152,000', '$152,000', '$157,000', '$157,000', '$157,500', '$158,000', '$158,500', '$159,000', '$159,500', '$162,500', '$159,900', '$159,900', '$164,000', '$40,000', '$180,000', '$112,000', '$80,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,224 Square Feet', 'Lot Size: 3,625 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/8314-s-ada-st-chicago-il-60620--1149863,65.0,1925.0,60620.0,35721,46456.0,72216,3904,"['1.3 km', '17.1 km', '0.1 km', '1.1 km', '0.1 km']",['19.7 km'],"['16 mins', '22 mins', '1 min', '4 mins', '1 min']",['48 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.7427043],[-87.65722559999999]
5,3905,7606 S Laflin St,1462.0,2.0,3.0,"Chicago, IL 60620","['07/03/2018', '04/07/2018']",1.0,"['Price change', 'Listed for sale']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,462 Square Feet', 'Lot Size: 4064 sqft']",07/03/2018,4064.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1937', '181 days on Trulia', '4064 sqft lot size', '1,462 sqft', '$81/sqft', '291 views']",118000.0,"[['2018-04-07 00:00:00', 120000, 'Listed for sale'], ['2018-07-03 00:00:00', 118000, 'Price change']]",81.0,"['$118,000', '$120,000']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,462 Square Feet', 'Lot Size: 4,062 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7606-s-laflin-st-chicago-il-60620--2104115955,291.0,1937.0,60620.0,35721,46456.0,72216,3905,"['0.6 km', '2.2 km', '21 m', '16.4 km', '0.2 km']",['19.4 km'],"['7 mins', '6 mins', '1 min', '32 mins', '3 mins']",['1 hour 0 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Ashland Express', 'Green Line']",[41.7555459],[-87.66200049999999]
6,3906,7837 S Marshfield Ave,890.0,2.0,4.0,"Chicago, IL 60620","['09/11/2018', '07/24/2018', '06/19/2018', '06/04/2018', '05/11/2018', '04/07/2018', '03/28/2018', '12/18/2017']",1.0,"['Price change', 'Posting removed', 'Pending', 'Price change', 'Pending to active status', 'Pending', 'Listed for sale', 'Sold']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '890 Square Feet', 'Lot Size: 3750 sqft']",10/03/2018,3750.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1948', '191 days on Trulia', '3750 sqft lot size', '890 sqft', '$123/sqft', '486 views']",109900.0,"[['2017-12-18 00:00:00', 20000, 'Sold'], ['2018-03-28 00:00:00', 130000, 'Listed for sale'], ['2018-04-07 00:00:00', 130000, 'Pending'], ['2018-05-11 00:00:00', 130000, 'Pending to active status'], ['2018-06-04 00:00:00', 118500, 'Price change'], ['2018-06-19 00:00:00', 118500, 'Pending'], ['2018-07-24 00:00:00', 118500, 'Posting removed'], ['2018-09-11 00:00:00', 114900, 'Price change']]",123.0,"['$114,900', '$118,500', '$118,500', '$118,500', '$130,000', '$130,000', '$130,000', '$20,000']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '893 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7837-s-marshfield-ave-chicago-il-60620--2104118953,486.0,1948.0,60620.0,35721,46456.0,72216,3906,"['0.2 km', '3.2 km', '21 m', '16.4 km', '0.2 km']",['20.1 km'],"['3 mins', '9 mins', '1 min', '32 mins', '3 mins']",['58 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Ashland Express', 'Green Line']",[41.7510385],[-87.66461629999999]
7,3907,7724 S Hermitage Ave,3375.0,3.0,6.0,"Chicago, IL 60620","['09/01/2018', '08/21/2018', '08/21/2018', '07/23/2018', '07/14/2018', '06/29/2018', '06/06/2018', '03/22/2018', '05/14/2010', '01/20/2010', '01/01/2010', '11/24/2009', '07/08/1997']",7.0,"['Price change', 'Price change', 'Posting removed', 'Price change', 'Pending to active status', 'Pending', 'Price change', 'Listed for sale', 'Sold', 'Sold', 'Posting removed', 'Listed for sale', 'Sold']","['6 Bedrooms', '3 Bathrooms', 'Single-Family Home', '3,375 Square Feet', 'Lot Size: 5623 sqft']",09/19/2018,5623.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '6 Beds', '3 Baths', 'Built in 1919', '197 days on Trulia', '5623 sqft lot size', '3,375 sqft', '$61/sqft', '496 views']",205900.0,"[['1997-07-08 00:00:00', 74000, 'Sold'], ['2009-11-24 00:00:00', 29900, 'Listed for sale'], ['2010-01-01 00:00:00', 29900, 'Posting removed'], ['2010-01-20 00:00:00', 45000, 'Sold'], ['2010-05-14 00:00:00', 153000, 'Sold'], ['2018-03-22 00:00:00', 229000, 'Listed for sale'], ['2018-06-06 00:00:00', 220000, 'Price change'], ['2018-06-29 00:00:00', 220000, 'Pending'], ['2018-07-14 00:00:00', 220000, 'Pending to active status'], ['2018-07-23 00:00:00', 215000, 'Price change'], ['2018-08-21 00:00:00', 210000, 'Price change'], ['2018-08-21 00:00:00', 215000, 'Posting removed'], ['2018-09-01 00:00:00', 205900, 'Price change']]",61.0,"['$205,900', '$210,000', '$215,000', '$215,000', '$220,000', '$220,000', '$220,000', '$229,000', '$153,000', '$45,000', '$29,900', '$29,900', '$74,000']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,140 Square Feet', 'Lot Size: 5,625 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7724-s-hermitage-ave-chicago-il-60620--2104117531,496.0,1919.0,60620.0,35721,46456.0,72216,3907,"['1.0 km', '2.2 km', '21 m', '16.4 km', '0.2 km']",['19.9 km'],"['13 mins', '6 mins', '1 min', '32 mins', '3 mins']",['1 hour 5 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Ashland Express', 'Green Line']",[41.7531658],[-87.6671963]
8,3908,8837 S Morgan St,800.0,1.0,2.0,"Chicago, IL 60620",,4.0,,"['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '800 Square Feet', 'Lot Size: 3124 sqft']",08/15/2018,3124.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '2 Beds', '1 Bath', 'Built in 1926', '444 days on Trulia', '3124 sqft lot size', '800 sqft', '$146/sqft']",116607.0,,146.0,,"['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '800 Square Feet', 'Lot Size: 3,125 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/8837-s-morgan-st-chicago-il-60620--2104128796,,1926.0,60620.0,35721,46456.0,72216,3908,"['0.6 km', '15.7 km', '0.1 km', '1.1 km', '0.1 km']",['17.6 km'],"['8 mins', '19 mins', '1 min', '4 mins', '1 min']",['37 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['HEAVY_RAIL', 'SUBWAY']","['Rock Island', 'Blue Line']",[41.7330225],[-87.6483595]
9,3909,7718 S Wood St,1275.0,1.0,3.0,"Chicago, IL 60620",,4.0,,"['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,275 Square Feet', 'Lot Size: 3750 sqft']",10/03/2018,3750.0,sqft,&lpar;Gresham&rpar;,"['Single-Family Home', '3 Beds', '1 Bath', 'Built in 1921', '24 days on Trulia', '3750 sqft lot size', '1,275 sqft', '$62/sqft', '206 views']",79000.0,,62.0,,"['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,224 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7718-s-wood-st-chicago-il-60620--2104117425,206.0,1921.0,60620.0,35721,46456.0,72216,3909,"['1.1 km', '2.2 km', '21 m', '16.4 km', '0.2 km']",['19.9 km'],"['14 mins', '6 mins', '1 min', '32 mins', '3 mins']",['1 hour 6 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Ashland Express', 'Green Line']",[41.7533864],[-87.6684186]
