,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,5000,5208 S Ingleside Ave #2S,1150.0,2.0,3.0,"Chicago, IL 60615",,8.0,,"['3 Bedrooms', '2 Bathrooms', 'Condo', '1,150 Square Feet']",10/02/2018,,,&lpar;Hyde Park&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 1913', '58 days on Trulia', '1,150 sqft', '$204/sqft', '376 views', '$535/monthly HOA']",235000.0,,204.0,,,,https://www.trulia.com/p/il/chicago/5208-s-ingleside-ave-2s-chicago-il-60615--2172365930,376.0,1913.0,60615.0,37864,65320.0,39354,5000,"['1.5 km', '10.1 km', '0.4 km']",['12.0 km'],"['19 mins', '17 mins', '6 mins']",['39 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.800613],[-87.6029087]
1,5001,5142 S King Dr #A,573.0,1.0,1.0,"Chicago, IL 60615",,9.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '573 Square Feet']",09/19/2018,,,&lpar;Washington Park&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1939', '79 days on Trulia', '573 sqft', '$48/sqft', '97 views']",27500.0,,48.0,,,,https://www.trulia.com/p/il/chicago/5142-s-king-dr-a-chicago-il-60615--2344699064,97.0,1939.0,60615.0,37864,65320.0,39354,5001,"['0.3 km', '10.2 km', '0.2 km']",['10.7 km'],"['4 mins', '22 mins', '3 mins']",['28 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Green Line'],[41.800678],[-87.6161679]
2,5002,4800 S Chicago Beach Dr #2310,586.0,1.0,1.0,"Chicago, IL 60615",,2.0,,"['1 Bedroom', '1 Bathroom', 'Condo', '586 Square Feet']",07/22/2018,,,&lpar;Kenwood&rpar;,"['Condo', '1 Bed', '1 Bath', 'Built in 1963', '102 days on Trulia', '586 sqft', '$220/sqft', '7 views', '$318/monthly HOA']",129000.0,,220.0,,,,https://www.trulia.com/p/il/chicago/4800-s-chicago-beach-dr-2310-chicago-il-60615--2176748411,7.0,1963.0,60615.0,37864,65320.0,39354,5002,"['0.6 km', '10.1 km', '0.4 km']",['11.1 km'],"['7 mins', '17 mins', '6 mins']",['30 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.8067615],[-87.58622849999999]
3,5003,5225 S Drexel Ave #3,1027.0,1.0,2.0,"Chicago, IL 60615",,9.0,,"['2 Bedrooms', '1 Bathroom', 'Condo', '1,027 Square Feet']",09/29/2018,,,&lpar;Hyde Park&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 1919', '79 days on Trulia', '1,027 sqft', '$161/sqft', '230 views', '$233/monthly HOA']",165000.0,,161.0,,,,https://www.trulia.com/p/il/chicago/5225-s-drexel-ave-3-chicago-il-60615--2123710236,230.0,1919.0,60615.0,37864,65320.0,39354,5003,"['1.4 km', '10.2 km', '0.2 km']",['11.8 km'],"['18 mins', '22 mins', '3 mins']",['42 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Green Line'],[41.8001485],[-87.6038887]
4,5004,5327 S Harper Ave #2,1620.0,2.0,3.0,"Chicago, IL 60615","['08/15/2018', '09/09/2011', '09/07/2011', '01/03/2005']",2.0,"['Listed for sale', 'Posting removed', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Condo', '1,620 Square Feet']",08/15/2018,,,&lpar;Hyde Park&rpar;,"['Condo', '3 Beds', '2 Baths', 'Built in 1910', '52 days on Trulia', '1,620 sqft', '$164/sqft', '104 views']",265000.0,"[['2005-01-03 00:00:00', 349000, 'Sold'], ['2011-09-07 00:00:00', 1785, 'Listed for sale'], ['2011-09-09 00:00:00', 1785, 'Posting removed'], ['2018-08-15 00:00:00', 265000, 'Listed for sale']]",164.0,"['$265,000', '$1,785', '$1,785', '$349,000']","['Condo', 'Lot Size: 1.05 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/5327-s-harper-ave-2-chicago-il-60615--2123746007,104.0,1910.0,60615.0,37864,65320.0,39354,5004,"['0.5 km', '10.1 km', '0.4 km']",['11.1 km'],"['7 mins', '17 mins', '6 mins']",['28 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.7988366],[-87.58902909999999]
5,5005,5348 S Wabash Ave,2048.0,3.0,7.0,"Chicago, IL 60615","['08/03/2018', '10/03/2017', '11/15/2016', '11/04/2016', '10/17/2016', '09/29/2016', '06/23/2016', '04/13/2016', '11/30/2015', '10/17/2000']",4.0,"['Listed for sale', 'Sold', 'Sold', 'Posting removed', 'Price change', 'Sold', 'Pending', 'Price change', 'Listed for sale', 'Sold']","['7 Bedrooms', '3 Bathrooms', 'Multi-Family', '2,048 Square Feet', 'Lot Size: 2613 sqft']",08/11/2018,2613.0,sqft,&lpar;Washington Park&rpar;,"['Multi-Family', '7 Beds', '3 Baths', 'Built in 1905', '64 days on Trulia', '2613 sqft lot size', '2,048 sqft', '$195/sqft', '135 views']",400000.0,"[['2000-10-17 00:00:00', 55000, 'Sold'], ['2015-11-30 00:00:00', 80000, 'Listed for sale'], ['2016-04-13 00:00:00', 41500, 'Price change'], ['2016-06-23 00:00:00', 41500, 'Pending'], ['2016-09-29 00:00:00', 20000, 'Sold'], ['2016-10-17 00:00:00', 60000, 'Price change'], ['2016-11-04 00:00:00', 60000, 'Posting removed'], ['2016-11-15 00:00:00', 65000, 'Sold'], ['2017-10-03 00:00:00', 330000, 'Sold'], ['2018-08-03 00:00:00', 400000, 'Listed for sale']]",195.0,"['$400,000', '$330,000', '$65,000', '$60,000', '$60,000', '$20,000', '$41,500', '$41,500', '$80,000', '$55,000']","['5 Bedrooms', '2 Bathrooms', 'Multi-Family', '2,048 Square Feet', 'Lot Size: 2,775 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5348-s-wabash-ave-chicago-il-60615--1001266091,135.0,1905.0,60615.0,37864,65320.0,39354,5005,"['0.8 km', '10.1 km', '0.2 km']",['11.1 km'],"['10 mins', '16 mins', '3 mins']",['29 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Red Line'],[41.7966978],[-87.624197]
6,5006,4800 S Saint Lawrence Ave #3S,3000.0,3.0,3.0,"Chicago, IL 60615","['08/22/2018', '07/02/2018', '04/18/2018', '04/04/2018', '03/29/2018', '03/07/2018', '02/26/2018', '01/31/2018', '12/29/2017', '12/22/2017', '10/08/2017', '09/13/2017', '08/15/2017', '07/15/2017', '06/13/2017', '10/05/2010', '09/18/2010', '07/11/2010', '02/23/2007']",4.0,"['Listed for sale', 'Sold', 'Posting removed', 'Posting removed', 'Pending to active status', 'Pending', 'Price change', 'Pending', 'Price change', 'Pending to active status', 'Pending', 'Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Listed for sale', 'Sold']","['3 Bedrooms', '3 Bathrooms', 'Condo', '3,000 Square Feet']",08/22/2018,,,&lpar;Bronzeville&rpar;,"['Condo', '3 Beds', '3 Baths', 'Built in 2005', '44 days on Trulia', '3,000 sqft', '$117/sqft', '533 views', '$324/monthly HOA']",349900.0,"[['2007-02-23 00:00:00', 405000, 'Sold'], ['2010-07-11 00:00:00', 249000, 'Listed for sale'], ['2010-09-18 00:00:00', 249000, 'Posting removed'], ['2010-10-05 00:00:00', 235000, 'Sold'], ['2017-06-13 00:00:00', 277950, 'Listed for sale'], ['2017-07-15 00:00:00', 255000, 'Price change'], ['2017-08-15 00:00:00', 249000, 'Price change'], ['2017-09-13 00:00:00', 234900, 'Price change'], ['2017-10-08 00:00:00', 234900, 'Pending'], ['2017-12-22 00:00:00', 234900, 'Pending to active status'], ['2017-12-29 00:00:00', 219900, 'Price change'], ['2018-01-31 00:00:00', 219900, 'Pending'], ['2018-02-26 00:00:00', 205000, 'Price change'], ['2018-03-07 00:00:00', 205000, 'Pending'], ['2018-03-29 00:00:00', 205000, 'Pending to active status'], ['2018-04-04 00:00:00', 205000, 'Posting removed'], ['2018-04-18 00:00:00', 230619, 'Posting removed'], ['2018-07-02 00:00:00', 156000, 'Sold'], ['2018-08-22 00:00:00', 349900, 'Listed for sale']]",117.0,"['$349,900', '$156,000', '$230,619', '$205,000', '$205,000', '$205,000', '$205,000', '$219,900', '$219,900', '$234,900', '$234,900', '$234,900', '$249,000', '$255,000', '$277,950', '$235,000', '$249,000', '$249,000', '$405,000']","['Condo', 'Lot Size: 6,082 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/4800-s-saint-lawrence-ave-3s-chicago-il-60615--2123521378,533.0,2005.0,60615.0,37864,65320.0,39354,5006,"['0.8 km', '9.5 km', '0.2 km']",['10.5 km'],"['11 mins', '20 mins', '3 mins']",['33 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Green Line'],[41.8074911],[-87.6114654]
7,5007,5044 S Evans Ave,2480.0,4.0,4.0,"Chicago, IL 60615",,1.0,,"['4 Bedrooms', '4 Bathrooms', 'Townhouse', '2,480 Square Feet']",09/09/2018,,,&lpar;Bronzeville&rpar;,"['Townhouse', '4 Beds', '4 Baths', 'Built in 2000', '71 days on Trulia', '2,480 sqft', '$153/sqft', '209 views', '$247/monthly HOA']",379000.0,,153.0,,"['Condo', 'Lot Size: 0.51 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/5044-s-evans-ave-chicago-il-60615--2104005831,209.0,2000.0,60615.0,37864,65320.0,39354,5007,"['0.9 km', '10.2 km', '0.2 km']",['11.3 km'],"['11 mins', '22 mins', '3 mins']",['35 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Green Line'],[41.8026397],[-87.6079544]
8,5008,5485 S Ellis Ave,3525.0,4.0,4.0,"Chicago, IL 60615","['08/17/2018', '08/14/2018', '07/25/2018', '04/04/2018', '10/04/2017', '08/01/2017', '09/09/2015', '07/01/2015', '06/26/2015', '08/03/2005', '12/07/2004']",2.0,"['Listed for sale', 'Posting removed', 'Listed for sale', 'Posting removed', 'Posting removed', 'Listed for sale', 'Sold', 'Posting removed', 'Listed for sale', 'Sold', 'Sold']","['4 Bedrooms', '4 Bathrooms', 'Single-Family Home', '3,525 Square Feet', 'Lot Size: 2613 sqft']",10/02/2018,2613.0,sqft,&lpar;Hyde Park&rpar;,"['Single-Family Home', '4 Beds', '4 Baths', 'Built in 1883', '22 days on Trulia', '2613 sqft lot size', '3,525 sqft', '$519/sqft', '1321 views']",1829000.0,"[['2004-12-07 00:00:00', 247000, 'Sold'], ['2005-08-03 00:00:00', 525000, 'Sold'], ['2015-06-26 00:00:00', 339900, 'Listed for sale'], ['2015-07-01 00:00:00', 339900, 'Posting removed'], ['2015-09-09 00:00:00', 507000, 'Sold'], ['2017-08-01 00:00:00', 1725000, 'Listed for sale'], ['2017-10-04 00:00:00', 1725000, 'Posting removed'], ['2018-04-04 00:00:00', 1725000, 'Posting removed'], ['2018-07-25 00:00:00', 1829000, 'Listed for sale'], ['2018-08-14 00:00:00', 1829000, 'Posting removed'], ['2018-08-17 00:00:00', 1829000, 'Listed for sale']]",519.0,"['$1,829,000', '$1,829,000', '$1,829,000', '$1,725,000', '$1,725,000', '$1,725,000', '$507,000', '$339,900', '$339,900', '$525,000', '$247,000']","['4 Bedrooms', '2 Bathrooms', 'Townhouse', '1,756 Square Feet', 'Lot Size: 2,733 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5485-s-ellis-ave-chicago-il-60615--2104010655,1321.0,1883.0,60615.0,37864,65320.0,39354,5008,"['1.4 km', '10.8 km', '0.4 km']",['12.7 km'],"['18 mins', '19 mins', '6 mins']",['42 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.7956162],[-87.6011855]
9,5009,5208 S Berkeley Ave,1460.0,2.0,3.0,"Chicago, IL 60615","['09/18/2018', '07/30/2018', '07/27/2018', '02/04/2014', '12/17/2013', '12/11/2013', '05/31/2000']",0.0,"['Price change', 'Posting removed', 'Listed for sale', 'Sold', 'Posting removed', 'Listed for sale', 'Sold']","['3 Bedrooms', '2 Bathrooms', 'Townhouse', '1,460 Square Feet', 'Lot Size: 927 sqft']",09/18/2018,927.0,sqft,&lpar;Hyde Park&rpar;,"['Townhouse', '3 Beds', '2 Baths', 'Built in 1996', '70 days on Trulia', '927 sqft lot size', '1,460 sqft', '$253/sqft', '203 views', '$252/monthly HOA']",369900.0,"[['2000-05-31 00:00:00', 286000, 'Sold'], ['2013-12-11 00:00:00', 299000, 'Listed for sale'], ['2013-12-17 00:00:00', 299000, 'Posting removed'], ['2014-02-04 00:00:00', 299000, 'Sold'], ['2018-07-27 00:00:00', 379900, 'Listed for sale'], ['2018-07-30 00:00:00', 379900, 'Posting removed'], ['2018-09-18 00:00:00', 369900, 'Price change']]",253.0,"['$369,900', '$379,900', '$379,900', '$299,000', '$299,000', '$299,000', '$286,000']","['2 Bedrooms', '1 Bathroom', 'Townhouse', '1,460 Square Feet', 'Lot Size: 928 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5208-s-berkeley-ave-chicago-il-60615--2104007508,203.0,1996.0,60615.0,37864,65320.0,39354,5009,"['1.3 km', '10.1 km', '0.4 km']",['11.8 km'],"['16 mins', '17 mins', '6 mins']",['37 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Metra Electric'],[41.8005302],[-87.6005551]
