,index,address,area,bathrooms,bedrooms,city_state,dates,days_on_Trulia,events,listing_information,listing_information_date_updated,lot_size,lot_size_units,neighborhood,overview,price,price_history,price_per_square_foot,prices,public_records,public_records_date_updated,url,views,year_built,zipcode,median_income,mean_income,population,ID,distance_steps,distance_trip,duration_steps,duration_trip,mode_steps,vehicle_steps,line_steps,latitude,longitude
0,6900,6676 N Northwest Hwy #3,1550.0,2.0,2.0,"Chicago, IL 60631",,1.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,550 Square Feet']",10/05/2018,,,&lpar;Edison Park&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2009', '221 days on Trulia', '1,550 sqft', '$216/sqft', '209 views', '$125/monthly HOA']",334900.0,,216.0,,,,https://www.trulia.com/p/il/chicago/6676-n-northwest-hwy-3-chicago-il-60631--2104308189,209.0,2009.0,60631.0,74087,87229.0,28641,6900,"['0.3 km', '20.3 km', '0.8 km']",['21.3 km'],"['3 mins', '31 mins', '10 mins']",['45 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Union Pacific Northwest'],[42.0022933],[-87.8154533]
1,6901,5965 N Northwest Hwy #202,1050.0,1.0,2.0,"Chicago, IL 60631","['07/18/2018', '06/26/2018', '06/04/2018', '08/11/2017', '08/10/2017', '08/04/2017', '07/06/2017', '06/23/2017', '06/09/2017', '04/21/2009']",3.0,"['Price change', 'Price change', 'Listed for sale', 'Sold', 'Posting removed', 'Pending', 'Posting removed', 'Pending', 'Listed for sale', 'Sold']","['2 Bedrooms', '1 Bathroom', 'Condo', '1,050 Square Feet']",07/18/2018,,,&lpar;Norwood Park East&rpar;,"['Condo', '2 Beds', '1 Bath', 'Built in 2004', '123 days on Trulia', '1,050 sqft', '$208/sqft', '161 views', '$233/monthly HOA']",218000.0,"[['2009-04-21 00:00:00', 204000, 'Sold'], ['2017-06-09 00:00:00', 200000, 'Listed for sale'], ['2017-06-23 00:00:00', 200000, 'Pending'], ['2017-07-06 00:00:00', 200000, 'Posting removed'], ['2017-08-04 00:00:00', 200000, 'Pending'], ['2017-08-10 00:00:00', 200000, 'Posting removed'], ['2017-08-11 00:00:00', 205000, 'Sold'], ['2018-06-04 00:00:00', 229000, 'Listed for sale'], ['2018-06-26 00:00:00', 222900, 'Price change'], ['2018-07-18 00:00:00', 218000, 'Price change']]",208.0,"['$218,000', '$222,900', '$229,000', '$205,000', '$200,000', '$200,000', '$200,000', '$200,000', '$200,000', '$204,000']","['Condo', 'Lot Size: 0.4 acres']",10/01/2017,https://www.trulia.com/p/il/chicago/5965-n-northwest-hwy-202-chicago-il-60631--2123910026,161.0,2004.0,60631.0,74087,87229.0,28641,6901,"['1.9 km', '19.6 km', '0.1 km']",['21.6 km'],"['25 mins', '33 mins', '1 min']",['58 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.989458],[-87.79389410000002]
2,6902,6918 N Odell Ave,2000.0,2.0,4.0,"Chicago, IL 60631","['08/08/2018', '07/09/2018', '06/11/2018']",6.0,"['Price change', 'Price change', 'Listed for sale']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,000 Square Feet', 'Lot Size: 5248 sqft']",08/08/2018,5248.0,sqft,&lpar;Edison Park&rpar;,"['Single-Family Home', '4 Beds', '2 Baths', 'Built in 1917', '116 days on Trulia', '5248 sqft lot size', '2,000 sqft', '$200/sqft', '606 views']",399000.0,"[['2018-06-11 00:00:00', 439000, 'Listed for sale'], ['2018-07-09 00:00:00', 419000, 'Price change'], ['2018-08-08 00:00:00', 399000, 'Price change']]",200.0,"['$399,000', '$419,000', '$439,000']","['4 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,977 Square Feet', 'Lot Size: 5,250 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6918-n-odell-ave-chicago-il-60631--2104309590,606.0,1917.0,60631.0,74087,87229.0,28641,6902,"['0.4 km', '2.7 km', '5 m', '19.6 km', '0.1 km']",['22.8 km'],"['5 mins', '8 mins', '1 min', '33 mins', '1 min']",['52 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Linden CTA - The Glen - Harleml CTA', 'Blue Line']",[42.00678980000001],[-87.8110442]
3,6903,5818 N Oconto Ave,1590.0,3.0,3.0,"Chicago, IL 60631","['08/15/2018', '07/16/2018', '06/25/2018', '06/09/2018']",8.0,"['Price change', 'Price change', 'Price change', 'Listed for sale']","['3 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,590 Square Feet', 'Lot Size: 3497 sqft']",09/24/2018,3497.0,sqft,&lpar;Norwood Park West&rpar;,"['Single-Family Home', '3 Beds', '3 Baths', 'Built in 1923', '118 days on Trulia', '3497 sqft lot size', '1,590 sqft', '$200/sqft', '787 views']",318000.0,"[['2018-06-09 00:00:00', 359900, 'Listed for sale'], ['2018-06-25 00:00:00', 348000, 'Price change'], ['2018-07-16 00:00:00', 334900, 'Price change'], ['2018-08-15 00:00:00', 324900, 'Price change']]",200.0,"['$324,900', '$334,900', '$348,000', '$359,900']","['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,590 Square Feet', 'Lot Size: 3,500 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5818-n-oconto-ave-chicago-il-60631--2104303590,787.0,1923.0,60631.0,74087,87229.0,28641,6903,"['0.6 km', '19.6 km', '0.1 km']",['20.2 km'],"['8 mins', '33 mins', '1 min']",['41 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9870678],[-87.80838279999999]
4,6904,6676 N Northwest Hwy,1550.0,2.0,2.0,"Chicago, IL 60631",,5.0,,"['2 Bedrooms', '2 Bathrooms', 'Condo', '1,550 Square Feet', 'Lot Size: 3123 sqft']",10/05/2018,3123.0,sqft,&lpar;Edison Park&rpar;,"['Condo', '2 Beds', '2 Baths', 'Built in 2009', '385 days on Trulia', '3123 sqft lot size', '1,550 sqft', '$235/sqft', '625 views', '$175/monthly HOA']",364900.0,,235.0,,,,https://www.trulia.com/p/il/chicago/6676-n-northwest-hwy-chicago-il-60631--2104308187,625.0,2009.0,60631.0,74087,87229.0,28641,6904,"['0.3 km', '20.3 km', '0.8 km']",['21.3 km'],"['3 mins', '31 mins', '10 mins']",['45 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Union Pacific Northwest'],[42.0022933],[-87.8154533]
5,6905,6522 N Oak Park Ave,3150.0,4.0,6.0,"Chicago, IL 60631","['09/21/2018', '08/29/2018', '07/09/2018', '03/09/2018', '05/04/2006', '12/18/2003']",0.0,"['Price change', 'Price change', 'Price change', 'Listed for sale', 'Sold', 'Sold']","['6 Bedrooms', '4 Bathrooms', 'Single-Family Home', '3,150 Square Feet', 'Lot Size: 4791 sqft']",09/21/2018,4791.0,sqft,&lpar;Norwood Park East&rpar;,"['Single-Family Home', '6 Beds', '4 Baths', 'Built in 1928', '210 days on Trulia', '4791 sqft lot size', '3,150 sqft', '$184/sqft', '563 views']",579900.0,"[['2003-12-18 00:00:00', 265000, 'Sold'], ['2006-05-04 00:00:00', 350000, 'Sold'], ['2018-03-09 00:00:00', 629900, 'Listed for sale'], ['2018-07-09 00:00:00', 619900, 'Price change'], ['2018-08-29 00:00:00', 599900, 'Price change'], ['2018-09-21 00:00:00', 579900, 'Price change']]",184.0,"['$579,900', '$599,900', '$619,900', '$629,900', '$350,000', '$265,000']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '2,442 Square Feet', 'Lot Size: 5,100 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6522-n-oak-park-ave-chicago-il-60631--2104307163,563.0,1928.0,60631.0,74087,87229.0,28641,6905,"['1.1 km', '18.3 km', '0.8 km']",['20.3 km'],"['14 mins', '28 mins', '10 mins']",['53 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['HEAVY_RAIL'],['Union Pacific Northwest'],[41.99984329999999],[-87.7956133]
6,6906,5863 N Harlem Ave,1600.0,3.0,3.0,"Chicago, IL 60631","['09/04/2018', '08/28/2018', '08/10/2018', '06/27/2018', '06/15/2018', '05/30/2018', '12/07/2004']",8.0,"['Price change', 'Pending to active status', 'Pending', 'Price change', 'Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,600 Square Feet', 'Lot Size: 5900 sqft']",09/26/2018,5900.0,sqft,&lpar;Old Norwood Park&rpar;,"['Single-Family Home', '3 Beds', '3 Baths', 'Built in 1914', '128 days on Trulia', '5900 sqft lot size', '1,600 sqft', '$231/sqft', '505 views']",369900.0,"[['2004-12-07 00:00:00', 200000, 'Sold'], ['2018-05-30 00:00:00', 429900, 'Listed for sale'], ['2018-06-15 00:00:00', 419900, 'Price change'], ['2018-06-27 00:00:00', 399900, 'Price change'], ['2018-08-10 00:00:00', 399900, 'Pending'], ['2018-08-28 00:00:00', 399900, 'Pending to active status'], ['2018-09-04 00:00:00', 379900, 'Price change']]",231.0,"['$379,900', '$399,900', '$399,900', '$399,900', '$419,900', '$429,900', '$200,000']","['4 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,600 Square Feet', 'Lot Size: 5,900 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/5863-n-harlem-ave-chicago-il-60631--2104303838,505.0,1914.0,60631.0,74087,87229.0,28641,6906,"['0.6 km', '19.6 km', '0.1 km']",['20.3 km'],"['8 mins', '33 mins', '1 min']",['41 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9877101],[-87.80683049999999]
7,6907,6167 N Canfield Ave,1238.0,3.0,3.0,"Chicago, IL 60631","['08/13/2018', '06/01/2018', '03/16/2018', '09/21/2017', '09/15/2017', '09/11/2017', '08/20/2017', '07/06/2017', '10/21/1994']",3.0,"['Price change', 'Price change', 'Listed for sale', 'Posting removed', 'Pending to active status', 'Pending', 'Price change', 'Listed for sale', 'Sold']","['3 Bedrooms', '3 Bathrooms', 'Single-Family Home', '1,238 Square Feet', 'Lot Size: 4782 sqft']",09/14/2018,4782.0,sqft,&lpar;Norwood Park West&rpar;,"['Single-Family Home', '3 Beds', '3 Baths', 'Built in 1943', '203 days on Trulia', '4782 sqft lot size', '1,238 sqft', '$250/sqft', '533 views']",309000.0,"[['1994-10-21 00:00:00', 227000, 'Sold'], ['2017-07-06 00:00:00', 299900, 'Listed for sale'], ['2017-08-20 00:00:00', 275000, 'Price change'], ['2017-09-11 00:00:00', 275000, 'Pending'], ['2017-09-15 00:00:00', 275000, 'Pending to active status'], ['2017-09-21 00:00:00', 275000, 'Posting removed'], ['2018-03-16 00:00:00', 319900, 'Listed for sale'], ['2018-06-01 00:00:00', 314900, 'Price change'], ['2018-08-13 00:00:00', 309000, 'Price change']]",250.0,"['$309,000', '$314,900', '$319,900', '$275,000', '$275,000', '$275,000', '$275,000', '$299,900', '$227,000']","['4 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,238 Square Feet', 'Lot Size: 4,785 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6167-n-canfield-ave-chicago-il-60631--2104305371,533.0,1943.0,60631.0,74087,87229.0,28641,6907,"['0.1 km', '3.1 km', '5 m', '19.6 km', '0.1 km']",['22.9 km'],"['2 mins', '8 mins', '1 min', '33 mins', '1 min']",['48 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Higgins', 'Blue Line']",[41.9922532],[-87.82227309999999]
8,6908,7320 N Oconto Ave,1190.0,2.0,3.0,"Chicago, IL 60631",,7.0,,"['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,190 Square Feet', 'Lot Size: 3484 sqft']",08/22/2018,3484.0,sqft,&lpar;Edison Park&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1962', '1267 days on Trulia', '3484 sqft lot size', '1,190 sqft', '$290/sqft', '557 views']",345000.0,,290.0,,"['3 Bedrooms', '1 Bathroom', 'Single-Family Home', '1,190 Square Feet', 'Lot Size: 3,750 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/7320-n-oconto-ave-chicago-il-60631--2104311498,557.0,1962.0,60631.0,74087,87229.0,28641,6908,"['0.2 km', '3.5 km', '5 m', '19.6 km', '0.1 km']",['23.3 km'],"['2 mins', '11 mins', '1 min', '33 mins', '1 min']",['52 mins'],"['WALKING', 'TRANSIT', 'WALKING', 'TRANSIT', 'WALKING']","['BUS', 'SUBWAY']","['Linden CTA - The Glen - Harleml CTA', 'Blue Line']",[42.0141562],[-87.8078736]
9,6909,6167 N Overhill Ave,1000.0,2.0,3.0,"Chicago, IL 60631","['08/22/2018', '07/09/2018', '05/14/2018', '05/01/2018', '04/16/2018']",2.0,"['Price change', 'Price change', 'Price change', 'Price change', 'Listed for sale']","['3 Bedrooms', '2 Bathrooms', 'Single-Family Home', '1,000 Square Feet']",09/26/2018,,,&lpar;Norwood Park West&rpar;,"['Single-Family Home', '3 Beds', '2 Baths', 'Built in 1948', '172 days on Trulia', '1,000 sqft', '$275/sqft', '1339 views']",274500.0,"[['2018-04-16 00:00:00', 299500, 'Listed for sale'], ['2018-05-01 00:00:00', 294500, 'Price change'], ['2018-05-14 00:00:00', 289500, 'Price change'], ['2018-07-09 00:00:00', 284500, 'Price change'], ['2018-08-22 00:00:00', 279500, 'Price change']]",275.0,"['$279,500', '$284,500', '$289,500', '$294,500', '$299,500']","['2 Bedrooms', '1 Bathroom', 'Single-Family Home', '920 Square Feet', 'Lot Size: 3,641 sqft']",10/01/2017,https://www.trulia.com/p/il/chicago/6167-n-overhill-ave-chicago-il-60631--2104305374,1339.0,1948.0,60631.0,74087,87229.0,28641,6909,"['1.7 km', '19.6 km', '0.1 km']",['21.3 km'],"['21 mins', '33 mins', '1 min']",['54 mins'],"['WALKING', 'TRANSIT', 'WALKING']",['SUBWAY'],['Blue Line'],[41.9924298],[-87.819002]
